"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN296708_c0_g1"	21.682910022563	14.6649193714222	140.774392877926	1.08999515546035e-13	1.39628379414471e-10
"TRINITY_DN312737_c1_g1"	22.7476797243229	13.8516592653746	127.884607306704	1.3912596745688e-12	6.01786007413547e-10
"TRINITY_DN294773_c0_g2"	19.4834236620999	14.0799093782931	112.519141463457	2.27841446321038e-12	6.01786007413547e-10
"TRINITY_DN293894_c0_g2"	18.7649694566778	13.8971711658637	111.822104254651	2.47377232910989e-12	6.01786007413547e-10
"TRINITY_DN317297_c2_g1"	21.3399016310375	12.5417177591363	122.042425810921	2.50802621555002e-12	6.01786007413547e-10
"TRINITY_DN233011_c0_g1"	19.0641311971833	14.002499827163	108.54501107437	3.66160221816294e-12	6.01786007413547e-10
"TRINITY_DN295219_c1_g1"	21.0115324944843	12.2939366978103	117.876732020103	3.87168251582062e-12	6.01786007413547e-10
"TRINITY_DN255273_c0_g1"	19.5643700500788	13.2583380351995	107.951182251722	3.93509265745161e-12	6.01786007413547e-10
"TRINITY_DN271642_c0_g1"	19.9376128008554	14.0619157095372	107.361798049449	4.22800473592656e-12	6.01786007413547e-10
"TRINITY_DN277082_c0_g1"	20.3193165666561	14.3228067777481	105.965032715997	5.01829589752346e-12	6.42843704472755e-10
"TRINITY_DN173970_c0_g1"	19.7709273010069	14.0427531200787	103.123214370783	7.15011163201601e-12	7.08955156668157e-10
"TRINITY_DN311418_c0_g1"	22.3833602339008	12.2504950489484	124.104556242061	7.4115860452522e-12	7.08955156668157e-10
"TRINITY_DN312093_c0_g3"	22.2446461240291	12.2600477563547	123.189394285865	8.07575703501431e-12	7.08955156668157e-10
"TRINITY_DN312002_c0_g1"	18.6549778582135	13.9531986436717	102.156859784429	8.07851168850319e-12	7.08955156668157e-10
"TRINITY_DN274805_c0_g2"	18.4615506876393	14.3892101520465	101.942185961762	8.30158263077467e-12	7.08955156668157e-10
"TRINITY_DN312726_c1_g4"	19.497405517377	15.2488495894309	100.767988371415	9.64273716898654e-12	7.72021644591985e-10
