"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"TRINITY_DN312093_c0_g7"	22.1153091454244	10.9939885012046	502.879671150501	3.79900168517306e-17	1.17579102156106e-13
"TRINITY_DN312726_c1_g3"	21.9171654698579	12.2725523829399	406.652485933661	3.91195547627601e-16	6.05375109953713e-13
"TRINITY_DN311783_c0_g2"	21.6630384437546	9.69691739341026	384.378169526921	7.23158531044022e-16	6.09261404805346e-13
"TRINITY_DN295224_c1_g2"	23.5298958926348	10.650602824713	381.384839736648	7.87413770346166e-16	6.09261404805346e-13
"TRINITY_DN316951_c1_g2"	21.7058923192104	9.76177123949797	368.715122079626	1.137054017746e-15	7.03836436984776e-13
"TRINITY_DN276264_c0_g3"	21.5937156593725	11.329075189546	357.011276289837	1.61383966732196e-15	8.15188158761435e-13
"TRINITY_DN255876_c0_g1"	21.8899917528121	9.27647504529289	350.67490028809	1.95959567909052e-15	8.15188158761435e-13
"TRINITY_DN277915_c0_g1"	21.7137055142311	12.6203378127874	348.333131546983	2.10710994187124e-15	8.15188158761435e-13
"TRINITY_DN312752_c3_g1"	22.092277093671	9.16905281838579	335.934225428607	3.11869649053848e-15	1.07248507091295e-12
"TRINITY_DN277215_c0_g1"	20.6936657690256	9.34544600932653	330.72091884677	3.69267488308422e-15	1.14288287631456e-12
"TRINITY_DN312090_c4_g1"	22.7068357769775	11.0398805156114	325.433180859928	4.39412812006147e-15	1.18268473397764e-12
"TRINITY_DN311414_c0_g1"	22.0342162174369	9.31070399782299	322.427209620046	4.85651903432776e-15	1.18268473397764e-12
"TRINITY_DN299275_c0_g1"	21.7993681708512	10.0157703938965	321.751034301621	4.96765801024534e-15	1.18268473397764e-12
"TRINITY_DN314834_c0_g2"	22.4431451857679	9.20949788784889	318.440440227881	5.55320861989373e-15	1.22765576275508e-12
"TRINITY_DN292320_c0_g2"	21.9364001465132	11.7709303210387	298.843604831525	1.09902299681544e-14	1.90575791791826e-12
"TRINITY_DN314234_c0_g5"	24.9354642513911	10.073906084018	397.454778597105	1.10956879093385e-14	1.90575791791826e-12
"TRINITY_DN312005_c0_g4"	21.9797668385087	9.74791811224948	298.264973623319	1.12210426127216e-14	1.90575791791826e-12
"TRINITY_DN255257_c0_g1"	23.2563543554459	9.0001595874337	298.037892454782	1.13130589541778e-14	1.90575791791826e-12
"TRINITY_DN274840_c0_g2"	22.75876139707	9.11685784159346	297.106079175099	1.16993216285774e-14	1.90575791791826e-12
"TRINITY_DN312707_c1_g1"	22.9903798617626	10.3558664092433	292.752734478934	1.37040543578849e-14	2.05114219571111e-12
"TRINITY_DN311987_c0_g1"	22.4837887770859	9.73364550273535	292.330957556357	1.39172814571675e-14	2.05114219571111e-12
"TRINITY_DN298173_c0_g1"	22.2909543001589	11.7972251374186	290.980393196536	1.4624672474272e-14	2.05742551399417e-12
"TRINITY_DN310085_c0_g1"	20.3282945794383	9.24967928396319	289.021295527947	1.57211865135539e-14	2.08283845119977e-12
"TRINITY_DN298805_c0_g1"	23.9462696309034	10.7346330272477	288.29314031753	1.61512513178658e-14	2.08283845119977e-12
"TRINITY_DN276025_c0_g1"	21.3800510316547	9.2188210720157	282.740509404153	1.98838336144278e-14	2.45512742858048e-12
"TRINITY_DN292320_c0_g4"	22.8773198439766	10.9792527002554	281.773892174628	2.06246569121462e-14	2.45512742858048e-12
"TRINITY_DN314842_c0_g2"	21.9314014839689	10.5557299900649	280.760620549573	2.14335688302946e-14	2.45692205665784e-12
"TRINITY_DN310027_c1_g1"	24.8318887742732	9.73463079929006	366.889910754359	2.38044324228408e-14	2.63123994102473e-12
"TRINITY_DN298841_c2_g1"	17.4334731725652	10.4512928852667	276.908654721209	2.48384053865956e-14	2.65085740246597e-12
"TRINITY_DN276264_c0_g1"	22.4805895765515	10.3812772280744	275.49137511459	2.62355572823413e-14	2.70663499296154e-12
"TRINITY_DN293348_c0_g2"	22.9111260509861	9.98055969097464	271.665199686235	3.04524310007773e-14	2.96031643818987e-12
"TRINITY_DN314831_c1_g1"	21.2431052993673	10.2218582532163	271.53570741533	3.0607472058829e-14	2.96031643818987e-12
"TRINITY_DN274823_c0_g1"	21.3623301694363	12.023704238312	267.683172396512	3.56362748300579e-14	3.34225062421301e-12
"TRINITY_DN312737_c2_g4"	21.9015275620774	12.5515953493913	262.930249176002	4.31140490432026e-14	3.92464652319742e-12
"TRINITY_DN314864_c1_g2"	22.1438221166004	14.5826255266962	255.719134809447	5.79167809766046e-14	5.12149820350261e-12
"TRINITY_DN299729_c1_g1"	20.4531956127758	8.24668583584893	254.209577191101	6.16679593739391e-14	5.30173150728726e-12
"TRINITY_DN298834_c0_g1"	20.6738907423999	9.58817979768917	250.466625619994	7.21583744331571e-14	6.03595051001679e-12
"TRINITY_DN254239_c0_g1"	21.5676430656157	9.56454507521048	246.323330788228	8.60821846411745e-14	7.01116740695882e-12
"TRINITY_DN259595_c0_g1"	22.6374068610491	11.268516045962	240.921691991863	1.08794885913567e-13	8.47710001436069e-12
"TRINITY_DN316649_c0_g1"	21.5676638863997	11.3026247083034	240.762001138114	1.09558643158135e-13	8.47710001436069e-12
"TRINITY_DN310746_c0_g1"	20.1992280300939	9.0166888929408	239.73014570347	1.14636421413024e-13	8.65365181154415e-12
"TRINITY_DN310765_c2_g2"	22.0451048494374	9.95731684659055	237.655652122314	1.25636568067683e-13	9.14744634541312e-12
"TRINITY_DN312725_c0_g2"	19.8658599443598	8.43248830217446	237.382654109389	1.27167590088497e-13	9.14744634541312e-12
"TRINITY_DN292384_c0_g1"	23.888195776376	8.56927986057527	306.702768780323	1.30044471469524e-13	9.14744634541312e-12
"TRINITY_DN311753_c2_g8"	20.7944184311432	8.61104561003733	231.475963927308	1.65793983557206e-13	1.14029417579901e-11
"TRINITY_DN277371_c0_g1"	20.6621098426618	9.87080656693431	230.910244121526	1.70114759341838e-13	1.1445764786152e-11
"TRINITY_DN292970_c0_g1"	20.8921925223861	8.29820604365944	229.535628789869	1.81132255087401e-13	1.19277516913937e-11
"TRINITY_DN276063_c0_g1"	22.3439652967885	8.91797348758866	223.231349148673	2.42619996279498e-13	1.56439351767718e-11
"TRINITY_DN271265_c0_g1"	23.1810571665582	8.99217130737707	282.068674063099	2.85837153506691e-13	1.805440796129e-11
"TRINITY_DN226183_c0_g1"	21.5700322243233	8.16700716581045	218.934245822972	2.97392099009046e-13	1.83668953395763e-11
"TRINITY_DN298618_c0_g1"	20.0363674152951	8.15989808814809	218.56759581293	3.02653202687688e-13	1.83668953395763e-11
"TRINITY_DN298602_c0_g1"	21.5622158296111	10.142527197682	209.900964157942	4.61771435005227e-13	2.6975303607523e-11
"TRINITY_DN314196_c0_g1"	19.8166117550594	8.26981912908244	209.893799973355	4.61935732212833e-13	2.6975303607523e-11
"TRINITY_DN298834_c0_g2"	20.7571451705515	8.41391600123808	205.48278651294	5.76264485119391e-13	3.30284922489725e-11
"TRINITY_DN292998_c2_g1"	21.3144470330045	10.7944038068706	203.427665015221	6.39743163883264e-13	3.60000925857946e-11
"TRINITY_DN318563_c0_g1"	19.7556548109639	8.76274688485037	200.869713038335	7.29584000633265e-13	4.03225443207135e-11
"TRINITY_DN314645_c3_g1"	21.0113262887414	8.24371484236491	197.896500046575	8.51606493997653e-13	4.53254956583416e-11
"TRINITY_DN294194_c0_g2"	22.6343581370699	8.58798150317641	250.610109802262	8.63114661674661e-13	4.53254956583416e-11
"TRINITY_DN310744_c0_g3"	20.4216815875119	7.97587522012126	197.493160544525	8.69801489331915e-13	4.53254956583416e-11
"TRINITY_DN311468_c0_g1"	20.2051843918467	9.48197743917277	197.299555486831	8.78684891599514e-13	4.53254956583416e-11
"TRINITY_DN311774_c0_g1"	23.0314020762896	8.16950450288644	247.287786907679	9.77218021580518e-13	4.95817996195361e-11
"TRINITY_DN294194_c0_g1"	20.9185765199175	9.39786060181739	191.80822096975	1.17666394215895e-12	5.87383048545475e-11
"TRINITY_DN271000_c0_g1"	21.7563053192141	8.75935447869139	240.759165320043	1.25297618601496e-12	6.15549412018462e-11
"TRINITY_DN293494_c0_g1"	18.6418925743841	8.12299715665205	189.049571645376	1.36646020251848e-12	6.60647908974544e-11
"TRINITY_DN293350_c0_g1"	23.0907935052753	8.72363013035041	238.127747758594	1.38746733710324e-12	6.60647908974544e-11
"TRINITY_DN314643_c0_g3"	12.1986623260558	9.85725597108415	186.907709496726	1.53677195280618e-12	7.08809467838635e-11
"TRINITY_DN311484_c1_g3"	23.164623193981	8.19111683807449	235.433150232041	1.54183539140738e-12	7.08809467838635e-11
"TRINITY_DN314236_c0_g1"	18.9316442425748	8.88768261815068	186.666886428795	1.5573196708571e-12	7.08809467838635e-11
"TRINITY_DN299032_c0_g1"	20.8925443546444	8.6257792507716	185.014081733298	1.70666157642601e-12	7.62515467412782e-11
"TRINITY_DN293332_c0_g2"	20.7046591571643	8.09240960209827	184.826293222699	1.72459071789644e-12	7.62515467412782e-11
"TRINITY_DN293332_c0_g1"	20.6651077550348	7.73004389736649	182.527313541444	1.96149134651567e-12	8.55044467248733e-11
"TRINITY_DN314168_c2_g5"	20.0068035597293	8.32227611196938	181.932766097235	2.02836126698163e-12	8.71913627959463e-11
"TRINITY_DN296278_c0_g3"	19.7368360232981	7.84855591158132	179.33790349797	2.3506493916608e-12	9.96610940710982e-11
"TRINITY_DN293682_c3_g2"	20.9458956797956	11.1805571786185	172.366506380561	3.52714415641126e-12	1.4752042113639e-10
