"","GeneID","Number"
"1","TRINITY_DN102431_c0_g1",1
"2","TRINITY_DN104822_c0_g1",2
"3","TRINITY_DN111410_c0_g1",3
"4","TRINITY_DN111543_c0_g1",4
"5","TRINITY_DN111591_c0_g1",5
"6","TRINITY_DN139711_c0_g1",6
"7","TRINITY_DN151645_c0_g1",7
"8","TRINITY_DN151688_c0_g1",8
"9","TRINITY_DN151705_c0_g1",9
"10","TRINITY_DN172833_c0_g1",10
"11","TRINITY_DN172940_c0_g1",11
"12","TRINITY_DN175296_c0_g1",12
"13","TRINITY_DN2119_c1_g1",13
"14","TRINITY_DN22035_c0_g1",14
"15","TRINITY_DN223640_c0_g1",15
"16","TRINITY_DN223644_c0_g1",16
"17","TRINITY_DN223830_c0_g1",17
"18","TRINITY_DN226183_c0_g1",18
"19","TRINITY_DN226613_c0_g1",19
"20","TRINITY_DN226664_c0_g1",20
"21","TRINITY_DN226686_c0_g1",21
"22","TRINITY_DN226922_c0_g1",22
"23","TRINITY_DN227360_c0_g2",23
"24","TRINITY_DN228040_c0_g1",24
"25","TRINITY_DN228042_c0_g1",25
"26","TRINITY_DN231207_c0_g1",26
"27","TRINITY_DN231504_c0_g1",27
"28","TRINITY_DN231598_c0_g2",28
"29","TRINITY_DN233040_c0_g2",29
"30","TRINITY_DN233686_c0_g1",30
"31","TRINITY_DN234168_c0_g1",31
"32","TRINITY_DN234177_c0_g1",32
"33","TRINITY_DN234179_c0_g1",33
"34","TRINITY_DN238280_c0_g1",34
"35","TRINITY_DN250557_c0_g1",35
"36","TRINITY_DN251094_c0_g1",36
"37","TRINITY_DN251132_c0_g1",37
"38","TRINITY_DN25194_c0_g1",38
"39","TRINITY_DN252333_c0_g1",39
"40","TRINITY_DN252362_c0_g1",40
"41","TRINITY_DN252876_c0_g1",41
"42","TRINITY_DN254083_c0_g1",42
"43","TRINITY_DN254084_c0_g1",43
"44","TRINITY_DN254239_c0_g1",44
"45","TRINITY_DN254309_c0_g1",45
"46","TRINITY_DN25521_c0_g1",46
"47","TRINITY_DN255257_c0_g1",47
"48","TRINITY_DN255876_c0_g1",48
"49","TRINITY_DN255899_c0_g1",49
"50","TRINITY_DN255905_c0_g1",50
"51","TRINITY_DN255960_c0_g1",51
"52","TRINITY_DN255993_c0_g1",52
"53","TRINITY_DN256219_c0_g2",53
"54","TRINITY_DN256326_c0_g1",54
"55","TRINITY_DN256462_c0_g1",55
"56","TRINITY_DN256514_c0_g2",56
"57","TRINITY_DN256557_c0_g2",57
"58","TRINITY_DN257902_c0_g1",58
"59","TRINITY_DN257903_c0_g1",59
"60","TRINITY_DN259162_c0_g1",60
"61","TRINITY_DN259522_c0_g1",61
"62","TRINITY_DN259522_c1_g1",62
"63","TRINITY_DN259595_c0_g1",63
"64","TRINITY_DN271000_c0_g1",64
"65","TRINITY_DN271057_c0_g1",65
"66","TRINITY_DN271251_c0_g1",66
"67","TRINITY_DN271265_c0_g1",67
"68","TRINITY_DN271268_c0_g1",68
"69","TRINITY_DN271275_c0_g1",69
"70","TRINITY_DN271596_c0_g1",70
"71","TRINITY_DN271641_c0_g3",71
"72","TRINITY_DN271649_c0_g1",72
"73","TRINITY_DN271662_c0_g1",73
"74","TRINITY_DN271688_c0_g1",74
"75","TRINITY_DN274001_c0_g1",75
"76","TRINITY_DN274005_c0_g1",76
"77","TRINITY_DN274054_c0_g1",77
"78","TRINITY_DN274058_c0_g1",78
"79","TRINITY_DN274570_c1_g1",79
"80","TRINITY_DN274635_c0_g1",80
"81","TRINITY_DN274662_c0_g1",81
"82","TRINITY_DN274697_c0_g1",82
"83","TRINITY_DN274731_c0_g1",83
"84","TRINITY_DN274735_c0_g1",84
"85","TRINITY_DN274795_c0_g2",85
"86","TRINITY_DN274796_c0_g1",86
"87","TRINITY_DN274800_c0_g1",87
"88","TRINITY_DN274808_c0_g1",88
"89","TRINITY_DN274809_c0_g1",89
"90","TRINITY_DN274823_c0_g1",90
"91","TRINITY_DN274831_c0_g1",91
"92","TRINITY_DN274840_c0_g2",92
"93","TRINITY_DN274865_c0_g1",93
"94","TRINITY_DN276015_c0_g1",94
"95","TRINITY_DN276016_c0_g1",95
"96","TRINITY_DN276022_c0_g1",96
"97","TRINITY_DN276025_c0_g1",97
"98","TRINITY_DN276063_c0_g1",98
"99","TRINITY_DN276081_c0_g1",99
"100","TRINITY_DN276081_c0_g2",100
"101","TRINITY_DN276264_c0_g1",101
"102","TRINITY_DN276264_c0_g3",102
"103","TRINITY_DN276293_c0_g1",103
"104","TRINITY_DN276293_c0_g2",104
"105","TRINITY_DN276409_c0_g1",105
"106","TRINITY_DN276418_c0_g1",106
"107","TRINITY_DN276445_c0_g1",107
"108","TRINITY_DN276539_c0_g1",108
"109","TRINITY_DN276554_c0_g1",109
"110","TRINITY_DN276572_c0_g1",110
"111","TRINITY_DN276582_c0_g1",111
"112","TRINITY_DN276586_c0_g1",112
