"","GeneID","Number"
"1","TRINITY_DN173970_c0_g1",1
"2","TRINITY_DN2119_c0_g1",2
"3","TRINITY_DN22073_c0_g1",3
"4","TRINITY_DN226644_c0_g1",4
"5","TRINITY_DN233011_c0_g1",5
"6","TRINITY_DN251134_c0_g1",6
"7","TRINITY_DN251134_c1_g1",7
"8","TRINITY_DN251191_c0_g1",8
"9","TRINITY_DN251191_c0_g2",9
"10","TRINITY_DN255273_c0_g1",10
"11","TRINITY_DN255903_c0_g1",11
"12","TRINITY_DN256449_c0_g1",12
"13","TRINITY_DN271642_c0_g1",13
"14","TRINITY_DN271666_c1_g1",14
"15","TRINITY_DN274712_c0_g1",15
"16","TRINITY_DN274805_c0_g2",16
"17","TRINITY_DN274840_c0_g1",17
"18","TRINITY_DN276416_c0_g1",18
"19","TRINITY_DN277082_c0_g1",19
"20","TRINITY_DN277202_c0_g1",20
"21","TRINITY_DN277209_c0_g1",21
"22","TRINITY_DN277328_c0_g1",22
"23","TRINITY_DN277371_c0_g1",23
"24","TRINITY_DN278382_c0_g1",24
"25","TRINITY_DN278906_c0_g1",25
"26","TRINITY_DN278965_c0_g1",26
"27","TRINITY_DN278968_c0_g1",27
"28","TRINITY_DN292324_c0_g1",28
"29","TRINITY_DN292353_c0_g1",29
"30","TRINITY_DN293386_c0_g1",30
"31","TRINITY_DN293894_c0_g2",31
"32","TRINITY_DN294657_c0_g1",32
"33","TRINITY_DN294754_c0_g1",33
"34","TRINITY_DN294773_c0_g2",34
"35","TRINITY_DN294773_c0_g3",35
"36","TRINITY_DN295087_c0_g1",36
"37","TRINITY_DN295214_c0_g1",37
"38","TRINITY_DN295214_c0_g2",38
"39","TRINITY_DN295219_c1_g1",39
"40","TRINITY_DN295224_c1_g1",40
"41","TRINITY_DN295269_c0_g2",41
"42","TRINITY_DN296373_c0_g2",42
"43","TRINITY_DN296708_c0_g1",43
"44","TRINITY_DN296759_c4_g1",44
"45","TRINITY_DN298834_c0_g6",45
"46","TRINITY_DN299755_c1_g3",46
"47","TRINITY_DN299789_c0_g2",47
"48","TRINITY_DN310763_c1_g1",48
"49","TRINITY_DN311418_c0_g1",49
"50","TRINITY_DN311461_c0_g1",50
"51","TRINITY_DN311484_c1_g5",51
"52","TRINITY_DN311489_c3_g5",52
"53","TRINITY_DN311493_c0_g1",53
"54","TRINITY_DN311716_c0_g1",54
"55","TRINITY_DN311716_c0_g2",55
"56","TRINITY_DN311731_c0_g1",56
"57","TRINITY_DN311753_c2_g6",57
"58","TRINITY_DN312002_c0_g1",58
"59","TRINITY_DN312005_c1_g1",59
"60","TRINITY_DN312093_c0_g3",60
"61","TRINITY_DN312701_c0_g2",61
"62","TRINITY_DN312701_c0_g3",62
"63","TRINITY_DN312702_c0_g1",63
"64","TRINITY_DN312726_c1_g4",64
"65","TRINITY_DN312737_c1_g1",65
"66","TRINITY_DN312737_c2_g2",66
"67","TRINITY_DN314271_c0_g1",67
"68","TRINITY_DN314271_c1_g1",68
"69","TRINITY_DN314831_c1_g5",69
"70","TRINITY_DN316234_c0_g1",70
"71","TRINITY_DN316900_c0_g1",71
"72","TRINITY_DN317297_c1_g3",72
"73","TRINITY_DN317297_c2_g1",73
"74","TRINITY_DN384783_c0_g1",74
"75","TRINITY_DN449830_c0_g1",75
"76","TRINITY_DN52678_c0_g1",76
"77","TRINITY_DN54630_c0_g1",77
"78","TRINITY_DN54639_c0_g1",78
"79","TRINITY_DN66609_c0_g1",79
