GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN102004_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.34073297	6.144030093	6.144030093	7.529366793	6.144030093	6.144030093
TRINITY_DN102014_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.587514224	6.144030093	7.12157687	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN102051_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	7.354826797	6.144030093	6.144030093	7.430638066	6.144030093	6.144030093	7.250856948	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN10209_c0_g1	6.144030093	7.178480556	7.639014836	6.144030093	8.685148123	6.144030093	7.403921903	6.144030093	6.144030093	8.224817571	6.144030093	7.742588984	8.689254078	7.197029129	6.894221609
TRINITY_DN10241_c0_g1	6.144030093	6.144030093	6.144030093	8.508853524	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN102420_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN102468_c0_g1	6.144030093	6.908621556	6.144030093	6.747020898	7.604967794	6.144030093	6.144030093	6.144030093	6.144030093	7.530946034	6.144030093	6.144030093	7.529366793	6.144030093	6.144030093
TRINITY_DN102516_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.9262449	6.144030093	6.547884661	7.250856948	6.144030093	6.487405541	7.197029129	6.144030093
TRINITY_DN102662_c0_g1	6.144030093	6.144030093	7.289647428	7.170988764	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.69897663	6.801082044	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN102666_c0_g1	6.144030093	7.405727998	6.827685142	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.34073297	6.144030093	6.144030093	6.996959458	6.144030093	6.894221609
TRINITY_DN102667_c0_g1	6.673587403	7.928999247	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	15.26841308	7.128760207	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN102671_c0_g1	6.144030093	6.144030093	8.534540214	6.747020898	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	7.799277601	6.144030093	6.144030093
TRINITY_DN104226_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.587514224	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.894221609
TRINITY_DN104265_c0_g1	6.144030093	6.144030093	6.144030093	7.170988764	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.863061152	6.144030093	6.144030093	6.144030093	8.22281597	6.144030093
TRINITY_DN104321_c0_g1	6.144030093	6.908621556	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.587514224	6.144030093	6.863061152	6.144030093	6.144030093	6.764563072	6.144030093	6.144030093
TRINITY_DN104322_c0_g1	6.144030093	7.405727998	6.827685142	6.747020898	7.052025303	6.144030093	6.144030093	6.144030093	6.144030093	6.863061152	6.144030093	6.144030093	6.764563072	6.144030093	6.144030093
TRINITY_DN104339_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	7.052025303	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	6.764563072	6.144030093	6.144030093
TRINITY_DN10434_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.197029129	6.144030093
TRINITY_DN104380_c0_g1	6.673587403	6.908621556	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	8.703452248	6.144030093	7.250856948	7.742588984	6.764563072	7.197029129	7.385279781
TRINITY_DN104381_c0_g1	6.144030093	6.908621556	6.144030093	7.764826693	7.604967794	6.144030093	6.144030093	6.144030093	6.144030093	7.34073297	6.144030093	6.144030093	6.996959458	6.144030093	6.894221609
TRINITY_DN104622_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	7.052025303	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.487405541	6.144030093	6.894221609
TRINITY_DN104680_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	7.12157687	6.144030093	6.144030093	6.764563072	6.144030093	6.144030093
TRINITY_DN104682_c0_g1	6.144030093	6.576395653	6.827685142	6.144030093	6.668312546	6.765447244	6.907347247	6.144030093	6.144030093	6.547884661	7.250856948	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN104875_c0_g1	6.144030093	6.576395653	7.639014836	7.170988764	7.354826797	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	8.474824507	6.144030093	6.144030093
TRINITY_DN104878_c0_g1	7.060103406	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.863061152	6.144030093	7.15423938	6.144030093	7.197029129	6.144030093
TRINITY_DN105058_c0_g1	6.144030093	6.576395653	6.144030093	7.498248665	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	6.863061152	6.144030093	6.144030093	7.529366793	6.144030093	6.894221609
TRINITY_DN10567_c0_g1	6.144030093	6.144030093	6.144030093	7.989744954	6.144030093	6.144030093	6.144030093	6.9262449	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.894221609
TRINITY_DN106004_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	7.052025303	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.996959458	6.144030093	6.144030093
TRINITY_DN106378_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	7.12157687	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN106388_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN106714_c0_g1	6.144030093	7.178480556	6.144030093	6.144030093	8.315795648	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	6.144030093	6.144030093	8.284835086
TRINITY_DN106753_c0_g1	6.144030093	6.908621556	7.289647428	7.764826693	7.354826797	6.765447244	6.144030093	6.9262449	6.144030093	6.547884661	6.144030093	7.15423938	6.487405541	6.144030093	6.144030093
TRINITY_DN106797_c0_g1	6.144030093	6.908621556	6.144030093	6.144030093	6.668312546	6.144030093	6.907347247	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN106799_c0_g1	6.144030093	7.405727998	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	13.25376671	7.708596617	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN106983_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.587514224	6.144030093	6.547884661	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN106984_c0_g1	6.144030093	6.908621556	6.144030093	6.747020898	6.144030093	6.144030093	6.144030093	6.587514224	6.144030093	6.144030093	6.144030093	6.144030093	6.764563072	6.144030093	6.144030093
TRINITY_DN107_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	7.052025303	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN11020_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.764563072	6.144030093	6.894221609
TRINITY_DN110297_c0_g1	6.144030093	6.144030093	6.144030093	8.647317272	6.668312546	6.144030093	6.907347247	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.894221609
TRINITY_DN110603_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.907347247	7.200373283	6.144030093	6.144030093	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN11142_c0_g1	6.144030093	6.576395653	6.144030093	6.144030093	6.668312546	6.144030093	6.144030093	6.144030093	6.144030093	6.863061152	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN11147_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.34073297	6.144030093	6.144030093	6.144030093	6.144030093	7.385279781
TRINITY_DN111548_c0_g1	6.144030093	6.144030093	6.144030093	6.747020898	6.144030093	6.144030093	6.144030093	6.587514224	6.144030093	6.144030093	6.144030093	6.144030093	6.996959458	6.144030093	6.144030093
TRINITY_DN111549_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	8.099743156	6.144030093	6.547884661	6.801082044	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN111599_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.403921903	6.587514224	6.144030093	7.12157687	6.144030093	6.144030093	7.197062247	6.144030093	6.144030093
TRINITY_DN1116_c0_g1	6.144030093	6.144030093	6.827685142	7.170988764	6.144030093	6.144030093	6.144030093	6.587514224	6.144030093	6.547884661	6.144030093	6.144030093	7.529366793	6.144030093	6.144030093
TRINITY_DN111742_c0_g1	6.144030093	6.576395653	6.144030093	6.747020898	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	7.15423938	6.764563072	6.144030093	6.144030093
TRINITY_DN111788_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.587514224	7.128760207	6.863061152	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN114043_c0_g1	6.144030093	6.144030093	6.827685142	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.34073297	6.144030093	6.144030093	6.487405541	6.144030093	6.144030093
TRINITY_DN114085_c0_g1	6.144030093	6.576395653	6.144030093	7.170988764	7.354826797	6.144030093	6.144030093	6.144030093	6.144030093	6.547884661	6.144030093	6.144030093	6.764563072	6.144030093	6.144030093
TRINITY_DN1144_c0_g1	6.144030093	6.144030093	6.144030093	7.498248665	6.144030093	6.144030093	7.403921903	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.996959458	6.144030093	6.144030093
TRINITY_DN115524_c0_g1	6.144030093	6.908621556	6.144030093	6.747020898	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	7.530946034	6.144030093	6.144030093	6.764563072	6.144030093	6.894221609
TRINITY_DN11554_c0_g1	6.144030093	6.908621556	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.587514224	6.144030093	6.547884661	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN11596_c0_g1	6.144030093	6.144030093	6.827685142	6.144030093	7.052025303	6.765447244	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093
TRINITY_DN116761_c0_g1	6.144030093	6.144030093	6.144030093	6.144030093	6.668312546	6.144030093	6.907347247	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.144030093	6.894221609
