gene,logP
TRINITY_DN296708_c0_g1,-29.8474329572232
TRINITY_DN312737_c1_g1,-27.3008115384771
TRINITY_DN294773_c0_g2,-26.8075413257451
TRINITY_DN293894_c0_g2,-26.7252768716133
TRINITY_DN317297_c2_g1,-26.7115250404414
TRINITY_DN233011_c0_g1,-26.3331202997808
TRINITY_DN295219_c1_g1,-26.277331944757
TRINITY_DN255273_c0_g1,-26.2610866873347
TRINITY_DN271642_c0_g1,-26.1892909277872
TRINITY_DN277082_c0_g1,-26.0179307025001
TRINITY_DN173970_c0_g1,-25.6638931464751
TRINITY_DN311418_c0_g1,-25.6279766583295
TRINITY_DN312093_c0_g3,-25.542154500748
TRINITY_DN312002_c0_g1,-25.5418134573293
TRINITY_DN274805_c0_g2,-25.5145749408962
TRINITY_DN312726_c1_g4,-25.3648161089175
TRINITY_DN277328_c0_g1,-25.2663130958104
TRINITY_DN311461_c0_g1,-25.1514390629663
TRINITY_DN292353_c0_g1,-24.3092898597804
TRINITY_DN278906_c0_g1,-23.983476560925
TRINITY_DN295224_c1_g1,-23.9257483983824
TRINITY_DN292324_c0_g1,-23.9220544647226
TRINITY_DN277371_c0_g1,-23.7038653082389
TRINITY_DN311716_c0_g2,-23.4553508489847
TRINITY_DN251134_c0_g1,-23.3895162755477
TRINITY_DN274712_c0_g1,-23.3384130855245
TRINITY_DN312701_c0_g3,-23.1006139524463
TRINITY_DN311716_c0_g1,-22.7288485460428
TRINITY_DN274840_c0_g1,-22.1205001983467
TRINITY_DN299789_c0_g2,-21.9834959552107
TRINITY_DN314271_c0_g1,-21.8156067559303
TRINITY_DN294657_c0_g1,-21.8015658841503
TRINITY_DN294773_c0_g3,-21.4332965183701
TRINITY_DN294754_c0_g1,-20.9417373979707
TRINITY_DN276416_c0_g1,-20.8737243580576
TRINITY_DN278382_c0_g1,-20.6428360907545
TRINITY_DN226644_c0_g1,-19.1977650193099
TRINITY_DN251191_c0_g2,-18.276593583379
TRINITY_DN312701_c0_g2,-18.1633704915293
TRINITY_DN278968_c0_g1,-17.9948448369037
TRINITY_DN271666_c1_g1,-16.6648972209846
TRINITY_DN316900_c0_g1,-15.0165478430733
TRINITY_DN312737_c2_g2,-14.205546097818
TRINITY_DN255903_c0_g1,-13.9563026448281
TRINITY_DN256449_c0_g1,-13.4981302324811
TRINITY_DN277202_c0_g1,-13.3396180030207
TRINITY_DN317297_c1_g3,-13.2960764676897
TRINITY_DN299755_c1_g3,-13.0212941355248
TRINITY_DN311753_c2_g6,-12.9404889426289
TRINITY_DN314271_c1_g1,-12.6795879273057
TRINITY_DN311484_c1_g5,-12.5906791097086
TRINITY_DN310761_c3_g3,-12.2276912150385
TRINITY_DN310761_c3_g1,-12.0511820838085
TRINITY_DN311489_c3_g5,-11.7696587910288
TRINITY_DN295269_c0_g2,-11.6272688802591
TRINITY_DN294779_c0_g2,-11.6160132683921
TRINITY_DN311731_c0_g1,-11.0465690711394
TRINITY_DN314888_c2_g4,-10.5065905509004
TRINITY_DN311486_c4_g1,-10.0331008284205
TRINITY_DN298167_c1_g1,-9.61554748048257
TRINITY_DN296373_c0_g2,-9.26114073467832
TRINITY_DN293386_c0_g1,-8.6430290872722
TRINITY_DN314629_c1_g3,-8.53639115282528
TRINITY_DN312702_c0_g1,-8.41842265758186
TRINITY_DN316234_c0_g1,-8.34009354602675
TRINITY_DN310763_c3_g1,-8.31801564197613
TRINITY_DN316237_c1_g2,-8.21199572744385
TRINITY_DN384783_c0_g1,-8.16341365805836
TRINITY_DN298834_c0_g6,-8.12985026348069
TRINITY_DN296759_c4_g1,-8.02190890653543
TRINITY_DN317247_c5_g1,-7.70549952498276
TRINITY_DN312722_c5_g1,-7.66948903566884
TRINITY_DN311493_c0_g1,-7.39729095837727
TRINITY_DN251191_c0_g1,-7.32701615690858
TRINITY_DN292370_c1_g7,-7.13731698179923
TRINITY_DN312005_c1_g1,-7.09368857160359
TRINITY_DN294779_c1_g3,-6.96397293627397
TRINITY_DN312006_c1_g5,-6.92650106368052
TRINITY_DN449830_c0_g1,-6.90857149531866
TRINITY_DN295214_c0_g1,-6.87490236667756
TRINITY_DN314831_c1_g5,-6.79897508190658
TRINITY_DN251134_c1_g1,-6.64448709418536
TRINITY_DN314232_c4_g4,-6.60050012158803
TRINITY_DN316936_c6_g6,-6.56830064214187
TRINITY_DN2119_c0_g1,-6.56311649933854
TRINITY_DN314258_c2_g2,-6.52321796101065
TRINITY_DN295214_c0_g2,-6.40300250776518
TRINITY_DN296218_c0_g2,-6.3900185981758
TRINITY_DN66609_c0_g1,-6.36127727164443
TRINITY_DN278965_c0_g1,-6.28625029792412
TRINITY_DN52678_c0_g1,-6.15988329394045
TRINITY_DN314627_c5_g1,-6.14270391238365
TRINITY_DN295087_c0_g1,-6.01962672549805
TRINITY_DN227396_c0_g1,-5.99914199956666
