name	term	lev	seq	value
"signal transduction"	GO:0007165	2	TRINITY_DN115924_c0_g1	0
"signal transduction"	GO:0007165	2	TRINITY_DN227395_c0_g2	0
"signal transduction"	GO:0007165	2	TRINITY_DN227534_c0_g1	0
"signal transduction"	GO:0007165	2	TRINITY_DN27666_c0_g1	0
"signal transduction"	GO:0007165	2	TRINITY_DN277398_c0_g1	0
"signal transduction"	GO:0007165	2	TRINITY_DN277398_c0_g2	0
"signal transduction"	GO:0007165	2	TRINITY_DN299263_c0_g1	1
"signal transduction"	GO:0007165	2	TRINITY_DN299263_c0_g2	1
"signal transduction"	GO:0007165	2	TRINITY_DN310732_c2_g5	0
"signal transduction"	GO:0007165	2	TRINITY_DN311039_c3_g1	0
"signal transduction"	GO:0007165	2	TRINITY_DN312044_c4_g1	0
"signal transduction"	GO:0007165	2	TRINITY_DN312745_c1_g2	1
"signal transduction"	GO:0007165	2	TRINITY_DN314626_c2_g2	0
"signal transduction"	GO:0007165	2	TRINITY_DN314626_c2_g4	0
"signal transduction"	GO:0007165	2	TRINITY_DN676967_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN106385_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN175246_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN251965_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN259525_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN271219_c0_g2	0
"organelle organization"	GO:0006996	3	TRINITY_DN293346_c7_g1	1
"organelle organization"	GO:0006996	3	TRINITY_DN294759_c0_g1	1
"organelle organization"	GO:0006996	3	TRINITY_DN295073_c1_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN295224_c1_g2	1
"organelle organization"	GO:0006996	3	TRINITY_DN295226_c1_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN296362_c0_g5	1
"organelle organization"	GO:0006996	3	TRINITY_DN296773_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN296798_c5_g3	1
"organelle organization"	GO:0006996	3	TRINITY_DN298235_c4_g2	0
"organelle organization"	GO:0006996	3	TRINITY_DN298235_c4_g3	0
"organelle organization"	GO:0006996	3	TRINITY_DN298235_c4_g4	0
"organelle organization"	GO:0006996	3	TRINITY_DN298237_c0_g2	1
"organelle organization"	GO:0006996	3	TRINITY_DN298449_c4_g2	1
"organelle organization"	GO:0006996	3	TRINITY_DN298603_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN299782_c2_g2	0
"organelle organization"	GO:0006996	3	TRINITY_DN311476_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN311789_c3_g3	0
"organelle organization"	GO:0006996	3	TRINITY_DN311789_c3_g6	0
"organelle organization"	GO:0006996	3	TRINITY_DN314166_c1_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN316955_c0_g2	0
"organelle organization"	GO:0006996	3	TRINITY_DN317613_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN621412_c0_g1	0
"organelle organization"	GO:0006996	3	TRINITY_DN6268_c0_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN115924_c0_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN227395_c0_g2	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN27666_c0_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN310732_c2_g5	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN311039_c3_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN312044_c4_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN676967_c0_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN277398_c0_g1	0
"intracellular signal transduction"	GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310	5	TRINITY_DN277398_c0_g2	0
"RNA modification"	GO:0009451	2	TRINITY_DN104274_c0_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN231084_c0_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN238614_c0_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN271211_c1_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN271669_c0_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN293826_c5_g4	1
"RNA modification"	GO:0009451	2	TRINITY_DN293826_c5_g5	0
"RNA modification"	GO:0009451	2	TRINITY_DN294187_c0_g1	1
"RNA modification"	GO:0009451	2	TRINITY_DN296750_c0_g4	0
"RNA modification"	GO:0009451	2	TRINITY_DN298235_c4_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN298443_c0_g1	0
"RNA modification"	GO:0009451	2	TRINITY_DN311419_c1_g2	1
"RNA modification"	GO:0009451	2	TRINITY_DN312007_c1_g4	1
