name	term	lev	seq	value
"whole membrane"	GO:0098805	2	TRINITY_DN106984_c0_g1	0.0908274038000625
"whole membrane"	GO:0098805	2	TRINITY_DN17504_c0_g1	-2.83459168312003
"whole membrane"	GO:0098805	2	TRINITY_DN211623_c0_g1	-1.61778692523711
"whole membrane"	GO:0098805	2	TRINITY_DN254040_c0_g1	-3.8704766910077
"whole membrane"	GO:0098805	2	TRINITY_DN274006_c0_g1	0.187201810313324
"whole membrane"	GO:0098805	2	TRINITY_DN276048_c1_g1	0.674571766181095
"whole membrane"	GO:0098805	2	TRINITY_DN299792_c4_g1	-0.41111877333721
"whole membrane"	GO:0098805	2	TRINITY_DN311472_c0_g2	-0.802518831218632
"whole membrane"	GO:0098805	2	TRINITY_DN311472_c0_g4	-0.000525240306165417
"whole membrane"	GO:0098805	2	TRINITY_DN311472_c0_g5	-0.61515938870873
"whole membrane"	GO:0098805	2	TRINITY_DN311779_c1_g1	-0.795633366396645
"whole membrane"	GO:0098805	2	TRINITY_DN312701_c0_g2	18.1633704915293
"whole membrane"	GO:0098805	2	TRINITY_DN54630_c0_g1	5.82103151723588
"plasma membrane bounded cell projection part"	GO:0044441;GO:0120038;GO:0044463	3	TRINITY_DN314844_c0_g2	0.731465288680438
"plasma membrane bounded cell projection part"	GO:0044441;GO:0120038;GO:0044463	3	TRINITY_DN371196_c0_g1	-1.54158509356352
"plasma membrane bounded cell projection part"	GO:0044441;GO:0120038;GO:0044463	3	TRINITY_DN493676_c0_g1	-1.78033663913454
"plasma membrane bounded cell projection part"	GO:0044441;GO:0120038;GO:0044463	3	TRINITY_DN675624_c0_g1	0.802180546108937
"plasma membrane bounded cell projection part"	GO:0044441;GO:0120038;GO:0044463	3	TRINITY_DN6862_c0_g1	-2.43261295616856
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN106378_c0_g1	0.811621972451689
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN238287_c0_g1	-0.426505015399007
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN256666_c0_g1	-0.204678321392383
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN276269_c0_g1	-4.87046573433799
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN278907_c0_g2	0.0141409729973306
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN316648_c0_g1	0.234844385878606
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN34629_c0_g1	-1.40424405817218
"plasma membrane bounded cell projection"	GO:0120025;GO:0042995	3	TRINITY_DN689712_c0_g1	1.79255573226609
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN17504_c0_g1	-2.83459168312003
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN274006_c0_g1	0.187201810313324
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN311472_c0_g2	-0.802518831218632
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN311472_c0_g4	-0.000525240306165417
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN311472_c0_g5	-0.61515938870873
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN311779_c1_g1	-0.795633366396645
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN312701_c0_g2	18.1633704915293
"vacuolar membrane"	GO:0000329;GO:0098852;GO:0005774	2	TRINITY_DN54630_c0_g1	5.82103151723588
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN119004_c0_g1	-0.815568806165009
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN139774_c0_g1	-0.815568806697676
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN220450_c0_g1	-2.23606960678022
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN226961_c0_g1	-1.66726524599797
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN238255_c0_g1	2.10984519425316
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN271552_c0_g1	5.21878346010442
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN294663_c0_g1	-2.49001857150147
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN311035_c5_g2	0.000509743677882158
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN312091_c0_g1	-0.255924061532893
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN316284_c0_g3	-0.825053212541293
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN324253_c0_g1	-0.125018611873067
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN40121_c0_g1	0.000438135461276187
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN542348_c0_g1	0.000533556962817943
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN5913_c0_g1	4.19190144293822
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN6641_c0_g1	1.64477216472212
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN668489_c0_g1	-0.000315818598376966
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN172934_c0_g1	4.84959048171792
"extracellular region part"	GO:0005615;GO:0044421	2	TRINITY_DN277202_c0_g1	13.3396180030207
"extracellular region"	GO:0005576	1	TRINITY_DN105058_c0_g1	-0.303638189935634
"extracellular region"	GO:0005576	1	TRINITY_DN106714_c0_g1	0.640739096644463
"extracellular region"	GO:0005576	1	TRINITY_DN222989_c0_g1	-0.208452116391455
"extracellular region"	GO:0005576	1	TRINITY_DN233016_c0_g1	-1.98210223239814
"extracellular region"	GO:0005576	1	TRINITY_DN238438_c0_g1	5.14639558285485
"extracellular region"	GO:0005576	1	TRINITY_DN25698_c0_g1	1.17874964539732
"extracellular region"	GO:0005576	1	TRINITY_DN277947_c0_g1	-0.53955875990342
"extracellular region"	GO:0005576	1	TRINITY_DN298239_c0_g2	1.04236565411548
"extracellular region"	GO:0005576	1	TRINITY_DN299720_c0_g1	-0.148318428137661
"extracellular region"	GO:0005576	1	TRINITY_DN311034_c2_g1	-0.440920180668263
"extracellular region"	GO:0005576	1	TRINITY_DN316234_c0_g1	8.34009354602675
"extracellular region"	GO:0005576	1	TRINITY_DN317297_c2_g1	26.7115250404414
"extracellular region"	GO:0005576	1	TRINITY_DN38073_c0_g1	0.000477706100179228
"extracellular region"	GO:0005576	1	TRINITY_DN385116_c0_g1	-3.72932709723899
"extracellular region"	GO:0005576	1	TRINITY_DN442_c0_g1	-2.74818432436535
"extracellular region"	GO:0005576	1	TRINITY_DN663111_c0_g1	0.000496513289836506
"extracellular region"	GO:0005576	1	TRINITY_DN684456_c0_g1	-3.22037198920576
"extracellular region"	GO:0005576	1	TRINITY_DN686095_c0_g1	2.41921392306194
"nucleus"	GO:0005634	4	TRINITY_DN111549_c0_g1	-0.000395123905132898
"nucleus"	GO:0005634	4	TRINITY_DN114043_c0_g1	-1.69617831500511
"nucleus"	GO:0005634	4	TRINITY_DN227586_c0_g1	-0.431018440262979
"nucleus"	GO:0005634	4	TRINITY_DN227741_c0_g1	0.000322540457096189
"nucleus"	GO:0005634	4	TRINITY_DN231594_c0_g1	-1.59550961590223
"nucleus"	GO:0005634	4	TRINITY_DN238435_c0_g1	3.74881109361479
"nucleus"	GO:0005634	4	TRINITY_DN250566_c0_g1	-1.69646213179757
"nucleus"	GO:0005634	4	TRINITY_DN251019_c0_g1	1.78573389128033
"nucleus"	GO:0005634	4	TRINITY_DN251134_c0_g1	23.3895162755477
"nucleus"	GO:0005634	4	TRINITY_DN255930_c0_g1	-0.000438346393104826
"nucleus"	GO:0005634	4	TRINITY_DN256558_c1_g2	0.400493289229567
"nucleus"	GO:0005634	4	TRINITY_DN256641_c0_g1	5.30245334143707
"nucleus"	GO:0005634	4	TRINITY_DN271642_c0_g1	26.1892909277872
"nucleus"	GO:0005634	4	TRINITY_DN276401_c0_g1	-3.23062950983517
"nucleus"	GO:0005634	4	TRINITY_DN276588_c0_g1	-0.000331091216029045
"nucleus"	GO:0005634	4	TRINITY_DN277220_c0_g1	0.810973325544388
"nucleus"	GO:0005634	4	TRINITY_DN278382_c0_g1	20.6428360907545
"nucleus"	GO:0005634	4	TRINITY_DN292910_c0_g2	2.07005646592754
"nucleus"	GO:0005634	4	TRINITY_DN292952_c0_g1	0.92604949600765
"nucleus"	GO:0005634	4	TRINITY_DN294181_c0_g1	-2.42331998832275
"nucleus"	GO:0005634	4	TRINITY_DN294199_c0_g1	0.468376755198883
"nucleus"	GO:0005634	4	TRINITY_DN310733_c0_g1	-1.50896017439073
"nucleus"	GO:0005634	4	TRINITY_DN312712_c0_g1	-0.0984004962830178
"nucleus"	GO:0005634	4	TRINITY_DN312722_c5_g1	-7.66948903566884
"nucleus"	GO:0005634	4	TRINITY_DN314175_c0_g1	-0.10555494091294
"nucleus"	GO:0005634	4	TRINITY_DN314633_c5_g1	-3.08996489507772
"nucleus"	GO:0005634	4	TRINITY_DN349120_c0_g1	-3.22037198960231
"nucleus"	GO:0005634	4	TRINITY_DN372960_c0_g1	-0.711671898851775
"nucleus"	GO:0005634	4	TRINITY_DN375607_c0_g1	0.000389622525057191
"nucleus"	GO:0005634	4	TRINITY_DN38558_c0_g1	-3.77674395195448
"nucleus"	GO:0005634	4	TRINITY_DN616367_c0_g1	-1.98210223239814
"nucleus"	GO:0005634	4	TRINITY_DN656204_c0_g1	-1.54158514723887
"nucleus"	GO:0005634	4	TRINITY_DN668744_c0_g1	1.17874964539732
"nucleus"	GO:0005634	4	TRINITY_DN670225_c0_g1	-0.000355220550762113
"nucleus"	GO:0005634	4	TRINITY_DN686023_c0_g1	-1.85728904542542
"cytoplasm"	GO:0005737	2	TRINITY_DN104265_c0_g1	-1.96772091739378
"cytoplasm"	GO:0005737	2	TRINITY_DN111548_c0_g1	-1.71559519717585
"cytoplasm"	GO:0005737	2	TRINITY_DN116794_c0_g1	0.413338970963637
