name	term	lev	seq	value
"RNA binding"	GO:0003723	4	TRINITY_DN106983_c0_g1	-0.000325973765978556
"RNA binding"	GO:0003723	4	TRINITY_DN107_c0_g1	-0.000445534348913883
"RNA binding"	GO:0003723	4	TRINITY_DN114085_c0_g1	-0.685657189412056
"RNA binding"	GO:0003723	4	TRINITY_DN173562_c0_g1	-0.0867211783439949
"RNA binding"	GO:0003723	4	TRINITY_DN211165_c0_g1	-0.0959997149480856
"RNA binding"	GO:0003723	4	TRINITY_DN222992_c0_g1	-0.000293042486953807
"RNA binding"	GO:0003723	4	TRINITY_DN226765_c0_g1	-0.144014525317007
"RNA binding"	GO:0003723	4	TRINITY_DN251098_c0_g1	-0.163275246777331
"RNA binding"	GO:0003723	4	TRINITY_DN251191_c0_g1	-7.32701615690858
"RNA binding"	GO:0003723	4	TRINITY_DN251191_c0_g2	-18.276593583379
"RNA binding"	GO:0003723	4	TRINITY_DN256325_c0_g1	-2.22998983026682
"RNA binding"	GO:0003723	4	TRINITY_DN25957_c0_g1	-0.169322352262452
"RNA binding"	GO:0003723	4	TRINITY_DN274525_c0_g1	-3.31382136574038
"RNA binding"	GO:0003723	4	TRINITY_DN274697_c0_g1	-5.42725262228359
"RNA binding"	GO:0003723	4	TRINITY_DN276940_c0_g1	-4.11196656393408
"RNA binding"	GO:0003723	4	TRINITY_DN276980_c0_g1	-2.80112553637337
"RNA binding"	GO:0003723	4	TRINITY_DN276980_c0_g2	-3.66219166872688
"RNA binding"	GO:0003723	4	TRINITY_DN277229_c0_g1	-0.000347412327382697
"RNA binding"	GO:0003723	4	TRINITY_DN277229_c0_g2	-4.62330771004173
"RNA binding"	GO:0003723	4	TRINITY_DN292338_c3_g2	-0.345127017137064
"RNA binding"	GO:0003723	4	TRINITY_DN295087_c0_g1	-6.01962672549805
"RNA binding"	GO:0003723	4	TRINITY_DN296270_c3_g3	-0.701836491779705
"RNA binding"	GO:0003723	4	TRINITY_DN296785_c0_g1	-3.35606072801897
"RNA binding"	GO:0003723	4	TRINITY_DN2983_c0_g1	-1.75769236608052
"RNA binding"	GO:0003723	4	TRINITY_DN311470_c0_g1	-0.187568784263887
"RNA binding"	GO:0003723	4	TRINITY_DN311474_c0_g1	-0.890915657891606
"RNA binding"	GO:0003723	4	TRINITY_DN312702_c0_g1	-8.41842265758186
"RNA binding"	GO:0003723	4	TRINITY_DN312717_c0_g2	-0.901705962992266
"RNA binding"	GO:0003723	4	TRINITY_DN314256_c2_g1	-0.153433842511086
"RNA binding"	GO:0003723	4	TRINITY_DN316647_c2_g4	-0.258074167581056
"RNA binding"	GO:0003723	4	TRINITY_DN316993_c2_g1	-3.83332577781089
"RNA binding"	GO:0003723	4	TRINITY_DN371473_c0_g1	-0.000335845867929597
"RNA binding"	GO:0003723	4	TRINITY_DN38567_c0_g1	-1.44522836600345
"RNA binding"	GO:0003723	4	TRINITY_DN4011_c0_g1	-0.000475937762793225
"RNA binding"	GO:0003723	4	TRINITY_DN4402_c0_g1	-0.000355220552354738
"RNA binding"	GO:0003723	4	TRINITY_DN46455_c0_g1	-1.1569671307941
"RNA binding"	GO:0003723	4	TRINITY_DN621454_c0_g1	-1.15407617629658
"RNA binding"	GO:0003723	4	TRINITY_DN649901_c0_g1	-3.73057248441155
"RNA binding"	GO:0003723	4	TRINITY_DN6598_c0_g1	-2.62583648961002
"lyase activity"	GO:0016829	2	TRINITY_DN106388_c0_g1	-1.09077982793166
"lyase activity"	GO:0016829	2	TRINITY_DN22072_c0_g1	-2.31563576644618
"lyase activity"	GO:0016829	2	TRINITY_DN222908_c0_g1	-0.598493728084919
"lyase activity"	GO:0016829	2	TRINITY_DN22662_c0_g1	-1.65840331767758
"lyase activity"	GO:0016829	2	TRINITY_DN255274_c0_g1	-2.51442446309523
"lyase activity"	GO:0016829	2	TRINITY_DN256626_c0_g1	-0.772667561303834
"lyase activity"	GO:0016829	2	TRINITY_DN259150_c0_g1	-5.77410376298353
"lyase activity"	GO:0016829	2	TRINITY_DN276602_c0_g1	-0.00604423328006669
"lyase activity"	GO:0016829	2	TRINITY_DN277916_c0_g1	-1.89801389478761
"lyase activity"	GO:0016829	2	TRINITY_DN2784_c0_g1	-0.000365291174234836
"lyase activity"	GO:0016829	2	TRINITY_DN294744_c0_g1	-1.61436446117031
"lyase activity"	GO:0016829	2	TRINITY_DN296778_c0_g1	-0.257489846042004
"lyase activity"	GO:0016829	2	TRINITY_DN296778_c0_g2	-3.25149625802524
"lyase activity"	GO:0016829	2	TRINITY_DN3534_c0_g1	-0.000335845867929597
"lyase activity"	GO:0016829	2	TRINITY_DN4434_c0_g1	-0.000355220554743565
"lyase activity"	GO:0016829	2	TRINITY_DN616796_c0_g1	-3.85401061814078
"lyase activity"	GO:0016829	2	TRINITY_DN664949_c0_g1	-1.09077977378038
"lipid transporter activity"	GO:0005319	2	TRINITY_DN311471_c0_g1	-0.686330122440178
"lipid transporter activity"	GO:0005319	2	TRINITY_DN317246_c8_g1	-0.000389065005136483
"lipid transporter activity"	GO:0005319	2	TRINITY_DN317298_c3_g1	-0.797305440542323
"lipid transporter activity"	GO:0005319	2	TRINITY_DN371134_c0_g1	-1.44961858357814
"lipid transporter activity"	GO:0005319	2	TRINITY_DN676527_c0_g1	-0.945552222300001
"signaling receptor binding"	GO:0005102	2	TRINITY_DN2517_c0_g1	-4.30786094201321
"signaling receptor binding"	GO:0005102	2	TRINITY_DN29676_c0_g1	-0.000552932221354542
"signaling receptor binding"	GO:0005102	2	TRINITY_DN298474_c6_g1	-0.246737026387893
"signaling receptor binding"	GO:0005102	2	TRINITY_DN29864_c0_g1	-0.000302026134076334
"signaling receptor binding"	GO:0005102	2	TRINITY_DN375621_c0_g1	-0.000452531676737697
"signaling receptor binding"	GO:0005102	2	TRINITY_DN48385_c0_g1	-2.83459170423284
"signaling receptor binding"	GO:0005102	2	TRINITY_DN485632_c0_g1	-0.000359165186813379
"signaling receptor binding"	GO:0005102	2	TRINITY_DN689772_c0_g1	-0.682593375337095
"transaminase activity"	GO:0008483;GO:0016769	2	TRINITY_DN175456_c0_g1	-0.000395123906296317
"transaminase activity"	GO:0008483;GO:0016769	2	TRINITY_DN274734_c0_g1	-0.000457884337423172
"transaminase activity"	GO:0008483;GO:0016769	2	TRINITY_DN2949_c0_g1	-1.89662173359675
"transaminase activity"	GO:0008483;GO:0016769	2	TRINITY_DN311499_c1_g1	-0.151296869660621
"transaminase activity"	GO:0008483;GO:0016769	2	TRINITY_DN35676_c0_g1	-2.28787797817634
"transaminase activity"	GO:0008483;GO:0016769	2	TRINITY_DN484524_c0_g1	-0.000409036468333303
"transferase activity, transferring glycosyl groups"	GO:0016763;GO:0016757	3	TRINITY_DN274840_c0_g1	-22.1205001983467
"transferase activity, transferring glycosyl groups"	GO:0016763;GO:0016757	3	TRINITY_DN277322_c0_g1	-0.452837752781103
"transferase activity, transferring glycosyl groups"	GO:0016763;GO:0016757	3	TRINITY_DN294103_c7_g1	-1.69702047107505
"transferase activity, transferring glycosyl groups"	GO:0016763;GO:0016757	3	TRINITY_DN298613_c0_g1	-1.02629664057581
"transferase activity, transferring glycosyl groups"	GO:0016763;GO:0016757	3	TRINITY_DN298613_c0_g2	-0.99909561683348
"transferase activity, transferring glycosyl groups"	GO:0016763;GO:0016757	3	TRINITY_DN312765_c0_g4	-0.420422919982614
"purine nucleoside binding"	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882	4	TRINITY_DN173208_c0_g1	-0.313448208923845
"purine nucleoside binding"	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882	4	TRINITY_DN274576_c0_g1	-1.9045841127589
"purine nucleoside binding"	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882	4	TRINITY_DN314884_c0_g7	-0.00038527307714256
"purine nucleoside binding"	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882	4	TRINITY_DN317256_c1_g1	-0.303888993776816
"purine nucleoside binding"	GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882	4	TRINITY_DN626629_c0_g1	-0.261148487559233
"catalytic activity, acting on DNA"	GO:0140097	2	TRINITY_DN293389_c0_g1	-2.32181927146975
"catalytic activity, acting on DNA"	GO:0140097	2	TRINITY_DN311071_c2_g1	-0.000417250160319338
"catalytic activity, acting on DNA"	GO:0140097	2	TRINITY_DN317294_c9_g1	-4.54327831543138
"catalytic activity, acting on DNA"	GO:0140097	2	TRINITY_DN317296_c5_g1	-1.14563237755583
"catalytic activity, acting on DNA"	GO:0140097	2	TRINITY_DN649974_c0_g1	-1.28080049950048
"transcription regulator activity"	GO:0140110	1	TRINITY_DN25206_c0_g1	-3.96408516485221
"transcription regulator activity"	GO:0140110	1	TRINITY_DN255850_c0_g1	-0.000327812105277553
"transcription regulator activity"	GO:0140110	1	TRINITY_DN299037_c9_g2	-1.69357553802842
"transcription regulator activity"	GO:0140110	1	TRINITY_DN4939_c0_g1	-0.413338970910114
"transcription regulator activity"	GO:0140110	1	TRINITY_DN494769_c0_g1	-0.952068949329633
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN173144_c0_g2	-1.89676409668974
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN22073_c0_g1	-5.91269136553304
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN251134_c1_g1	-6.64448709418536
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN252070_c0_g1	-0.610949719680318
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN278923_c0_g1	-1.37480359717258
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN278967_c0_g1	-0.579399317028084
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN295276_c1_g1	-1.92938235032959
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN34625_c0_g1	-1.79859930638112
"ion channel activity"	GO:0005216;GO:0022838;GO:0015267;GO:0022803	3	TRINITY_DN375730_c0_g1	-4.40777324906452
"inorganic anion transmembrane transporter activity"	GO:0015103	2	TRINITY_DN173144_c0_g2	-1.89676409668974
"inorganic anion transmembrane transporter activity"	GO:0015103	2	TRINITY_DN226665_c1_g1	-4.9781285748259
"inorganic anion transmembrane transporter activity"	GO:0015103	2	TRINITY_DN293347_c0_g2	-0.101565234962061
"inorganic anion transmembrane transporter activity"	GO:0015103	2	TRINITY_DN295276_c1_g1	-1.92938235032959
"inorganic anion transmembrane transporter activity"	GO:0015103	2	TRINITY_DN299785_c1_g7	-0.000335049691964835
