"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.600155283018688 6 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.863046368450051 5 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.853814009638142 5 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "autophagosome organization" 1
0 0.287526732937669 2 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.813742722939967 3 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 1
0 0.910096491292669 7 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 1
0 1 5 9 "GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310" "intracellular signal transduction" 1
0 0.813742722939967 6 7 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0045937;GO:0043085;GO:0010562;GO:0044093;GO:0031325;GO:0009893;GO:0032270;GO:0051247;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009967;GO:0010647;GO:0023056" "positive regulation of kinase activity" 1
0 0.374698526933327 2 6 "GO:0000209" "protein polyubiquitination" 1
0 0.544424621330761 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 1 2 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 5 6 "GO:0000245" "spliceosomal complex assembly" 1
0 0.698130323347123 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 1
0 0.923751872194644 2 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.912941503307213 9 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing, via transesterification reactions" 1
0 0.374698526933327 4 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of RNA splicing" 1
0 0.944831888504797 6 12 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.762816682629883 5 6 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 1
0 0.357961593430772 2 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 0.966222198496649 4 14 "GO:0000902;GO:0032989;GO:0009653" "anatomical structure morphogenesis" 1
0 0.662403150976553 5 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 1
0 0.287526732937669 2 5 "GO:0001522" "pseudouridine synthesis" 1
0 0.287526732937669 6 5 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.853814009638142 2 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 0.287526732937669 4 5 "GO:0001764" "neuron migration" 1
0 0.867523134959108 3 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 1
0 0.698130323347123 6 5 "GO:0002182;GO:0006414" "cytoplasmic translational elongation" 1
0 0.0128057421179467 1 8 "GO:0002376" "immune system process" 0.343816397152577
0 0.0667499280441431 5 5 "GO:0002758;GO:0002757;GO:0002218;GO:0002253;GO:0002764;GO:0045089;GO:0050778;GO:0050776;GO:0031349;GO:0045088;GO:0002684;GO:0002682;GO:0031347;GO:0080134" "activation of immune response" 0.508326375105397
0 0.0128057421179467 6 8 "GO:0003333;GO:0006865;GO:1905039;GO:0046942;GO:0098656;GO:1903825;GO:0015711;GO:0015849;GO:0006820;GO:0034220;GO:0055085" "transmembrane transport" 0.343816397152577
0 0.287526732937669 3 5 "GO:0005975" "carbohydrate metabolic process" 1
0 0.544424621330761 4 13 "GO:0006259" "DNA metabolic process" 1
0 0.715515751004257 4 11 "GO:0006281;GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA repair" 1
0 0.162063000084204 3 30 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.980063558351635
0 0.0961878679421902 4 31 "GO:0006464;GO:0036211" "cellular protein modification process" 0.680185637591202
0 0.457260440769374 4 7 "GO:0006508" "proteolysis" 1
0 0.698130323347123 4 5 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent macromolecule catabolic process" 1
0 0.599251490466939 5 14 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 1
0 1 3 7 "GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135" "carbohydrate derivative biosynthetic process" 1
0 0.762816682629883 3 6 "GO:0006721;GO:0006720" "terpenoid metabolic process" 1
0 1 2 12 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 1
0 0.0466450599105048 2 24 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 0.508326375105397
0 0.00801301383028624 2 10 "GO:0006811" "ion transport" 0.343816397152577
0 0.698130323347123 2 5 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 1
0 0.0173644645026554 2 42 "GO:0006950;GO:0050896" "response to stimulus" 0.343816397152577
0 0.194141846294067 2 15 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 1
0 0.380830805385457 3 28 "GO:0006996" "organelle organization" 1
0 0.649647905531507 2 15 "GO:0007165" "signal transduction" 1
0 0.762816682629883 8 6 "GO:0008033;GO:0006399" "tRNA processing" 1
0 0.293615821945501 2 9 "GO:0008104;GO:0051641;GO:0033036;GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0051649;GO:0042886" "cellular localization" 1
0 0.979365331271527 2 16 "GO:0008610" "lipid biosynthetic process" 1
0 0.644224403331565 2 20 "GO:0009057;GO:1901575;GO:0009056" "organic substance catabolic process" 1
0 1 4 6 "GO:0009073;GO:0009072" "aromatic amino acid family biosynthetic process" 1
0 0.289407231725485 2 13 "GO:0009451" "RNA modification" 1
0 0.229310614919253 2 8 "GO:0009628" "response to abiotic stimulus" 1
0 0.885327157261057 4 9 "GO:0009966;GO:0010646;GO:0023051" "regulation of cell communication" 1
0 0.560426807656005 2 23 "GO:0010468" "regulation of gene expression" 1
0 0.773339194423681 4 18 "GO:0010629;GO:0010605;GO:0009892" "negative regulation of metabolic process" 1
0 0.766302033171791 2 34 "GO:0016071" "mRNA metabolic process" 1
0 0.457260440769374 3 7 "GO:0016477;GO:0048870;GO:0006928;GO:0040011" "movement of cell or subcellular component" 1
0 0.0239723970286188 4 9 "GO:0016567;GO:0032446" "protein modification by small protein conjugation" 0.39554455097221
0 0.907039352442315 2 17 "GO:0018130;GO:1901362;GO:0019438" "organic cyclic compound biosynthetic process" 1
0 0.642100738631996 3 25 "GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 1
0 0.698130323347123 1 5 "GO:0022414" "reproductive process" 1
0 0.762816682629883 3 6 "GO:0030154" "cell differentiation" 1
0 0.374698526933327 3 6 "GO:0031126;GO:0043144;GO:0016074" "snoRNA metabolic process" 1
0 0.0667499280441431 6 5 "GO:0031570;GO:0000075;GO:0045786" "DNA integrity checkpoint" 0.508326375105397
0 0.698130323347123 1 5 "GO:0032501" "multicellular organismal process" 1
0 0.884489878395826 1 34 "GO:0032502" "developmental process" 1
0 0.231858636382142 2 41 "GO:0034470;GO:0034660" "ncRNA processing" 1
0 0.064187194737975 2 18 "GO:0042221;GO:0006979;GO:0000302;GO:1901700" "response to chemical" 0.508326375105397
0 0.0583667563938585 2 44 "GO:0043412" "macromolecule modification" 0.508326375105397
0 0.813742722939967 7 7 "GO:0043628;GO:0031123" "RNA 3'-end processing" 1
0 0.775054256601797 3 29 "GO:0044255;GO:0006629" "lipid metabolic process" 1
0 0.695437859113219 2 16 "GO:0044265;GO:0044248" "cellular catabolic process" 1
0 0.884489878395826 2 34 "GO:0044281" "small molecule metabolic process" 1
0 1 3 16 "GO:0044283;GO:0046394;GO:0016053" "small molecule biosynthetic process" 1
0 0.282182754036349 3 17 "GO:0048518;GO:0048583;GO:0048584" "positive regulation of biological process" 1
0 0.443673083557828 3 25 "GO:0048519" "negative regulation of biological process" 1
0 0.662403150976553 2 10 "GO:0048522" "positive regulation of cellular process" 1
0 0.503237702361855 2 17 "GO:0048523" "negative regulation of cellular process" 1
0 0.374698526933327 2 6 "GO:0048646" "anatomical structure formation involved in morphogenesis" 1
