"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1 0.986681972519072 2 19 "GO:0000027" "ribosomal large subunit assembly" 0.993601997996258
-2 0.949559975777743 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.993601997996258
69 0.186264456248966 3 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "autophagosome assembly" 0.94979549777104
-67 0.314011399032239 3 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.952795295320194
2 0.96594375608792 3 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 0.993601997996258
-10 0.837412276211218 6 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0009889;GO:0031324;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.986950182677507
84 0.0908413623651062 6 9 "GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310" "intracellular signal transduction" 0.700306462313695
-20 0.721989471309085 7 7 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0043405;GO:0043410;GO:0071902;GO:0001934;GO:0033674;GO:0043408;GO:1902531;GO:1902533;GO:0031401;GO:0042327;GO:0009967;GO:0032270;GO:0031325;GO:0051247;GO:0009893;GO:0010604;GO:0051173;GO:0045937;GO:0010647;GO:0023056;GO:0010562;GO:0051347;GO:0043085;GO:0044093" "regulation of MAP kinase activity" 0.952795295320194
49 0.415687801965846 2 6 "GO:0000209" "protein polyubiquitination" 0.952795295320194
-8 0.847756793174527 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.987387323815037
19 0.735598576619368 2 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.952795295320194
119 0.048850469431982 2 6 "GO:0000245" "spliceosomal complex assembly" 0.690885210538031
-46 0.490790711493292 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.952795295320194
39 0.267555248693629 2 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.952795295320194
33 0.232777321263806 4 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing" 0.952795295320194
-55 0.366379705823046 3 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.952795295320194
21 0.630041271403192 5 12 "GO:0000387" "spliceosomal snRNP assembly" 0.952795295320194
65 0.280505780124274 7 6 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 0.952795295320194
32 0.301939973025316 2 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.952795295320194
32 0.416975267789976 4 14 "GO:0000902;GO:0032989;GO:0009653" "anatomical structure morphogenesis" 0.952795295320194
2 0.967955738108756 4 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 0.993601997996258
-26 0.696834660368359 4 5 "GO:0001522" "pseudouridine synthesis" 0.952795295320194
-71 0.284165176346881 2 5 "GO:0001676" "long-chain fatty acid metabolic process" 0.952795295320194
