"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
61 0.07538035944472 2 19 "GO:0000027" "ribosomal large subunit assembly" 0.746265558502728
-9 0.813348180131878 5 15 "GO:0000028" "ribosomal small subunit assembly" 0.936296160849488
-6 0.9045344290602 5 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "autophagosome organization" 0.962891488999568
63 0.34117881754626 2 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.775310827276469
34 0.538841598009878 3 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 0.889088636716299
-25 0.598483039530817 4 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0051253;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.8934680090693
-61 0.214788115586386 5 9 "GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310" "intracellular signal transduction" 0.775310827276469
48 0.396742283310103 6 7 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0045937;GO:0043085;GO:0031325;GO:0051247;GO:0010562;GO:0044093;GO:0009893;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009967;GO:0010647;GO:0023056" "activation of protein kinase activity" 0.775310827276469
-61 0.314133408070434 2 6 "GO:0000209" "protein polyubiquitination" 0.775310827276469
-10 0.809052769872188 2 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.936296160849488
69 0.220481095802834 2 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.775310827276469
12 0.848317634502569 2 6 "GO:0000245" "spliceosomal complex assembly" 0.949688435177855
-144 0.0296973731167582 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.735009984639765
-51 0.145322741342049 2 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.775310827276469
-5 0.863353122888959 2 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing, via transesterification reactions" 0.949688435177855
-117 0.0521404318415216 8 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.746265558502728
78 0.0689993968528672 4 12 "GO:0000387" "spliceosomal snRNP assembly" 0.746265558502728
64 0.286775089653383 3 6 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 0.775310827276469
41 0.190400549107552 3 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.775310827276469
-33 0.410658246505765 3 14 "GO:0000902;GO:0032989;GO:0009653" "anatomical structure morphogenesis" 0.775310827276469
80 0.0896948713281316 4 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "organic cyclic compound catabolic process" 0.748678694566664
23 0.73332470279294 2 5 "GO:0001522" "pseudouridine synthesis" 0.896139235383487
-72 0.280063615554557 6 5 "GO:0001676" "long-chain fatty acid metabolic process" 0.775310827276469
-57 0.280401706350901 4 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.775310827276469
-88 0.182270599710542 2 5 "GO:0001764" "neuron migration" 0.775310827276469
23 0.275017559216005 4 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 0.775310827276469
29 0.658819845071302 3 5 "GO:0002182;GO:0006414" "cytoplasmic translational elongation" 0.8934680090693
60 0.256314621036932 1 8 "GO:0002376" "immune system process" 0.775310827276469
129 0.0506898983580758 6 5 "GO:0002758;GO:0002757;GO:0002218;GO:0002253;GO:0002764;GO:0045089;GO:0050778;GO:0050776;GO:0031349;GO:0045088;GO:0002684;GO:0002682;GO:0031347;GO:0080134" "activation of innate immune response" 0.746265558502728
-170 0.00120264469800407 5 8 "GO:0003333;GO:0006865;GO:1905039;GO:0046942;GO:0015711;GO:0015849;GO:0006820;GO:0098656;GO:1903825;GO:0034220;GO:0055085" "transmembrane transport" 0.119061825102403
94 0.156687909582144 2 5 "GO:0005975" "carbohydrate metabolic process" 0.775310827276469
-12 0.772271651169237 2 13 "GO:0006259" "DNA metabolic process" 0.910177303163744
26 0.561013852366626 5 11 "GO:0006281;GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA repair" 0.8934680090693
26 0.344663473086439 2 30 "GO:0006364;GO:0016072" "rRNA processing" 0.775310827276469
-5 0.843664566954245 2 31 "GO:0006464;GO:0036211" "cellular protein modification process" 0.949688435177855
-48 0.395302099800728 2 7 "GO:0006508" "proteolysis" 0.775310827276469
-9 0.896672740155797 6 5 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "ubiquitin-dependent protein catabolic process" 0.962891488999568
