"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2 0.935540952894654 5 5 "GO:0000096" "sulfur amino acid metabolic process" 0.978452717587173
9 0.699669588005559 8 6 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein ubiquitination" 0.93027980066596
-16 0.293422949856645 3 13 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.792013380475451
-37 0.097707963438191 3 6 "GO:0000302;GO:0006979;GO:1901700;GO:0042221" "response to chemical" 0.65287434312279
1 0.972835008390524 3 5 "GO:0000902;GO:0032989" "cell morphogenesis" 0.978452717587173
-27 0.197773369023825 4 7 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of phosphorylation" 0.762840137663325
6 0.76672913421851 3 7 "GO:0005975" "carbohydrate metabolic process" 0.93027980066596
-63 0.00965303682637804 5 5 "GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0009889;GO:0031326" "regulation of cellular biosynthetic process" 0.173754662874805
-5 0.79246057093767 5 9 "GO:0006396" "RNA processing" 0.93027980066596
-19 0.140432161150559 4 20 "GO:0006464;GO:0036211;GO:0044267;GO:0043412;GO:0019538" "macromolecule modification" 0.65287434312279
-14 0.455296391199291 2 8 "GO:0006520" "cellular amino acid metabolic process" 0.792013380475451
21 0.256000765768281 3 9 "GO:0006636;GO:0006633;GO:0033559;GO:0072330" "monocarboxylic acid biosynthetic process" 0.792013380475451
6 0.750738774141444 3 9 "GO:0006790" "sulfur compound metabolic process" 0.93027980066596
50 0.0393796817473756 4 5 "GO:0006811" "ion transport" 0.531625703589571
-4 0.815348671982179 2 11 "GO:0006950;GO:0050896" "response to stimulus" 0.93678358057527
22 0.147708938557839 3 13 "GO:0006996" "organelle organization" 0.65287434312279
20 0.413775086680426 2 5 "GO:0007010" "cytoskeleton organization" 0.792013380475451
-23 0.305450909417429 2 6 "GO:0007017" "microtubule-based process" 0.792013380475451
27 0.22856671410512 3 6 "GO:0007165" "signal transduction" 0.792013380475451
-12 0.627496829557414 6 5 "GO:0008380" "RNA splicing" 0.93027980066596
11 0.465856384196229 3 13 "GO:0008610;GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 0.792013380475451
-8 0.662435985666875 2 10 "GO:0009056;GO:1901575" "catabolic process" 0.93027980066596
-21 0.355745822912856 2 6 "GO:0009057" "macromolecule catabolic process" 0.792013380475451
-12 0.557824084110133 2 7 "GO:0009653" "anatomical structure morphogenesis" 0.912803046725672
-25 0.143659588888598 3 10 "GO:0010468" "regulation of gene expression" 0.65287434312279
-16 0.341279043473155 2 11 "GO:0010605;GO:0009892;GO:0048519" "negative regulation of biological process" 0.792013380475451
-23 0.265163815752757 2 7 "GO:0010629" "negative regulation of gene expression" 0.792013380475451
0 0.978452717587173 2 13 "GO:0016070" "RNA metabolic process" 0.978452717587173
1 0.948078763070204 2 7 "GO:0016071" "mRNA metabolic process" 0.978452717587173
7 0.602488803190125 3 19 "GO:0019752;GO:0043436;GO:0006082" "oxoacid metabolic process" 0.93027980066596
8 0.739877729118244 1 5 "GO:0022414" "reproductive process" 0.93027980066596
16 0.345517487447008 2 10 "GO:0022607" "cellular component assembly" 0.792013380475451
-7 0.736888623935875 5 8 "GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933" "ribonucleoprotein complex subunit organization" 0.93027980066596
-27 0.0649698669293859 2 14 "GO:0031323;GO:0051171;GO:0080090" "regulation of cellular metabolic process" 0.65287434312279
-33 0.0916668885536451 2 8 "GO:0031324;GO:0048523;GO:0051172" "negative regulation of cellular process" 0.65287434312279
7 0.772237642255637 5 5 "GO:0034470;GO:0034660" "ncRNA metabolic process" 0.93027980066596
-24 0.331794249952672 3 5 "GO:0042592" "homeostatic process" 0.792013380475451
16 0.461448752464149 2 6 "GO:0044248;GO:0046700;GO:1901361;GO:0044270" "cellular catabolic process" 0.792013380475451
11 0.460191720388592 3 15 "GO:0044255;GO:0006629" "lipid metabolic process" 0.792013380475451
-7 0.728362485326541 2 7 "GO:0044271" "cellular nitrogen compound biosynthetic process" 0.93027980066596
12 0.436650159167667 4 14 "GO:0046394;GO:0016053;GO:0044283" "small molecule biosynthetic process" 0.792013380475451
2 0.938926716509208 3 5 "GO:0048518" "positive regulation of biological process" 0.978452717587173
2 0.952480204435442 2 5 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.978452717587173
6 0.788919493584584 2 7 "GO:0048856" "anatomical structure development" 0.93027980066596
-2 0.936562839360075 2 7 "GO:0048869" "cellular developmental process" 0.978452717587173
43 0.00379404399909625 2 14 "GO:0051234;GO:0051179;GO:0006810" "establishment of localization" 0.132364523519451
-31 0.126837320108468 2 7 "GO:0051252;GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.65287434312279
-21 0.112632795507444 2 18 "GO:0060255;GO:0019222" "regulation of metabolic process" 0.65287434312279
-15 0.469341262503971 2 7 "GO:0065008" "regulation of biological quality" 0.792013380475451
54 0.00490238975997965 2 8 "GO:0071702" "organic substance transport" 0.132364523519451
18 0.157173452974005 3 19 "GO:0090304;GO:0006139" "nucleobase-containing compound metabolic process" 0.65287434312279
-27 0.264751540680829 2 5 "GO:1901362" "organic cyclic compound biosynthetic process" 0.792013380475451
-14 0.430915491150607 2 10 "GO:1901566" "organonitrogen compound biosynthetic process" 0.792013380475451
-4 0.737274370455165 2 18 "GO:1903047" "mitotic cell cycle process" 0.93027980066596
