"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
52 0.321653279094784 2 11 "GO:0000151" "ubiquitin ligase complex" 0.744376743655863
64 0.224885299162394 3 11 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.710654242935358
15 0.705468940286521 3 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0044455;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 0.817050855073402
86 0.272249084399116 5 5 "GO:0000322" "storage vacuole" 0.710654242935358
55 0.408494361383954 5 7 "GO:0000323" "lytic vacuole" 0.744376743655863
-80 0.225549614531824 2 7 "GO:0000347" "THO complex" 0.710654242935358
40 0.391242227672407 4 14 "GO:0000502;GO:1905369" "endopeptidase complex" 0.744376743655863
0 0.999182232149153 2 8 "GO:0000775;GO:0098687" "chromosomal region" 0.999182232149153
-76 0.283896560346735 4 6 "GO:0000785" "chromatin" 0.710654242935358
20 0.678721133189889 4 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.817050855073402
44 0.481357940648448 5 8 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 0.775606336248063
28 0.476557282756195 2 20 "GO:0000943" "retrotransposon nucleocapsid" 0.775606336248063
-40 0.273607646256658 1 24 "GO:0005576" "extracellular region" 0.710654242935358
44 0.571996557505934 2 5 "GO:0005654" "nucleoplasm" 0.775606336248063
-68 0.201387739871381 3 11 "GO:0005730" "nucleolus" 0.710654242935358
-40 0.123015228732836 2 49 "GO:0005737" "cytoplasm" 0.710654242935358
15 0.577902760341694 2 43 "GO:0005739" "mitochondrion" 0.775606336248063
-63 0.111678296607716 2 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 0.710654242935358
80 0.148101647607123 2 10 "GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 0.710654242935358
-16 0.729530544187796 3 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 0.817050855073402
-11 0.752968435067645 4 25 "GO:0005773" "vacuole" 0.817050855073402
-79 0.0151052973151715 4 30 "GO:0005774;GO:0044437" "vacuolar part" 0.316833632757579
42 0.292622335326324 3 20 "GO:0005783" "endoplasmic reticulum" 0.710654242935358
24 0.611101472189778 2 14 "GO:0005789" "endoplasmic reticulum membrane" 0.799132694402017
69 0.171888645833984 3 12 "GO:0005794" "Golgi apparatus" 0.710654242935358
4 0.898283679848711 4 30 "GO:0005829" "cytosol" 0.954426409839256
-21 0.748388042075681 2 7 "GO:0005840" "ribosome" 0.817050855073402
-10 0.723853402034868 2 37 "GO:0005886" "plasma membrane" 0.817050855073402
88 0.025497333761567 3 20 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 0.325091005459979
-38 0.254945853397099 3 29 "GO:0009536;GO:0009507" "plastid" 0.710654242935358
67 0.253383988096531 4 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "plastid membrane" 0.710654242935358
24 0.532855171719941 3 21 "GO:0016021;GO:0031224" "integral component of membrane" 0.775606336248063
-25 0.682581378126032 4 8 "GO:0017117;GO:0033202;GO:1904949" "single-stranded DNA-dependent ATP-dependent DNA helicase complex" 0.817050855073402
-18 0.546490380657759 2 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.775606336248063
17 0.423273050314118 1 75 "GO:0044425" "membrane part" 0.744376743655863
-22 0.500522187436758 3 30 "GO:0044427" "chromosomal part" 0.775606336248063
-14 0.526251131424257 3 69 "GO:0044428" "nuclear part" 0.775606336248063
27 0.33954681687858 3 42 "GO:0044429" "mitochondrial part" 0.744376743655863
-58 0.414267816456427 3 6 "GO:0044430" "cytoskeletal part" 0.744376743655863
23 0.550648650464206 3 21 "GO:0044432" "endoplasmic reticulum part" 0.775606336248063
80 0.0186372725151517 3 27 "GO:0044434;GO:0044435" "plastid part" 0.316833632757579
209 0.00728953531967226 2 5 "GO:0044451" "nucleoplasm part" 0.316833632757579
-124 0.113164532271145 2 5 "GO:0044454" "nuclear chromosome part" 0.710654242935358
-76 0.219117061605354 2 8 "GO:0044459" "plasma membrane part" 0.710654242935358
25 0.40649352597011 2 36 "GO:0098796" "membrane protein complex" 0.744376743655863
-13 0.675823369311429 2 33 "GO:0098805" "whole membrane" 0.817050855073402
-5 0.948188582612035 2 6 "GO:0098852" "lytic vacuole membrane" 0.986890157412526
44 0.0564861963072308 2 62 "GO:1902494" "catalytic complex" 0.576159202333754
59 0.144631198617198 2 19 "GO:1905368" "peptidase complex" 0.710654242935358
36 0.352017614977212 2 21 "GO:1990234" "transferase complex" 0.744376743655863
1 0.980757661137821 2 18 "GO:1990904" "ribonucleoprotein complex" 0.999182232149153
