"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-43 0.421660683211629 2 11 "GO:0000151" "ubiquitin ligase complex" 0.918004001405388
24 0.656846640697027 3 11 "GO:0000159;GO:0008287;GO:1903293" "phosphatase complex" 0.918004001405388
-16 0.699493617849121 3 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0044455;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 0.918004001405388
21 0.788941528574491 2 5 "GO:0000322" "storage vacuole" 0.918004001405388
8 0.901546296115301 2 7 "GO:0000323" "lytic vacuole" 0.918004001405388
-9 0.892883974167636 2 7 "GO:0000347" "THO complex" 0.918004001405388
-9 0.843815605192029 3 14 "GO:0000502;GO:1905369" "proteasome complex" 0.918004001405388
-128 0.0377542162824964 2 8 "GO:0000775;GO:0098687" "chromosomal region" 0.918004001405388
114 0.108353390989916 2 6 "GO:0000785" "chromatin" 0.918004001405388
13 0.783061309287299 2 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.918004001405388
-69 0.262612454622283 4 8 "GO:0000932;GO:0036464;GO:0035770" "ribonucleoprotein granule" 0.918004001405388
-57 0.150589135440041 2 20 "GO:0000943" "retrotransposon nucleocapsid" 0.918004001405388
43 0.237532853988839 1 24 "GO:0005576" "extracellular region" 0.918004001405388
-79 0.311275665452505 2 5 "GO:0005654" "nucleoplasm" 0.918004001405388
-62 0.23961085456643 4 11 "GO:0005730" "nucleolus" 0.918004001405388
10 0.704039915837227 3 49 "GO:0005737" "cytoplasm" 0.918004001405388
-8 0.770887825684279 3 43 "GO:0005739" "mitochondrion" 0.918004001405388
31 0.435415736512914 3 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 0.918004001405388
39 0.480096858697875 4 10 "GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 0.918004001405388
-5 0.909481483661311 3 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "intracellular vesicle" 0.918004001405388
-4 0.918004001405388 3 25 "GO:0005773" "vacuole" 0.918004001405388
13 0.687016986030848 2 30 "GO:0005774;GO:0044437" "vacuolar part" 0.918004001405388
27 0.496240742033386 3 20 "GO:0005783" "endoplasmic reticulum" 0.918004001405388
-13 0.776232988671755 3 14 "GO:0005789" "endoplasmic reticulum membrane" 0.918004001405388
13 0.797871628464892 3 12 "GO:0005794" "Golgi apparatus" 0.918004001405388
10 0.757278306771585 4 30 "GO:0005829" "cytosol" 0.918004001405388
115 0.0815490359475032 3 7 "GO:0005840" "ribosome" 0.918004001405388
-43 0.146269024368753 2 37 "GO:0005886" "plasma membrane" 0.918004001405388
-29 0.458102522999414 5 20 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 0.918004001405388
4 0.898379316050792 3 29 "GO:0009536;GO:0009507" "plastid" 0.918004001405388
-53 0.362791004113374 4 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "chloroplast membrane" 0.918004001405388
27 0.484469818719493 2 21 "GO:0016021;GO:0031224" "integral component of membrane" 0.918004001405388
74 0.230068843015996 3 8 "GO:0017117;GO:0033202;GO:1904949" "single-stranded DNA-dependent ATP-dependent DNA helicase complex" 0.918004001405388
-8 0.791868052469639 3 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.918004001405388
6 0.793913672873572 1 75 "GO:0044425" "membrane part" 0.918004001405388
-5 0.882085735776079 3 30 "GO:0044427" "chromosomal part" 0.918004001405388
-19 0.384144212944839 3 69 "GO:0044428" "nuclear part" 0.918004001405388
11 0.67941549825745 2 42 "GO:0044429" "mitochondrial part" 0.918004001405388
-96 0.176875668172765 2 6 "GO:0044430" "cytoskeletal part" 0.918004001405388
27 0.485269587802657 2 21 "GO:0044432" "endoplasmic reticulum part" 0.918004001405388
-34 0.316899025273335 3 27 "GO:0044434;GO:0044435" "plastid part" 0.918004001405388
22 0.775039219233286 2 5 "GO:0044451" "nucleoplasm part" 0.918004001405388
26 0.737677908336957 2 5 "GO:0044454" "nuclear chromosome part" 0.918004001405388
-11 0.860874278221311 2 8 "GO:0044459" "plasma membrane part" 0.918004001405388
8 0.801849338699886 2 36 "GO:0098796" "membrane protein complex" 0.918004001405388
-4 0.906006340989651 2 33 "GO:0098805" "whole membrane" 0.918004001405388
157 0.0272306265124302 2 6 "GO:0098852" "lytic vacuole membrane" 0.918004001405388
21 0.363130047711866 2 62 "GO:1902494" "catalytic complex" 0.918004001405388
6 0.89160290875084 3 19 "GO:1905368" "peptidase complex" 0.918004001405388
40 0.29801397780461 3 21 "GO:1990234" "transferase complex" 0.918004001405388
39 0.342665527214911 2 18 "GO:1990904" "ribonucleoprotein complex" 0.918004001405388
