"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
8 0.700604107368218 4 25 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.808075448622039
-21 0.57429026892575 6 8 "GO:0000329;GO:0098852;GO:0005774" "vacuolar membrane" 0.808075448622039
-17 0.596344734111083 4 11 "GO:0000785" "chromatin" 0.808075448622039
-8 0.851616936207276 5 7 "GO:0000790;GO:0044454" "nuclear chromatin" 0.880004167414185
-25 0.327928248418664 1 18 "GO:0005576" "extracellular region" 0.808075448622039
-13 0.600275878596265 2 18 "GO:0005615;GO:0044421" "extracellular region part" 0.808075448622039
-26 0.159205511578447 2 35 "GO:0005634" "nucleus" 0.620133941991109
-29 0.12136638492855 3 34 "GO:0005737" "cytoplasm" 0.620133941991109
32 0.160034565675125 2 22 "GO:0005739" "mitochondrion" 0.620133941991109
-12 0.710812587228635 2 11 "GO:0005783" "endoplasmic reticulum" 0.808075448622039
57 0.152594737112454 3 7 "GO:0005789;GO:0044432" "endoplasmic reticulum part" 0.620133941991109
-33 0.370780935730439 2 8 "GO:0005829" "cytosol" 0.808075448622039
17 0.456095020467709 2 22 "GO:0005886" "plasma membrane" 0.808075448622039
-26 0.538446941115359 3 6 "GO:0005887;GO:0031226;GO:0044459" "plasma membrane part" 0.808075448622039
97 0.024261602918258 4 6 "GO:0009522" "photosystem I" 0.376054845232999
42 0.0145051832897717 2 42 "GO:0009523;GO:0009521;GO:0044436" "thylakoid part" 0.376054845232999
3 0.895972974203719 2 27 "GO:0016021;GO:0031224" "integral component of membrane" 0.895972974203719
11 0.543921711991184 2 36 "GO:0031090;GO:0098588" "organelle membrane" 0.808075448622039
-26 0.480159812937459 3 8 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.808075448622039
12 0.675813598093919 2 15 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.808075448622039
-31 0.224688461636066 2 18 "GO:0044427" "chromosomal part" 0.773926923413116
-77 0.0537008919666806 3 7 "GO:0044430" "cytoskeletal part" 0.554909216989033
7 0.827623232903676 3 11 "GO:0044437" "vacuolar part" 0.880004167414185
-39 0.40848971116227 3 5 "GO:0044441;GO:0120038;GO:0044463" "ciliary part" 0.808075448622039
83 0.0781882486096663 4 5 "GO:0044451" "nucleoplasm part" 0.605958926724914
-24 0.526149409240218 2 8 "GO:0098800;GO:0044455;GO:0098798;GO:0044429" "mitochondrial part" 0.808075448622039
-14 0.644456674592233 2 13 "GO:0098805" "whole membrane" 0.808075448622039
13 0.72987459875539 2 8 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.808075448622039
28 0.354023379616716 2 12 "GO:1902494" "catalytic complex" 0.808075448622039
43 0.363467842404347 3 5 "GO:1990234" "transferase complex" 0.808075448622039
26 0.484443260885249 2 8 "GO:1990904" "ribonucleoprotein complex" 0.808075448622039
