"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
27 0.216756908733739 3 25 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.819063210571608
2 0.965743934603521 2 8 "GO:0000329;GO:0098852;GO:0005774" "vacuolar membrane" 0.965743934603521
-53 0.0958130775312093 2 11 "GO:0000785" "chromatin" 0.690853237804928
-24 0.554849271677541 3 7 "GO:0000790;GO:0044454" "nuclear chromatin" 0.819063210571608
12 0.637126923241932 1 18 "GO:0005576" "extracellular region" 0.827399415309729
19 0.441109810351357 2 18 "GO:0005615;GO:0044421" "extracellular region part" 0.819063210571608
-10 0.59674925904216 4 35 "GO:0005634" "nucleus" 0.827399415309729
20 0.298374800110687 2 34 "GO:0005737" "cytoplasm" 0.819063210571608
6 0.789115381516065 2 22 "GO:0005739" "mitochondrion" 0.873663458107072
55 0.0862492583305264 2 11 "GO:0005783" "endoplasmic reticulum" 0.690853237804928
-15 0.702871604135503 3 7 "GO:0005789;GO:0044432" "endoplasmic reticulum part" 0.838039220315407
-27 0.46533165247552 2 8 "GO:0005829" "cytosol" 0.819063210571608
-15 0.507436587364361 2 22 "GO:0005886" "plasma membrane" 0.819063210571608
-17 0.699709036182985 3 6 "GO:0005887;GO:0031226;GO:0044459" "plasma membrane part" 0.838039220315407
14 0.753137774842126 2 6 "GO:0009522" "photosystem I" 0.864713741485404
-10 0.539942076794107 4 42 "GO:0009523;GO:0009521;GO:0044436" "thylakoid part" 0.819063210571608
-28 0.171591461283438 3 27 "GO:0016021;GO:0031224" "integral component of membrane" 0.819063210571608
17 0.361531785147333 2 36 "GO:0031090;GO:0098588" "organelle membrane" 0.819063210571608
61 0.0994677192924468 3 8 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.690853237804928
28 0.316776598868567 2 15 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.819063210571608
-55 0.0276832860277875 3 18 "GO:0044427" "chromosomal part" 0.690853237804928
-63 0.11142794158144 3 7 "GO:0044430" "cytoskeletal part" 0.690853237804928
19 0.554213307017752 2 11 "GO:0044437" "vacuolar part" 0.819063210571608
-39 0.406040382936116 3 5 "GO:0044441;GO:0120038;GO:0044463" "plasma membrane bounded cell projection part" 0.819063210571608
33 0.488685202616562 3 5 "GO:0044451" "nucleoplasm part" 0.819063210571608
-34 0.36711902367348 4 8 "GO:0098800;GO:0044455;GO:0098798;GO:0044429" "mitochondrial part" 0.819063210571608
-14 0.640567289272048 2 13 "GO:0098805" "whole membrane" 0.827399415309729
-2 0.949319565054683 3 8 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.965743934603521
27 0.373392897149902 2 12 "GO:1902494" "catalytic complex" 0.819063210571608
11 0.821955548199042 3 5 "GO:1990234" "transferase complex" 0.87864213773001
28 0.456974040267196 2 8 "GO:1990904" "ribonucleoprotein complex" 0.819063210571608
