"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0419717002883303 2 16 "GO:0000049" "tRNA binding" 0.8514259201347
0 0.610525590711524 4 5 "GO:0000104" "succinate dehydrogenase activity" 1
0 0.779220340405698 3 8 "GO:0000149" "SNARE binding" 1
0 0.645256278792881 2 25 "GO:0000287" "magnesium ion binding" 1
0 1 4 5 "GO:0000977;GO:0000976;GO:0001012;GO:0044212;GO:1990837;GO:0001067;GO:0043565" "RNA polymerase II regulatory region DNA binding" 1
0 0.00991554979102289 2 93 "GO:0003677" "DNA binding" 0.352002017581313
0 0.189444030983554 4 9 "GO:0003690" "double-stranded DNA binding" 1
0 0.00111495947747106 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 0.0791621229004453
0 0.677222130354152 2 26 "GO:0003729" "mRNA binding" 1
0 0.847394751011884 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 1
0 0.474286998903255 5 9 "GO:0003743" "translation initiation factor activity" 1
0 0.927522097987389 5 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 1
0 1 3 17 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 0.87502299684549 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.457875538775616 2 20 "GO:0003774" "motor activity" 1
0 0.275072240429503 2 6 "GO:0003777" "microtubule motor activity" 1
0 0.972784348877741 4 19 "GO:0003779;GO:0008092" "actin binding" 1
0 0.205626452342316 2 5 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 1
0 0.97290175442006 2 63 "GO:0003924" "GTPase activity" 1
0 0.610525590711524 2 5 "GO:0003964;GO:0034061" "RNA-directed DNA polymerase activity" 1
0 0.610525590711524 2 5 "GO:0003993" "acid phosphatase activity" 1
0 1 5 5 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 1
0 1 3 9 "GO:0004089" "carbonate dehydratase activity" 1
0 0.596864688029415 2 66 "GO:0004175" "endopeptidase activity" 1
0 0.779220340405698 4 8 "GO:0004176" "ATP-dependent peptidase activity" 1
0 0.817337008093504 4 9 "GO:0004177" "aminopeptidase activity" 1
0 0.779220340405698 3 8 "GO:0004180" "carboxypeptidase activity" 1
0 0.135573127503985 6 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 1 6 7 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.587632440270279 5 11 "GO:0004222;GO:0008237" "metallopeptidase activity" 1
0 0.238231644785806 4 10 "GO:0004252" "serine-type endopeptidase activity" 1
0 0.779220340405698 3 8 "GO:0004316;GO:0004312" "fatty acid synthase activity" 1
0 0.275072240429503 4 6 "GO:0004364" "glutathione transferase activity" 1
0 0.344165617054755 3 7 "GO:0004372;GO:0016742" "glycine hydroxymethyltransferase activity" 1
0 0.0667348761679417 3 6 "GO:0004497" "monooxygenase activity" 0.861486583258884
0 0.733191368053457 2 7 "GO:0004518" "nuclease activity" 1
0 0.143696783455723 2 8 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 6.9388924280948e-05 3 11 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 0.00985322724789462
0 0.620951278877477 3 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.209760521505349 4 97 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.207874143004806 2 14 "GO:0004683" "calmodulin-dependent protein kinase activity" 1
