"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-135 0.166660015129982 2 16 "GO:0000049" "tRNA binding" 0.876508227720646
-9 0.960468966405536 2 5 "GO:0000104" "succinate dehydrogenase activity" 0.980702609001886
-204 0.139309061590482 2 8 "GO:0000149" "SNARE binding" 0.791275469833938
-39 0.618057660201884 5 25 "GO:0000287" "magnesium ion binding" 0.964441623611731
233 0.180812531943899 7 5 "GO:0000977;GO:0000976;GO:0001012;GO:0044212;GO:1990837;GO:0001067;GO:0043565" "RNA polymerase II regulatory region sequence-specific DNA binding" 0.885357915035643
-129 0.00195009085813025 2 93 "GO:0003677" "DNA binding" 0.276912901854496
-128 0.324947511798925 5 9 "GO:0003690" "double-stranded DNA binding" 0.957659635241591
-223 0.00901920898734191 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 0.42690922540085
15 0.849079198707827 5 26 "GO:0003729" "mRNA binding" 0.980702609001886
19 0.604497181451001 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 0.964441623611731
-15 0.908890329055961 3 9 "GO:0003743" "translation initiation factor activity" 0.980702609001886
58 0.314336320821112 3 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.957659635241591
14 0.880455170043844 3 17 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.980702609001886
-139 0.238930310839004 2 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.957659635241591
-70 0.421293241085857 2 20 "GO:0003774" "motor activity" 0.957659635241591
-367 0.0210042772331474 3 6 "GO:0003777" "microtubule motor activity" 0.48046528458039
185 0.0397152174364636 3 19 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 0.48046528458039
-91 0.60316317178192 3 5 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.964441623611731
66 0.190074351545695 7 63 "GO:0003924" "GTPase activity" 0.899685263982956
-47 0.789145069481172 3 5 "GO:0003964;GO:0034061" "RNA-directed DNA polymerase activity" 0.980702609001886
-63 0.719982339235605 6 5 "GO:0003993" "acid phosphatase activity" 0.980702609001886
214 0.219164365762255 2 5 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 0.932810605410219
266 0.040998849495969 5 9 "GO:0004089" "carbonate dehydratase activity" 0.48046528458039
-45 0.35902964027421 2 66 "GO:0004175" "endopeptidase activity" 0.957659635241591
62 0.652554686996977 3 8 "GO:0004176" "ATP-dependent peptidase activity" 0.980702609001886
-3 0.983524435069416 2 9 "GO:0004177" "aminopeptidase activity" 0.983524435069416
79 0.565773125910784 2 8 "GO:0004180" "carboxypeptidase activity" 0.964441623611731
-184 0.0315865196720712 3 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.48046528458039
47 0.752098888171818 6 7 "GO:0004197" "cysteine-type endopeptidase activity" 0.980702609001886
63 0.590973149819804 2 11 "GO:0004222;GO:0008237" "metalloendopeptidase activity" 0.964441623611731
-92 0.456682291203491 5 10 "GO:0004252" "serine-type endopeptidase activity" 0.964441623611731
35 0.802259388194248 2 8 "GO:0004316;GO:0004312" "fatty acid synthase activity" 0.980702609001886
-131 0.41131397165227 2 6 "GO:0004364" "glutathione transferase activity" 0.957659635241591
19 0.89991853384152 5 7 "GO:0004372;GO:0016742" "glycine hydroxymethyltransferase activity" 0.980702609001886
-139 0.383722769083809 3 6 "GO:0004497" "monooxygenase activity" 0.957659635241591
31 0.833213446807136 4 7 "GO:0004518" "nuclease activity" 0.980702609001886
