"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
2 0.930362907716797 2 6 "GO:0000049" "tRNA binding" 0.997417569821812
-15 0.278176669376259 4 25 "GO:0003677" "DNA binding" 0.637161062010986
-33 0.112567665941351 2 10 "GO:0003700;GO:0140110" "transcription regulator activity" 0.601184827349172
-15 0.343086725698223 2 18 "GO:0003735;GO:0005198" "structural molecule activity" 0.637161062010986
37 0.159154219007287 2 6 "GO:0003924" "GTPase activity" 0.601184827349172
-7 0.714946847789652 2 11 "GO:0004175" "endopeptidase activity" 0.929430902126548
21 0.435378480121653 3 6 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.707490030197686
14 0.521279100561602 2 9 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.752958700811203
3 0.797704977163475 2 26 "GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674" "transferase activity, transferring phosphorus-containing groups" 0.987634733630969
-31 0.133429843885761 1 10 "GO:0005215;GO:0022857" "transporter activity" 0.601184827349172
-13 0.312349703126233 2 27 "GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168" "small molecule binding" 0.637161062010986
24 0.413861572779333 4 5 "GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.707490030197686
-29 0.208102440236252 3 8 "GO:0015075;GO:0015318" "ion transmembrane transporter activity" 0.601184827349172
93 0.000434507257331995 3 6 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.0112971886906319
28 0.330673429850199 3 5 "GO:0016741" "transferase activity, transferring one-carbon groups" 0.637161062010986
-31 0.201782622665367 3 7 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 0.601184827349172
49 0.0888598808581405 3 5 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.601184827349172
16 0.490227818759509 3 8 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.749760193396896
16 0.573822282327029 2 5 "GO:0016829" "lyase activity" 0.785230491605408
-44 0.125608284083453 2 5 "GO:0016874" "ligase activity" 0.601184827349172
23 0.204959994770991 4 13 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.601184827349172
29 0.272550457270825 2 6 "GO:0030234;GO:0098772" "molecular function regulator" 0.637161062010986
4 0.884687641188643 2 5 "GO:0042578" "phosphoric ester hydrolase activity" 0.997417569821812
2 0.917360416014846 4 10 "GO:0046872;GO:0043169" "metal ion binding" 0.997417569821812
0 0.997417569821812 1 6 "GO:0060089" "molecular transducer activity" 0.997417569821812
0 0.985825611849156 4 17 "GO:0070011;GO:0008233" "peptidase activity" 0.997417569821812
