"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
84 0.247261065523448 2 5 "GO:0000049" "tRNA binding" 0.76784387101476
-61 0.398449880692018 2 5 "GO:0000149" "SNARE binding" 0.885336602336636
64 0.07895466227656 2 20 "GO:0000287" "magnesium ion binding" 0.655364049257612
56 0.327498492359421 3 8 "GO:0001653;GO:0038023;GO:0060089" "signaling receptor activity" 0.871327943460459
-3 0.925199225457804 2 30 "GO:0003677" "DNA binding" 0.982703935852618
2 0.928885770576528 4 39 "GO:0003723" "RNA binding" 0.982703935852618
55 0.40932558826051 2 6 "GO:0003729" "mRNA binding" 0.885336602336636
3 0.949708653175523 2 14 "GO:0003735;GO:0005198" "structural molecule activity" 0.982703935852618
-24 0.673361683780921 5 8 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.979192277326888
-60 0.13885597196788 3 16 "GO:0003774" "motor activity" 0.747448796733381
-158 0.00346216437229741 2 9 "GO:0003779;GO:0008092" "actin binding" 0.276973149783793
-2 0.964190780412964 3 9 "GO:0003924" "GTPase activity" 0.982703935852618
-4 0.903315980494407 5 29 "GO:0004175" "endopeptidase activity" 0.982703935852618
-2 0.982703935852618 6 6 "GO:0004180" "carboxypeptidase activity" 0.982703935852618
60 0.36321978768447 5 6 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.881181332741675
-87 0.106496658004362 2 9 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.655364049257612
2 0.974179886517399 3 9 "GO:0004364" "glutathione transferase activity" 0.982703935852618
20 0.78335382186151 3 5 "GO:0004518" "nuclease activity" 0.979192277326888
56 0.363487299755941 4 7 "GO:0004553;GO:0016798" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.881181332741675
34 0.530338207017031 3 9 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.979192277326888
-7 0.845324924674092 2 19 "GO:0004674" "protein serine/threonine kinase activity" 0.982703935852618
-132 0.068126703082002 4 5 "GO:0004806;GO:0052689" "carboxylic ester hydrolase activity" 0.655364049257612
12 0.865892145659609 4 5 "GO:0005085;GO:0051020;GO:0019899" "GTPase binding" 0.982703935852618
