"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-79 0.273246308565493 4 5 "GO:0000049" "tRNA binding" 0.874388187409578
-148 0.0414396280686703 2 5 "GO:0000149" "SNARE binding" 0.610494713648883
16 0.668612939256664 4 20 "GO:0000287" "magnesium ion binding" 0.966316792620906
67 0.24400267648255 2 8 "GO:0001653;GO:0038023;GO:0060089" "signaling receptor activity" 0.874388187409578
-8 0.781784194474237 4 30 "GO:0003677" "DNA binding" 0.966316792620906
54 0.0425689909803679 2 39 "GO:0003723" "RNA binding" 0.610494713648883
-49 0.460292900779354 3 6 "GO:0003729" "mRNA binding" 0.966316792620906
-2 0.972494617610693 2 14 "GO:0003735;GO:0005198" "structural molecule activity" 0.972494617610693
129 0.0243522328785327 2 8 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.610494713648883
-57 0.162082554239161 3 16 "GO:0003774" "motor activity" 0.810412771195805
-128 0.0180891309967691 4 9 "GO:0003779;GO:0008092" "actin binding" 0.610494713648883
-21 0.704688105146659 7 9 "GO:0003924" "GTPase activity" 0.966316792620906
18 0.557851520129172 3 29 "GO:0004175" "endopeptidase activity" 0.966316792620906
4 0.954237832713145 2 6 "GO:0004180" "carboxypeptidase activity" 0.966316792620906
39 0.553189758864862 5 6 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.966316792620906
-50 0.352771015479949 5 9 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.888000285343712
44 0.419625617227529 2 9 "GO:0004364" "glutathione transferase activity" 0.963982763767641
16 0.824380184157564 4 5 "GO:0004518" "nuclease activity" 0.966316792620906
-72 0.241566110372787 3 7 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.874388187409578
-24 0.657236066243377 2 9 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.966316792620906
-4 0.924310743980603 4 19 "GO:0004674" "protein serine/threonine kinase activity" 0.966316792620906
141 0.0505402678037013 3 5 "GO:0004806;GO:0052689" "carboxylic ester hydrolase activity" 0.610494713648883
16 0.828728913490902 3 5 "GO:0005085;GO:0051020;GO:0019899" "guanyl-nucleotide exchange factor activity" 0.966316792620906
-66 0.253534714499677 3 8 "GO:0005102" "signaling receptor binding" 0.874388187409578
32 0.55245902134842 4 9 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "channel activity" 0.966316792620906
90 0.174421854855278 2 6 "GO:0005261" "cation channel activity" 0.82080872873072
123 0.0899305292863673 2 5 "GO:0005319" "lipid transporter activity" 0.730256596400935
-82 0.215619979107627 2 6 "GO:0005509" "calcium ion binding" 0.874388187409578
-86 0.00500165216511479 2 29 "GO:0005515" "protein binding" 0.400132173209183
9 0.710602525340392 4 54 "GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554" "adenyl nucleotide binding" 0.966316792620906
-16 0.824380184157564 3 5 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "GTP binding" 0.966316792620906
30 0.654434939369951 2 6 "GO:0008081" "phosphoric diester hydrolase activity" 0.966316792620906
-10 0.879381202607213 4 6 "GO:0008168;GO:0016741" "methyltransferase activity" 0.966316792620906
63 0.306693364869409 5 7 "GO:0008234" "cysteine-type peptidase activity" 0.888000285343712
53 0.421742459148343 5 6 "GO:0008237" "metallopeptidase activity" 0.963982763767641
