GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0022607;GO:0043933	GO:0003333;GO:0006865;GO:1905039;GO:0046942;GO:0098656;GO:1903825;GO:0015711;GO:0015849;GO:0006820;GO:0006811;GO:0034220;GO:0055085	GO:1901700;GO:0042221	GO:0006464;GO:0036211	GO:0051716	GO:0002376	GO:0006364;GO:0016072;GO:0034470;GO:0034660	GO:0032502	GO:0016071	GO:0048518	GO:0051234;GO:0051179	GO:0031323;GO:0019222;GO:0051171;GO:0060255;GO:0080090	GO:0032446;GO:0070647	GO:0034645;GO:0009059;GO:0044249	GO:0051726	GO:0000463;GO:0000470	GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271	GO:0010468	GO:0006996	GO:0071705;GO:0071702;GO:0006810	GO:0019752;GO:0006629;GO:0043436;GO:0006082;GO:0044281	GO:0000302;GO:0006979	GO:0048519
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000
1.000	1.000	0	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600
1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.400	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	0.667
1.000	1.000	0.800	1.000	0.800	0.400	1.000	1.000	1.000	0	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	0.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.800	1.000	0	1.000	1.000	0.600	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.500
1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.400
1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.400
0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000
1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000
1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000
1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	0.667	1.000	1.000	0.500	1.000	1.000	0.400	1.000	1.000	0.400	1.000	1.000	1.000	1.000	0
