GO:0007010	GO:0006396	GO:0051252;GO:0019219	GO:0042592	GO:0044271	GO:0009056;GO:1901575	GO:0090304;GO:0006139	GO:0000302;GO:0006979;GO:1901700;GO:0042221	GO:0048646	GO:0046394;GO:0016053;GO:0044283	GO:0065008	GO:0008380	GO:0016070	GO:1901362	GO:1903047	GO:0022414	GO:0000209;GO:0016567;GO:0032446;GO:0070647	GO:0051234;GO:0051179;GO:0006810	GO:0071702	GO:0034470;GO:0034660	GO:0006464;GO:0036211;GO:0044267;GO:0043412;GO:0019538	GO:1901566	GO:0010605;GO:0009892;GO:0048519	GO:0007017	GO:0060255;GO:0019222	GO:0019752;GO:0043436;GO:0006082	GO:0000902;GO:0032989	GO:0010629	GO:0031324;GO:0048523;GO:0051172	GO:0044255;GO:0006629	GO:0009653	GO:0031323;GO:0051171;GO:0080090	GO:0010468	GO:0022607	GO:0048869	GO:0006790	GO:0044248;GO:0046700;GO:1901361;GO:0044270	GO:0006811	GO:0016071	GO:0006950;GO:0050896	GO:0007165	GO:0008610;GO:0006631;GO:0032787	GO:0006996	GO:0048856	GO:0000096	GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933	GO:0000281;GO:0061640;GO:0000910	GO:0048518	GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174	GO:0005975	GO:0009057	GO:0006636;GO:0006633;GO:0033559;GO:0072330	GO:0006520	GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.778	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.429	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.429	1.000	0.000	1.000	1.000	0.429	0.429	1.000	1.000	0.000	0.143	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0.000
1.000	1.000	1.000	0	1.000	1.000	0.800	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	0.571	0.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000
1.000	1.000	1.000	1.000	1.000	0	0.500	1.000	1.000	1.000	1.000	1.000	0.700	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.700	1.000	0.700	1.000	1.000	0.571	1.000	1.000	1.000	1.000	0.700	1.000	1.000	1.000	0.000	1.000	0.571	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	0.714	0.000	1.000	1.000	1.000
1.000	0.000	1.000	0.800	1.000	0.500	0	1.000	1.000	1.000	0.857	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.842	1.000	0.727	1.000	0.833	1.000	1.000	0.571	1.000	1.000	1.000	1.000	0.700	1.000	1.000	1.000	0.167	1.000	0.000	0.909	1.000	1.000	0.846	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.700	1.000	1.000	1.000	0.143	1.000	1.000	1.000	0.357	1.000	1.000	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	0.308	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.714	1.000	0.000	0.625	1.000
1.000	1.000	1.000	0.000	0.857	1.000	0.857	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000
1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.000	1.000	1.000	1.000	0.700	0.000	1.000	1.000	1.000	1.000	0.000	0	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0.769	1.000	0.727	1.000	0.769	1.000	1.000	0.571	1.000	1.000	1.000	1.000	0.700	1.000	1.000	1.000	0.500	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	1.000	1.000
