GO:0005576	GO:0044428	GO:0009507;GO:0009536	GO:0044429	GO:0044425	GO:0044437;GO:0005774;GO:0098805	GO:0005829	GO:1990904	GO:0005737	GO:0043232;GO:0043228	GO:0019866	GO:1902494	GO:0098796	GO:0005739	GO:0005886
0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.667	0.833	0.800	1.000	1.000	1.000
1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0	0.833	1.000	1.000	1.000	1.000	1.000	0.333	1.000	0.833	1.000	1.000
1.000	1.000	1.000	0.833	0	0.778	1.000	1.000	1.000	1.000	1.000	0.800	0.000	1.000	1.000
1.000	1.000	1.000	1.000	0.778	0	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.800	1.000	1.000	1.000	1.000	1.000	0	1.000	0.200	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0.667	1.000	1.000	1.000	1.000	1.000	0.200	1.000	0	1.000	1.000	1.000	1.000	1.000
1.000	0.833	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000
1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0	0.800	1.000	1.000
1.000	1.000	1.000	0.833	0.000	0.667	1.000	1.000	1.000	1.000	1.000	0.800	0	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0
