name	term	lev	seq	value
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN136945_c0_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN255991_c0_g1	0.641033220667574
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN255991_c0_g2	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN293394_c0_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN294675_c2_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c1_g2	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c2_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c2_g13	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c2_g16	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c2_g4	0.522755866366243
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c2_g6	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298612_c2_g9	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298832_c1_g1	-0.854422471346245
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN298848_c3_g2	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN314199_c1_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN314236_c0_g1	0.971544628041112
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN401243_c0_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN540230_c0_g1	0
"ribosomal large subunit assembly"	GO:0000027	2	TRINITY_DN61086_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN104382_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN1511_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN151696_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN151698_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN228040_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN231519_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN234238_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN2354_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN254004_c0_g3	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN254270_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN254274_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN256912_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN271276_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN274843_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN276572_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN278325_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN278929_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN292384_c0_g1	0.996857817768325
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN292394_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN294139_c0_g3	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN294670_c1_g2	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN295269_c0_g3	0.994714769417378
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN298143_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN298441_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN298470_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN298470_c0_g3	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN299271_c0_g2	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN299755_c1_g2	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN299755_c1_g3	0.970952136789672
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN311034_c1_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN312738_c3_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN312740_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN312794_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN34932_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN35365_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN584390_c0_g1	0
"regulation of macromolecule metabolic process"	GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090	3	TRINITY_DN664099_c0_g1	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN11147_c0_g1	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN312765_c0_g1	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN312765_c0_g3	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN312765_c0_g4	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN314830_c2_g1	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN314830_c3_g3	0
"carbohydrate derivative metabolic process"	GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135	3	TRINITY_DN35249_c0_g1	0
"aromatic amino acid family biosynthetic process"	GO:0009073;GO:0009072	3	TRINITY_DN255881_c0_g1	0
"aromatic amino acid family biosynthetic process"	GO:0009073;GO:0009072	3	TRINITY_DN294661_c0_g1	0
"aromatic amino acid family biosynthetic process"	GO:0009073;GO:0009072	3	TRINITY_DN299758_c2_g1	-0.76564780800947
"aromatic amino acid family biosynthetic process"	GO:0009073;GO:0009072	3	TRINITY_DN314835_c0_g1	0
"aromatic amino acid family biosynthetic process"	GO:0009073;GO:0009072	3	TRINITY_DN314835_c0_g2	0
"aromatic amino acid family biosynthetic process"	GO:0009073;GO:0009072	3	TRINITY_DN372963_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN136047_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN227534_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN2354_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN254274_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN292394_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN294139_c0_g3	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN295269_c0_g3	0.994714769417378
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN295269_c0_g6	0.856262953641873
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN298143_c0_g1	0
"positive regulation of cellular process"	GO:0048522	4	TRINITY_DN298441_c0_g1	0
"organelle localization"	GO:0051656;GO:0051640	3	TRINITY_DN278343_c0_g1	-0.917635570062441
"organelle localization"	GO:0051656;GO:0051640	3	TRINITY_DN292335_c2_g11	0
"organelle localization"	GO:0051656;GO:0051640	3	TRINITY_DN293346_c7_g1	0
"organelle localization"	GO:0051656;GO:0051640	3	TRINITY_DN295224_c1_g2	0.993319316372151
"organelle localization"	GO:0051656;GO:0051640	3	TRINITY_DN316646_c2_g1	0
"organelle localization"	GO:0051656;GO:0051640	3	TRINITY_DN659541_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN173172_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN215898_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN226185_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN226917_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN238495_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN255881_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN294661_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN298815_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN299758_c2_g1	-0.76564780800947
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN312062_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN312715_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN312715_c0_g3	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN314835_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN314835_c0_g2	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN372963_c0_g1	0
"small molecule biosynthetic process"	GO:0044283;GO:0046394;GO:0016053	3	TRINITY_DN63784_c0_g1	0
"terpenoid metabolic process"	GO:0006721;GO:0006720	2	TRINITY_DN172833_c0_g1	-0.786762159132073
"terpenoid metabolic process"	GO:0006721;GO:0006720	2	TRINITY_DN296361_c0_g1	0
"terpenoid metabolic process"	GO:0006721;GO:0006720	2	TRINITY_DN296361_c0_g2	0
"terpenoid metabolic process"	GO:0006721;GO:0006720	2	TRINITY_DN310086_c1_g2	0
"terpenoid metabolic process"	GO:0006721;GO:0006720	2	TRINITY_DN310086_c1_g4	0
"terpenoid metabolic process"	GO:0006721;GO:0006720	2	TRINITY_DN46282_c0_g1	0
"aromatic compound catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361	5	TRINITY_DN151696_c0_g1	0
"aromatic compound catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361	5	TRINITY_DN278325_c0_g1	0
"aromatic compound catabolic process"	GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361	5	TRINITY_DN292384_c0_g1	0.996857817768325
