name	term	lev	seq	value
"regulation of cell growth"	GO:0001558	2	TRINITY_DN104662_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN173924_c0_g2	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN231519_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN254004_c0_g3	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN255905_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN25630_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN256554_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN278990_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN292666_c0_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN293346_c6_g2	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN294144_c2_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN298474_c3_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN311036_c1_g1	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN311076_c1_g2	0.395611147037561
"regulation of cell growth"	GO:0001558	2	TRINITY_DN311418_c0_g2	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN312795_c0_g2	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN314250_c2_g4	0
"regulation of cell growth"	GO:0001558	2	TRINITY_DN375759_c0_g1	0.457342525455345
"regulation of cell growth"	GO:0001558	2	TRINITY_DN544161_c0_g1	0.371661893423466
"regulation of cell growth"	GO:0001558	2	TRINITY_DN553854_c0_g1	0.672059569772956
"regulation of cell growth"	GO:0001558	2	TRINITY_DN553912_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN136912_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN222132_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN235359_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN256595_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN296211_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN310761_c3_g6	0.211893031491855
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN311791_c2_g1	0.798955160092194
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN64302_c0_g1	0
"transcription by RNA polymerase III"	GO:0006383	2	TRINITY_DN6639_c0_g1	0
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN256692_c1_g1	0
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN277042_c0_g1	0
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN294126_c0_g1	0.856714033814968
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN294168_c8_g1	0.893903954242442
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN294671_c0_g1	0
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN299755_c1_g4	0
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN544815_c0_g1	0
"phosphatidylinositol biosynthetic process"	GO:0006661	2	TRINITY_DN616819_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN151696_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN227521_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN233622_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN256571_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN274669_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN274697_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN276019_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN276974_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN277201_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN277374_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN278325_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN292384_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN298239_c0_g1	0
"organic cyclic compound catabolic process"	GO:0019439;GO:0044270;GO:0046700;GO:1901361	2	TRINITY_DN298470_c0_g1	0
