name	term	lev	seq	value
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN102429_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN104879_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN111582_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN114822_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN119018_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN139775_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN15057_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN173146_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN175123_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN175183_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN17691_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN176935_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN210344_c0_g2	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN211627_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN222921_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN223622_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN226098_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN226098_c0_g2	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN22612_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN227581_c0_g1	0
"peptide biosynthetic process"	GO:0006412;GO:0043043	3	TRINITY_DN227581_c0_g2	0
