name	term	lev	seq	value
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN292351_c0_g2	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN299656_c1_g1	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN299656_c2_g1	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN299656_c3_g1	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN299656_c3_g2	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN299656_c3_g3	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN299656_c3_g6	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN64322_c0_g1	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN292907_c0_g1	0
"intracellular organelle lumen"	GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974	4	TRINITY_DN312083_c1_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN222905_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN238633_c1_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN256598_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN256648_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN276040_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN292954_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN292954_c0_g2	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN299639_c5_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN310732_c2_g2	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN310732_c2_g4	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN311466_c0_g3	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN359839_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN66420_c0_g1	0
"proteasome complex"	GO:0000502;GO:1905369	3	TRINITY_DN67439_c0_g1	0
"nucleoplasm part"	GO:0044451	2	TRINITY_DN115800_c0_g1	0
"nucleoplasm part"	GO:0044451	2	TRINITY_DN274820_c0_g1	0
"nucleoplasm part"	GO:0044451	2	TRINITY_DN296797_c0_g1	0
"nucleoplasm part"	GO:0044451	2	TRINITY_DN310026_c1_g1	0
"nucleoplasm part"	GO:0044451	2	TRINITY_DN340826_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN105130_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN173143_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN254118_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN277290_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN277296_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN294190_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN294655_c3_g1	0.97403126593303
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN294655_c3_g2	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN294782_c0_g2	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN298445_c0_g2	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN298472_c6_g2	0.841849764086527
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN299205_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN299205_c0_g3	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN299205_c0_g4	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN299702_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN299755_c1_g4	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN299793_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN312083_c1_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN316210_c1_g1	0.963427665160689
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN616819_c0_g1	0
"endoplasmic reticulum part"	GO:0044432	3	TRINITY_DN6179_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN238132_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN274007_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN274821_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN292966_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN293349_c0_g1	0.961099485878487
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN4991_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN296273_c0_g1	0
"chromosomal region"	GO:0000775;GO:0098687	2	TRINITY_DN316221_c2_g4	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN2351_c0_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN277009_c0_g1	0.75505464222791
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN292971_c0_g2	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN294612_c2_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN294612_c4_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN295081_c0_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN314101_c0_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN39891_c0_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN4896_c0_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN492882_c0_g1	0
"protein serine/threonine phosphatase complex"	GO:0000159;GO:0008287;GO:1903293	2	TRINITY_DN294612_c7_g2	0
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	4	TRINITY_DN175462_c0_g1	0
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	4	TRINITY_DN254212_c0_g1	0
