name	term	lev	seq	value
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN151582_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN22034_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN22035_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN227587_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN254233_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN256515_c0_g2	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN257902_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN276843_c0_g1	0.934956606889123
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN292903_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN292974_c6_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN293899_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN2951_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN298164_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN299720_c0_g2	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN299720_c1_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN380114_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN656226_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN255257_c0_g1	0
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN292909_c0_g1	0.857320347788694
"organelle inner membrane"	GO:0005743;GO:0019866;GO:0031966	5	TRINITY_DN312088_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN110605_c0_g1	0.556419503813149
"plasma membrane"	GO:0005886	3	TRINITY_DN227390_c0_g1	0.784044572575326
"plasma membrane"	GO:0005886	3	TRINITY_DN234174_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN252859_c1_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN254086_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN255222_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN255851_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN255890_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN274054_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN276586_c0_g1	0.97816902497844
"plasma membrane"	GO:0005886	3	TRINITY_DN277053_c0_g1	0.889647944322846
"plasma membrane"	GO:0005886	3	TRINITY_DN277378_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN292329_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN292329_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN293495_c0_g1	0.916377295126978
"plasma membrane"	GO:0005886	3	TRINITY_DN293698_c3_g3	0
"plasma membrane"	GO:0005886	3	TRINITY_DN294776_c2_g3	0
"plasma membrane"	GO:0005886	3	TRINITY_DN298608_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN299672_c0_g1	0.725667020833216
"plasma membrane"	GO:0005886	3	TRINITY_DN299703_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN299703_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311737_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311737_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311920_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311920_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN312713_c2_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN312713_c2_g3	0.426223972682458
"plasma membrane"	GO:0005886	3	TRINITY_DN312739_c5_g1	0.761840344093432
"plasma membrane"	GO:0005886	3	TRINITY_DN31461_c0_g1	0.28577542707912
"plasma membrane"	GO:0005886	3	TRINITY_DN316931_c2_g4	0
"plasma membrane"	GO:0005886	3	TRINITY_DN316958_c2_g1	0.232577879310117
"plasma membrane"	GO:0005886	3	TRINITY_DN317258_c3_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN317258_c4_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN34988_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN38592_c0_g1	0.844641493431101
"plasma membrane"	GO:0005886	3	TRINITY_DN4409_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN6371_c0_g1	0.759153205575795
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN222905_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN238633_c1_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN256598_c0_g1	0.272703490574768
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN256648_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN276040_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN292954_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN292954_c0_g2	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN299639_c5_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN310732_c2_g2	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN310732_c2_g4	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN311466_c0_g3	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN359839_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN66420_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	4	TRINITY_DN67439_c0_g1	0
"lytic vacuole membrane"	GO:0098852	3	TRINITY_DN102501_c0_g1	0
"lytic vacuole membrane"	GO:0098852	3	TRINITY_DN277393_c0_g1	0
"lytic vacuole membrane"	GO:0098852	3	TRINITY_DN296703_c2_g1	0.390022243107273
"lytic vacuole membrane"	GO:0098852	3	TRINITY_DN310739_c1_g6	0
"lytic vacuole membrane"	GO:0098852	3	TRINITY_DN311416_c0_g3	0
"lytic vacuole membrane"	GO:0098852	3	TRINITY_DN68467_c0_g1	0
"intracellular vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	4	TRINITY_DN102024_c0_g1	0.300701340084604
"intracellular vesicle"	GO:0005768;GO:0031410;GO:0097708;GO:0031982	4	TRINITY_DN102664_c0_g1	0
