name	term	lev	seq	value
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c1_g3	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g1	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g3	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g4	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g5	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g6	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g8	0
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g9	0
"storage vacuole"	GO:0000322	6	TRINITY_DN172938_c0_g1	0
"storage vacuole"	GO:0000322	6	TRINITY_DN173576_c0_g1	0
"storage vacuole"	GO:0000322	6	TRINITY_DN259665_c0_g1	0
"storage vacuole"	GO:0000322	6	TRINITY_DN278921_c1_g2	0
"storage vacuole"	GO:0000322	6	TRINITY_DN444543_c0_g1	0.499828197258231
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN10562_c0_g1	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN254317_c1_g1	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN292978_c1_g11	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN292978_c1_g12	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN292978_c1_g2	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN292978_c1_g3	0.73647992623835
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN292978_c1_g9	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN293398_c2_g11	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN293398_c2_g4	0.555168862015773
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN293398_c2_g7	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN298809_c0_g1	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN299205_c0_g1	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN299205_c0_g3	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN299205_c0_g4	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN299755_c1_g4	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN299793_c0_g1	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN4817_c0_g1	0
"endoplasmic reticulum protein-containing complex"	GO:0140534	2	TRINITY_DN6179_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN111467_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN115800_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN175482_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN231231_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN256513_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN274556_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN274820_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN293487_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN293492_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN294180_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN296770_c4_g3	0
"transferase complex"	GO:1990234	2	TRINITY_DN296797_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN298836_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN299276_c0_g3	0
"transferase complex"	GO:1990234	2	TRINITY_DN299755_c1_g4	0
"transferase complex"	GO:1990234	2	TRINITY_DN310721_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN340684_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN340697_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN340826_c0_g1	0.687326980739558
"transferase complex"	GO:1990234	2	TRINITY_DN553912_c0_g1	0
"transferase complex"	GO:1990234	2	TRINITY_DN6179_c0_g1	0
"chromosome, centromeric region"	GO:0000775;GO:0098687	2	TRINITY_DN238132_c0_g1	0
"chromosome, centromeric region"	GO:0000775;GO:0098687	2	TRINITY_DN274007_c0_g1	0
"chromosome, centromeric region"	GO:0000775;GO:0098687	2	TRINITY_DN274821_c0_g1	0
"chromosome, centromeric region"	GO:0000775;GO:0098687	2	TRINITY_DN292966_c0_g1	0
"chromosome, centromeric region"	GO:0000775;GO:0098687	2	TRINITY_DN293349_c0_g1	0
"chromosome, centromeric region"	GO:0000775;GO:0098687	2	TRINITY_DN4991_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN10562_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN254317_c1_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292978_c1_g11	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292978_c1_g12	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292978_c1_g2	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292978_c1_g3	0.73647992623835
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292978_c1_g9	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN293398_c2_g11	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN293398_c2_g4	0.555168862015773
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN293398_c2_g7	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN298809_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN4817_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN173977_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292907_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN292978_c1_g8	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN227744_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN254309_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN255884_c0_g1	0
"proton-transporting two-sector ATPase complex, catalytic domain"	GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798	4	TRINITY_DN294194_c0_g2	0
"extracellular region"	GO:0005576	2	TRINITY_DN119659_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN160346_c0_g1	0.690475139534962
"extracellular region"	GO:0005576	2	TRINITY_DN173771_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN238112_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN250512_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN255937_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN255937_c0_g2	0
"extracellular region"	GO:0005576	2	TRINITY_DN256245_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN256911_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN27153_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN274795_c0_g2	0
"extracellular region"	GO:0005576	2	TRINITY_DN277045_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN292369_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN293699_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN296780_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN296788_c2_g2	0
"extracellular region"	GO:0005576	2	TRINITY_DN296788_c3_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN298615_c0_g2	0.472157168985349
"extracellular region"	GO:0005576	2	TRINITY_DN310084_c1_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN310084_c1_g2	0
"extracellular region"	GO:0005576	2	TRINITY_DN310745_c1_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN311756_c0_g1	0
"extracellular region"	GO:0005576	2	TRINITY_DN312719_c0_g4	0
"extracellular region"	GO:0005576	2	TRINITY_DN312754_c1_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN222905_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN238633_c1_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN256598_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN256648_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN276040_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN292954_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN292954_c0_g2	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN299639_c5_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN310732_c2_g2	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN310732_c2_g4	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN311466_c0_g3	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN359839_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN66420_c0_g1	0
"endopeptidase complex"	GO:0000502;GO:1905369	3	TRINITY_DN67439_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN110605_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN227390_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN234174_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN252859_c1_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN254086_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN255222_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN255851_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN255890_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN274054_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN276586_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN277053_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN277378_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN292329_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN292329_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN293495_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN293698_c3_g3	0
"plasma membrane"	GO:0005886	3	TRINITY_DN294776_c2_g3	0
"plasma membrane"	GO:0005886	3	TRINITY_DN298608_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN299672_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN299703_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN299703_c0_g2	0.534715281617882
"plasma membrane"	GO:0005886	3	TRINITY_DN311737_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311737_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311920_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN311920_c0_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN312713_c2_g2	0
"plasma membrane"	GO:0005886	3	TRINITY_DN312713_c2_g3	0
"plasma membrane"	GO:0005886	3	TRINITY_DN312739_c5_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN31461_c0_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN316931_c2_g4	0
"plasma membrane"	GO:0005886	3	TRINITY_DN316958_c2_g1	0
"plasma membrane"	GO:0005886	3	TRINITY_DN317258_c3_g1	0
