name	term	lev	seq	value
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN104808_c0_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN276016_c0_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN278816_c0_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN296774_c0_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN296774_c1_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN298841_c5_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN298841_c5_g5	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN353660_c0_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN65665_c0_g1	0
"U1 snRNP"	GO:0005685;GO:0005687	3	TRINITY_DN226758_c0_g1	0
"nuclear chromosome"	GO:0000228	4	TRINITY_DN278895_c0_g1	0
"nuclear chromosome"	GO:0000228	4	TRINITY_DN293812_c1_g1	0.84934988563017
"nuclear chromosome"	GO:0000228	4	TRINITY_DN298603_c0_g1	0
"nuclear chromosome"	GO:0000228	4	TRINITY_DN312793_c6_g1	0
"nuclear chromosome"	GO:0000228	4	TRINITY_DN451916_c0_g1	0
"axon terminus"	GO:0043679;GO:0044306	3	TRINITY_DN139765_c0_g1	0
"axon terminus"	GO:0043679;GO:0044306	3	TRINITY_DN226665_c1_g1	0
"axon terminus"	GO:0043679;GO:0044306	3	TRINITY_DN226924_c0_g2	0.557316934412968
"axon terminus"	GO:0043679;GO:0044306	3	TRINITY_DN256932_c0_g1	0.710777328572373
"axon terminus"	GO:0043679;GO:0044306	3	TRINITY_DN380313_c0_g1	0
"exocytic vesicle"	GO:0070382	2	TRINITY_DN104215_c0_g1	0
"exocytic vesicle"	GO:0070382	2	TRINITY_DN226924_c0_g2	0.557316934412968
"exocytic vesicle"	GO:0070382	2	TRINITY_DN256934_c1_g2	0
"exocytic vesicle"	GO:0070382	2	TRINITY_DN298449_c4_g2	0
"exocytic vesicle"	GO:0070382	2	TRINITY_DN311076_c1_g2	0
"exocytic vesicle"	GO:0070382	2	TRINITY_DN311773_c2_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN111467_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN111503_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN172838_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN172838_c1_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN175482_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN23109_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN231231_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN233065_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN233065_c0_g2	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN256513_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN271646_c0_g1	0.891455404595334
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN274556_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN293487_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN296770_c4_g3	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN298698_c0_g1	0.953708716489774
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN298836_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c1_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c1_g3	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g3	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g4	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g5	0.97086149186301
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g6	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g8	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN299782_c2_g9	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN310721_c0_g1	0.870246946569122
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN314864_c1_g2	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN340684_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN340697_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN38426_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN385564_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN462199_c0_g1	0
"ubiquitin ligase complex"	GO:0000151	2	TRINITY_DN619895_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN22369_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN223891_c0_g2	0
"Cajal body"	GO:0015030	3	TRINITY_DN226045_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN226758_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN256593_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN256619_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN292331_c0_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN293826_c5_g4	0
"Cajal body"	GO:0015030	3	TRINITY_DN293826_c5_g5	0
"Cajal body"	GO:0015030	3	TRINITY_DN296757_c2_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN298841_c5_g1	0
"Cajal body"	GO:0015030	3	TRINITY_DN298841_c5_g5	0
"Cajal body"	GO:0015030	3	TRINITY_DN449828_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN104662_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN233623_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN238282_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN271059_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN278959_c0_g1	0.502296718144558
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN294759_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN295076_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN295077_c0_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN296706_c2_g1	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN298166_c1_g2	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN299020_c1_g3	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN310081_c0_g6	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN310081_c0_g7	0
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN310736_c2_g2	0.934297492499281
"outer membrane"	GO:0031968;GO:0019867	2	TRINITY_DN312088_c0_g2	0
