geneID,kME
TRINITY_DN295075_c3_g1,0
TRINITY_DN294775_c0_g1,0
TRINITY_DN312737_c2_g5,0
TRINITY_DN293689_c0_g1,0
TRINITY_DN311476_c1_g3,0
TRINITY_DN294775_c0_g2,0
TRINITY_DN296759_c4_g1,0
TRINITY_DN276418_c0_g1,0
TRINITY_DN293689_c0_g3,0
TRINITY_DN298848_c3_g2,0
TRINITY_DN139711_c0_g1,0
TRINITY_DN296798_c5_g3,0
TRINITY_DN294184_c0_g1,0
TRINITY_DN299653_c1_g2,0
TRINITY_DN293383_c0_g1,0
TRINITY_DN293385_c0_g1,0
TRINITY_DN255993_c0_g1,0
TRINITY_DN293394_c0_g1,0
TRINITY_DN316993_c1_g1,0
TRINITY_DN310743_c5_g1,0
TRINITY_DN311738_c1_g1,0
TRINITY_DN277209_c0_g1,0
TRINITY_DN231598_c0_g2,0
TRINITY_DN296377_c0_g2,0
TRINITY_DN314275_c4_g3,0
TRINITY_DN294767_c5_g2,0
TRINITY_DN312702_c0_g1,0
TRINITY_DN311463_c3_g2,0
TRINITY_DN292978_c1_g13,0
TRINITY_DN294781_c1_g1,0
TRINITY_DN271649_c0_g1,0
TRINITY_DN233040_c0_g2,0
TRINITY_DN278928_c0_g1,0
TRINITY_DN311463_c2_g1,0
TRINITY_DN311789_c4_g1,0
TRINITY_DN276409_c0_g1,0
TRINITY_DN274831_c0_g1,0
TRINITY_DN292998_c5_g6,0
TRINITY_DN59463_c0_g1,0
TRINITY_DN311493_c0_g1,0
TRINITY_DN298149_c0_g1,0
TRINITY_DN277252_c0_g1,0
TRINITY_DN274697_c0_g1,0
TRINITY_DN278965_c0_g1,0
TRINITY_DN175487_c0_g1,0
TRINITY_DN276943_c0_g1,0
TRINITY_DN151688_c0_g1,0
TRINITY_DN271596_c0_g1,0
TRINITY_DN278995_c0_g1,0
TRINITY_DN227360_c0_g2,0
TRINITY_DN299252_c4_g1,0
TRINITY_DN231504_c0_g1,0
TRINITY_DN277373_c0_g1,0
TRINITY_DN151705_c0_g1,0
TRINITY_DN296771_c4_g2,0
TRINITY_DN278325_c0_g1,0
TRINITY_DN102431_c0_g1,0
TRINITY_DN10208_c0_g1,0
TRINITY_DN255960_c0_g1,0
TRINITY_DN256557_c0_g2,0
TRINITY_DN46127_c0_g1,0
TRINITY_DN172940_c0_g1,0
TRINITY_DN298605_c1_g1,0
TRINITY_DN294767_c5_g3,0
TRINITY_DN299755_c1_g2,0
TRINITY_DN34409_c0_g1,0
TRINITY_DN210344_c0_g2,0
TRINITY_DN298612_c2_g9,0
TRINITY_DN238280_c0_g1,0
TRINITY_DN228040_c0_g1,0
TRINITY_DN312042_c0_g2,0
TRINITY_DN255879_c0_g1,0
TRINITY_DN294767_c5_g1,0
TRINITY_DN296270_c3_g1,0
TRINITY_DN517_c0_g1,0
TRINITY_DN4924_c0_g1,0
TRINITY_DN292335_c2_g3,0
TRINITY_DN255282_c0_g2,0
TRINITY_DN254215_c0_g1,0
TRINITY_DN6785_c0_g1,0
TRINITY_DN314624_c7_g1,0
TRINITY_DN311465_c0_g1,0
TRINITY_DN663193_c0_g1,0
TRINITY_DN311789_c3_g5,0
TRINITY_DN160346_c0_g1,0
TRINITY_DN292392_c0_g2,0
TRINITY_DN340826_c0_g1,0
TRINITY_DN294675_c1_g3,0
TRINITY_DN296270_c3_g3,0
TRINITY_DN293398_c1_g1,0
TRINITY_DN25183_c0_g1,0
TRINITY_DN310739_c1_g1,0
TRINITY_DN526802_c0_g1,0
TRINITY_DN294767_c5_g4,0
TRINITY_DN292338_c3_g2,0
TRINITY_DN115882_c0_g1,0
TRINITY_DN316904_c5_g1,0
TRINITY_DN292978_c1_g3,0
TRINITY_DN298615_c0_g2,0
TRINITY_DN663141_c0_g1,0
TRINITY_DN172839_c0_g1,0
TRINITY_DN316904_c8_g7,0
TRINITY_DN292371_c1_g1,0
TRINITY_DN299703_c0_g2,0
TRINITY_DN278999_c3_g5,0
TRINITY_DN62289_c0_g1,0
TRINITY_DN616819_c0_g1,0
TRINITY_DN27464_c0_g1,0
TRINITY_DN105050_c0_g1,0
TRINITY_DN610807_c0_g1,0
TRINITY_DN316937_c0_g4,0
TRINITY_DN66605_c0_g1,0
TRINITY_DN310739_c1_g5,0
TRINITY_DN175172_c0_g1,0
TRINITY_DN238618_c0_g1,0
TRINITY_DN276917_c1_g1,0
TRINITY_DN316904_c8_g3,0
TRINITY_DN173983_c0_g1,0
TRINITY_DN220166_c0_g1,0
TRINITY_DN278999_c2_g1,0
TRINITY_DN293478_c2_g10,0
TRINITY_DN254235_c0_g2,0
TRINITY_DN316937_c0_g2,0
TRINITY_DN524047_c0_g1,0
TRINITY_DN293398_c2_g4,0
TRINITY_DN312087_c2_g11,0
TRINITY_DN278821_c0_g4,0
TRINITY_DN67693_c0_g1,0
TRINITY_DN584390_c0_g1,0
TRINITY_DN151589_c0_g1,0
TRINITY_DN401259_c0_g1,0
TRINITY_DN226191_c0_g1,0
TRINITY_DN292384_c0_g1,0
TRINITY_DN314832_c0_g1,0
TRINITY_DN298805_c0_g2,0
TRINITY_DN311414_c0_g1,0
TRINITY_DN311774_c0_g1,0
TRINITY_DN276607_c0_g1,0
TRINITY_DN312093_c0_g7,0
TRINITY_DN311418_c0_g2,0
TRINITY_DN312003_c1_g6,0
TRINITY_DN254309_c0_g1,0
TRINITY_DN311783_c0_g2,0
TRINITY_DN312752_c3_g1,0
TRINITY_DN299729_c1_g1,0
TRINITY_DN314234_c0_g5,0
TRINITY_DN295269_c0_g3,0
TRINITY_DN314834_c0_g2,0
TRINITY_DN296278_c0_g3,0
TRINITY_DN316260_c0_g1,0
TRINITY_DN293332_c0_g1,0
TRINITY_DN316951_c1_g2,0
TRINITY_DN295224_c1_g2,0
TRINITY_DN293494_c0_g1,0
TRINITY_DN255876_c0_g1,0
TRINITY_DN312707_c1_g1,0
TRINITY_DN310027_c1_g1,0
TRINITY_DN295218_c0_g1,0
TRINITY_DN314645_c3_g3,0
TRINITY_DN312005_c0_g4,0
TRINITY_DN312090_c4_g1,0
TRINITY_DN276264_c0_g3,0
TRINITY_DN299789_c0_g1,0
TRINITY_DN299275_c0_g1,0
TRINITY_DN310744_c0_g3,0
TRINITY_DN298618_c0_g1,0
TRINITY_DN276631_c0_g2,0
TRINITY_DN255257_c0_g1,0
TRINITY_DN276910_c0_g2,0
TRINITY_DN294194_c0_g2,0
TRINITY_DN314645_c3_g1,0
TRINITY_DN298834_c0_g2,0
TRINITY_DN293332_c0_g2,0
TRINITY_DN292331_c0_g1,0
TRINITY_DN314842_c0_g2,0
TRINITY_DN292970_c0_g1,0
TRINITY_DN310084_c1_g1,0
TRINITY_DN277915_c0_g1,0
TRINITY_DN311987_c0_g6,0
TRINITY_DN234168_c0_g1,0
TRINITY_DN312725_c0_g2,0
TRINITY_DN294657_c0_g2,0
TRINITY_DN226183_c0_g1,0
TRINITY_DN295213_c0_g1,0
TRINITY_DN299755_c1_g4,0
TRINITY_DN310085_c0_g1,0
TRINITY_DN226686_c0_g1,0
TRINITY_DN311987_c0_g1,0
TRINITY_DN276992_c0_g1,0
TRINITY_DN299032_c0_g1,0
TRINITY_DN299722_c1_g1,0
TRINITY_DN293348_c0_g2,0
TRINITY_DN310746_c0_g1,0
TRINITY_DN254239_c0_g1,0
TRINITY_DN298805_c0_g1,0
TRINITY_DN311484_c1_g3,0
TRINITY_DN274054_c0_g1,0
TRINITY_DN298173_c0_g1,0
TRINITY_DN256219_c0_g2,0
TRINITY_DN274635_c0_g1,0
TRINITY_DN310765_c2_g2,0
TRINITY_DN293492_c0_g1,0
TRINITY_DN314831_c1_g1,0
TRINITY_DN312737_c2_g4,0
TRINITY_DN274823_c0_g1,0
TRINITY_DN299263_c0_g1,0
TRINITY_DN314196_c0_g1,0
TRINITY_DN298834_c0_g1,0
TRINITY_DN276025_c0_g1,0
TRINITY_DN296278_c0_g5,0
TRINITY_DN298843_c0_g1,0
TRINITY_DN311484_c1_g1,0
TRINITY_DN292660_c0_g1,0
TRINITY_DN318563_c0_g1,0
TRINITY_DN293455_c0_g1,0
TRINITY_DN277371_c0_g1,0
TRINITY_DN271265_c0_g1,0
TRINITY_DN298602_c0_g1,0
TRINITY_DN310084_c1_g2,0
TRINITY_DN276016_c0_g1,0
TRINITY_DN292320_c0_g4,0
TRINITY_DN316649_c0_g1,0
TRINITY_DN276554_c0_g1,0
TRINITY_DN277215_c0_g1,0
TRINITY_DN274809_c0_g1,0
TRINITY_DN311753_c2_g3,0
TRINITY_DN311742_c0_g1,0
TRINITY_DN3495_c0_g1,0
TRINITY_DN296377_c0_g1,0
TRINITY_DN312726_c1_g3,0
TRINITY_DN293895_c0_g1,0
TRINITY_DN254084_c0_g1,0
TRINITY_DN274840_c0_g2,0
TRINITY_DN293682_c3_g2,0
TRINITY_DN294194_c0_g1,0
TRINITY_DN316900_c0_g3,0
TRINITY_DN292320_c0_g2,0
TRINITY_DN298841_c2_g1,0
TRINITY_DN314864_c1_g2,0
TRINITY_DN259595_c0_g1,0
TRINITY_DN298164_c0_g1,0
TRINITY_DN312745_c1_g3,0
TRINITY_DN311468_c0_g1,0
TRINITY_DN276063_c0_g1,0
TRINITY_DN292998_c2_g1,0
TRINITY_DN314168_c2_g5,0
TRINITY_DN294161_c0_g2,0
TRINITY_DN311484_c1_g5,0
TRINITY_DN292975_c0_g1,0
TRINITY_DN271000_c0_g1,0
TRINITY_DN277393_c0_g1,0
TRINITY_DN223644_c0_g1,0
TRINITY_DN293350_c0_g1,0
TRINITY_DN311753_c2_g8,0
TRINITY_DN298805_c0_g4,0
TRINITY_DN276974_c0_g1,0
TRINITY_DN274001_c0_g1,0
TRINITY_DN294652_c0_g3,0
TRINITY_DN276022_c0_g1,0
TRINITY_DN276264_c0_g1,0
TRINITY_DN316900_c0_g1,0
TRINITY_DN316900_c0_g2,0
TRINITY_DN299263_c0_g3,0
TRINITY_DN277043_c0_g1,0
TRINITY_DN276910_c0_g1,0
TRINITY_DN38592_c0_g1,0
TRINITY_DN314236_c0_g1,0
TRINITY_DN299755_c1_g3,0
TRINITY_DN310746_c0_g3,0
TRINITY_DN295269_c0_g4,0
TRINITY_DN314643_c0_g3,0
TRINITY_DN271268_c0_g1,0
TRINITY_DN256326_c0_g1,0
TRINITY_DN296362_c0_g2,0
TRINITY_DN316991_c4_g1,0
TRINITY_DN295071_c1_g1,0
TRINITY_DN294161_c0_g1,0
TRINITY_DN295269_c0_g5,0
TRINITY_DN314109_c1_g1,0
TRINITY_DN298831_c0_g1,0
TRINITY_DN278923_c1_g1,0
TRINITY_DN314157_c1_g1,0
TRINITY_DN311788_c0_g1,0
TRINITY_DN299658_c5_g1,0
TRINITY_DN298476_c0_g1,0
TRINITY_DN293818_c3_g2,0
TRINITY_DN316228_c3_g1,0
TRINITY_DN277394_c0_g1,0
TRINITY_DN299276_c0_g3,0
TRINITY_DN311070_c0_g3,0
TRINITY_DN276293_c0_g1,0
TRINITY_DN310742_c1_g1,0
TRINITY_DN251094_c0_g1,0
TRINITY_DN293499_c0_g1,0
TRINITY_DN296362_c0_g5,0
TRINITY_DN312007_c1_g4,0
TRINITY_DN295083_c1_g3,0
TRINITY_DN312001_c0_g1,0
TRINITY_DN278824_c0_g1,0
TRINITY_DN274795_c0_g2,0
TRINITY_DN252876_c0_g1,0
TRINITY_DN312726_c1_g1,0
TRINITY_DN25521_c0_g1,0
TRINITY_DN298147_c1_g1,0
TRINITY_DN293456_c0_g2,0
TRINITY_DN277053_c0_g1,0
TRINITY_DN316260_c0_g3,0
TRINITY_DN524499_c0_g1,0
TRINITY_DN316210_c3_g3,0
TRINITY_DN292378_c0_g2,0
TRINITY_DN294674_c6_g1,0
TRINITY_DN292396_c0_g3,0
TRINITY_DN299020_c1_g1,0
TRINITY_DN294619_c0_g2,0
TRINITY_DN223830_c0_g1,0
TRINITY_DN295225_c1_g1,0
TRINITY_DN312745_c1_g6,0
TRINITY_DN311077_c1_g1,0
TRINITY_DN312741_c6_g2,0
TRINITY_DN312728_c0_g1,0
TRINITY_DN296278_c0_g4,0
TRINITY_DN278343_c0_g1,0
TRINITY_DN292396_c0_g2,0
TRINITY_DN316936_c5_g1,0
TRINITY_DN274570_c1_g1,0
TRINITY_DN296758_c2_g5,0
TRINITY_DN311478_c1_g1,0
TRINITY_DN250557_c0_g1,0
TRINITY_DN299255_c0_g5,0
TRINITY_DN314626_c2_g5,0
TRINITY_DN293491_c0_g1,0
TRINITY_DN312719_c0_g1,0
TRINITY_DN276015_c0_g1,0
TRINITY_DN310761_c3_g4,0
TRINITY_DN299255_c0_g1,0
TRINITY_DN296786_c0_g3,0
TRINITY_DN316210_c2_g1,0
TRINITY_DN299263_c0_g2,0
TRINITY_DN292382_c1_g2,0
TRINITY_DN175296_c0_g1,0
TRINITY_DN296376_c0_g1,0
TRINITY_DN293691_c0_g1,0
TRINITY_DN311419_c1_g2,0
TRINITY_DN299783_c0_g3,0
TRINITY_DN271275_c0_g1,0
TRINITY_DN299209_c0_g1,0
TRINITY_DN292396_c0_g1,0
TRINITY_DN295223_c0_g1,0
TRINITY_DN316223_c6_g3,0
TRINITY_DN271688_c0_g1,0
TRINITY_DN316221_c2_g2,0
TRINITY_DN299040_c0_g1,0
TRINITY_DN296786_c0_g1,0
TRINITY_DN317243_c9_g4,0
TRINITY_DN292950_c0_g1,0
TRINITY_DN276445_c0_g1,0
TRINITY_DN294789_c1_g1,0
TRINITY_DN316221_c2_g4,0
TRINITY_DN311419_c1_g1,0
TRINITY_DN277395_c0_g1,0
TRINITY_DN292970_c0_g2,0
TRINITY_DN295216_c0_g2,0
TRINITY_DN298802_c0_g2,0
TRINITY_DN259522_c1_g1,0
TRINITY_DN6371_c0_g1,0
TRINITY_DN314863_c3_g4,0
TRINITY_DN298832_c1_g1,0
TRINITY_DN111410_c0_g1,0
TRINITY_DN312745_c1_g1,0
TRINITY_DN299750_c3_g3,0
TRINITY_DN274005_c0_g1,0
TRINITY_DN292382_c0_g1,0
TRINITY_DN311418_c0_g3,0
TRINITY_DN310742_c1_g3,0
TRINITY_DN314176_c1_g1,0
TRINITY_DN228042_c0_g1,0
TRINITY_DN614028_c0_g1,0
TRINITY_DN274662_c0_g1,0
TRINITY_DN314173_c1_g1,0
TRINITY_DN299291_c1_g1,0
TRINITY_DN314109_c2_g1,0
TRINITY_DN2119_c1_g1,0
TRINITY_DN295269_c0_g6,0
TRINITY_DN311986_c0_g1,0
TRINITY_DN295225_c0_g2,0
TRINITY_DN277000_c0_g1,0
TRINITY_DN317261_c5_g1,0
TRINITY_DN231207_c0_g1,0
TRINITY_DN294650_c0_g4,0
TRINITY_DN172838_c0_g1,0
TRINITY_DN298237_c0_g2,0
TRINITY_DN314160_c4_g1,0
TRINITY_DN292909_c0_g1,0
TRINITY_DN255899_c0_g1,0
TRINITY_DN311412_c1_g1,0
TRINITY_DN295270_c0_g1,0
TRINITY_DN274058_c0_g1,0
TRINITY_DN292387_c4_g1,0
TRINITY_DN274808_c0_g1,0
TRINITY_DN643084_c0_g1,0
TRINITY_DN311486_c4_g1,0
TRINITY_DN292914_c1_g1,0
TRINITY_DN312713_c2_g1,0
TRINITY_DN292979_c1_g6,0
TRINITY_DN296791_c0_g1,0
TRINITY_DN276935_c0_g1,0
TRINITY_DN293818_c2_g2,0
TRINITY_DN293493_c3_g1,0
TRINITY_DN317263_c4_g2,0
TRINITY_DN312737_c2_g3,0
TRINITY_DN292396_c0_g4,0
TRINITY_DN45784_c0_g1,0
TRINITY_DN226664_c0_g1,0
TRINITY_DN312741_c6_g4,0
TRINITY_DN314831_c0_g1,0
TRINITY_DN259162_c0_g1,0
TRINITY_DN298177_c0_g1,0
TRINITY_DN312705_c0_g2,0
TRINITY_DN277047_c0_g1,0
TRINITY_DN172833_c0_g1,0
TRINITY_DN299758_c2_g1,0
TRINITY_DN276293_c0_g2,0
TRINITY_DN294779_c1_g9,0
TRINITY_DN553854_c0_g1,0
TRINITY_DN223640_c0_g1,0
TRINITY_DN311478_c1_g2,0
TRINITY_DN310761_c3_g1,0
TRINITY_DN314275_c4_g1,0
TRINITY_DN292370_c1_g7,0
TRINITY_DN294776_c2_g6,0
TRINITY_DN299758_c1_g1,0
TRINITY_DN312754_c1_g1,0
TRINITY_DN292387_c1_g4,0
TRINITY_DN293499_c0_g3,0
TRINITY_DN298166_c2_g3,0
TRINITY_DN296757_c2_g1,0
TRINITY_DN316973_c2_g1,0
TRINITY_DN294189_c0_g1,0
TRINITY_DN234177_c0_g1,0
TRINITY_DN274731_c0_g1,0
TRINITY_DN311791_c2_g1,0
TRINITY_DN298167_c0_g1,0
TRINITY_DN314629_c0_g1,0
TRINITY_DN227390_c0_g1,0
TRINITY_DN314258_c2_g2,0
TRINITY_DN310743_c0_g1,0
TRINITY_DN312744_c0_g1,0
TRINITY_DN293818_c2_g1,0
TRINITY_DN256575_c0_g2,0
TRINITY_DN312088_c0_g6,0
TRINITY_DN104613_c0_g1,0
TRINITY_DN226618_c0_g1,0
TRINITY_DN226922_c0_g1,0
TRINITY_DN292387_c8_g1,0
