name	term	lev	seq	value
"glutathione transferase activity"	GO:0004364	3	TRINITY_DN238430_c0_g1	0
"glutathione transferase activity"	GO:0004364	3	TRINITY_DN250555_c0_g1	0
"glutathione transferase activity"	GO:0004364	3	TRINITY_DN254036_c0_g1	0
"glutathione transferase activity"	GO:0004364	3	TRINITY_DN292662_c0_g1	0
"glutathione transferase activity"	GO:0004364	3	TRINITY_DN293493_c3_g1	0.805405106967742
"glutathione transferase activity"	GO:0004364	3	TRINITY_DN293493_c3_g4	0.576438814071213
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN233686_c0_g1	0.726631977936497
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN234179_c0_g1	0
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN238256_c0_g1	0
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN271662_c0_g1	0
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN293818_c2_g1	0.711567206131417
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN293818_c2_g2	0.813561465033647
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN294184_c0_g1	0
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN298831_c0_g1	0.951033342889358
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN3463_c0_g1	0
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN61938_c0_g1	0
"peroxidase activity"	GO:0004601;GO:0016684	2	TRINITY_DN67095_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN106784_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN278828_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN293698_c3_g2	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN298161_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN312003_c1_g6	0.995159720858409
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN314107_c4_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN314107_c4_g2	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN444901_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN543_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN150674_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN231598_c0_g2	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN11011_c0_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN293690_c9_g1	0
"GTPase regulator activity"	GO:0005096;GO:0008047;GO:0030695	2	TRINITY_DN293690_c9_g2	0
"SNARE binding"	GO:0000149	3	TRINITY_DN104215_c0_g1	0
"SNARE binding"	GO:0000149	3	TRINITY_DN139762_c0_g1	0
"SNARE binding"	GO:0000149	3	TRINITY_DN226687_c0_g1	0
"SNARE binding"	GO:0000149	3	TRINITY_DN256934_c1_g2	0
"SNARE binding"	GO:0000149	3	TRINITY_DN271641_c0_g3	0.540710253162541
"SNARE binding"	GO:0000149	3	TRINITY_DN278995_c0_g1	0
"SNARE binding"	GO:0000149	3	TRINITY_DN372912_c0_g1	0
"SNARE binding"	GO:0000149	3	TRINITY_DN375738_c0_g1	0
"zinc ion binding"	GO:0008270	3	TRINITY_DN106798_c0_g1	0
"zinc ion binding"	GO:0008270	3	TRINITY_DN2272_c0_g1	0
"zinc ion binding"	GO:0008270	3	TRINITY_DN231548_c0_g1	0
