name	term	lev	seq	value
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN102508_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN173775_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN220412_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN226044_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN226665_c1_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN226747_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN234234_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN254319_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN255962_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN256328_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN256622_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN271254_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN274624_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN274638_c1_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN276844_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN277292_c0_g1	0.97814248923936
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN277395_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN278825_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292395_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292395_c0_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292914_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292974_c4_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292974_c5_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292974_c7_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292974_c8_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN292974_c9_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293347_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293690_c9_g3	-0.627810833026399
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293691_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293818_c3_g1	0.947196986677645
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293818_c3_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293899_c0_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN294138_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN294619_c0_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN294769_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN294769_c0_g2	-0.786646090020725
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN295008_c4_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN295086_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN296378_c1_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN296378_c6_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN296378_c7_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN296378_c7_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN296378_c7_g3	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN298173_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN298472_c5_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN298616_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN298837_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN299750_c3_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN299785_c1_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN299785_c1_g3	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN310726_c5_g3	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN311730_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN311787_c1_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312009_c2_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312009_c2_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312009_c2_g3	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312095_c1_g3	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312713_c0_g1	0.871584785259104
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312713_c2_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN314151_c2_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN314151_c2_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN314172_c3_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN314844_c0_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN314887_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN316970_c2_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN317295_c3_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN317298_c3_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN317298_c3_g2	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN317298_c3_g3	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN340660_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN380313_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN4433_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN526802_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN540595_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN61404_c0_g1	0
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN648411_c0_g1	0
"catalytic activity, acting on a tRNA"	GO:0004812;GO:0016875;GO:0140101	4	TRINITY_DN312004_c0_g1	0
"catalytic activity, acting on a tRNA"	GO:0004812;GO:0016875;GO:0140101	4	TRINITY_DN312004_c0_g2	0
"catalytic activity, acting on a tRNA"	GO:0004812;GO:0016875;GO:0140101	4	TRINITY_DN312004_c1_g3	0
