"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.04491273421472 2 19 "GO:0000027" "ribosomal large subunit assembly" 0.811111111111111
0 0.105707649032444 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.713636363636364
0 0.0171463097092466 7 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.249211491970962 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 0.115284030860583 3 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing, via transesterification reactions" 0.730434782608696
0 0.26065039104831 5 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 1
0 0.0105437617460312 3 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 0.0316065617080805 6 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 1
0 0.0440945942557704 3 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 1
0 0.0254690948752896 2 30 "GO:0006364;GO:0016072" "rRNA processing" 1
0 0.093808076836573 2 31 "GO:0006464;GO:0036211" "cellular protein modification process" 0.760526315789474
0 0.390016053426268 3 24 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 1
0 0.79580049530036 2 42 "GO:0006950;GO:0050896" "response to stimulus" 1
0 0.389500516827352 2 28 "GO:0006996" "organelle organization" 1
0 0.0505183827927833 3 20 "GO:0009057;GO:1901575;GO:0009056" "organic substance catabolic process" 0.772727272727273
0 0.172072207744647 4 23 "GO:0010468" "regulation of gene expression" 0.853846153846154
0 0.0474796890809962 4 18 "GO:0010629;GO:0010605;GO:0009892" "negative regulation of metabolic process" 0.79
0 0.0165614487837278 6 34 "GO:0016071" "mRNA metabolic process" 1
0 0.0436812685254437 3 9 "GO:0016567;GO:0032446" "protein modification by small protein conjugation" 1
0 0.0625560938515944 3 6 "GO:0030154" "cell differentiation" 0.725
0 0.194295009258567 1 34 "GO:0032502" "developmental process" 0.890740740740741
0 0.0638674253126549 6 41 "GO:0034470;GO:0034660" "ncRNA metabolic process" 0.683333333333333
0 0.546016424431457 2 18 "GO:0042221;GO:0006979;GO:0000302;GO:1901700" "response to chemical" 1
0 0.10505539208277 4 44 "GO:0043412" "macromolecule modification" 0.745238095238095
0 0.0441062184187725 2 16 "GO:0044265;GO:0044248" "cellular catabolic process" 0.90625
0 0.0568534222452597 2 25 "GO:0048519" "negative regulation of biological process" 0.723076923076923
0 0.147116428244378 2 19 "GO:0048869" "cellular developmental process" 0.806
0 0.551327730234657 2 16 "GO:0051252;GO:0019219" "regulation of nucleobase-containing compound metabolic process" 1
0 0.0658741582844206 2 10 "GO:0051726" "regulation of cell cycle" 0.6625
0 0.0890107088605424 3 5 "GO:0060249;GO:0042592" "anatomical structure homeostasis" 0.763888888888889
0 0.0772839877260198 3 37 "GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090" "regulation of macromolecule metabolic process" 0.705882352941177
0 0.11875167914914 2 7 "GO:0065008" "regulation of biological quality" 0.716666666666667
0 0.0509516142923508 5 11 "GO:0070647" "protein modification by small protein conjugation or removal" 0.716666666666667
0 0.10396670480614 6 13 "GO:0071900;GO:0045859;GO:0001932;GO:0043549;GO:0031399;GO:0042325;GO:0051338;GO:0032268;GO:0019220;GO:0050790;GO:0051246;GO:0051174;GO:0065009" "regulation of phosphorylation" 0.7725
