"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.326755206578263 2 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.779782877519821 2 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.199695734180139 5 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.91125
0 0.0989538938463827 4 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 0.830357142857143
0 0.0433294678374335 7 7 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0045937;GO:0043085;GO:0031325;GO:0051247;GO:0010562;GO:0044093;GO:0009893;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902531;GO:1902533;GO:0009967;GO:0010647;GO:0023056" "positive regulation of protein kinase activity" 1
0 0.423559503088438 2 6 "GO:0000209" "protein polyubiquitination" 0.96140350877193
0 0.104108312567516 3 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.801666666666667
0 0.235648290571226 4 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.913953488372093
0 0.349656656474508 6 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing, via transesterification reactions" 0.991
0 0.146265134617313 2 12 "GO:0000387" "spliceosomal snRNP assembly" 0.794736842105263
0 0.135345396388521 7 6 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 0.772972972972973
0 0.598832650361541 3 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 0.0372493880462373 5 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 1
0 0.395184260993922 4 5 "GO:0001522" "pseudouridine synthesis" 0.981481481481482
0 0.408742014950923 6 5 "GO:0001676" "long-chain fatty acid metabolic process" 0.979090909090909
