"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.153721993252398 4 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.984782608695652
0 0.148846406450417 2 6 "GO:0000209" "protein polyubiquitination" 1
0 0.120246129454612 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.919047619047619
0 0.218789006965026 3 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.018084940382635 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.491666666666667
0 0.52957515047707 2 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.440110984479761 3 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing" 1
0 0.00751124758461133 5 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.7
0 0.339551534772268 2 12 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.0635047029853691 2 14 "GO:0000902;GO:0032989;GO:0009653" "anatomical structure morphogenesis" 0.938461538461538
0 0.0994671721044925 2 5 "GO:0001522" "pseudouridine synthesis" 1
0 0.163371478543443 1 8 "GO:0002376" "immune system process" 0.989583333333333
0 0.10850964229581 6 5 "GO:0002758;GO:0002757;GO:0002218;GO:0002253;GO:0045089;GO:0002764;GO:0050778;GO:0031349;GO:0045088;GO:0050776;GO:0002684;GO:0031347;GO:0002682;GO:0080134" "innate immune response-activating signal transduction" 0.957894736842105
0 0.272285797572405 5 8 "GO:0003333;GO:0006865;GO:1905039;GO:0046942;GO:0015711;GO:0015849;GO:0006820;GO:0098656;GO:1903825;GO:0034220;GO:0055085" "transmembrane transport" 1
0 0.440902474666912 4 13 "GO:0006259" "DNA metabolic process" 1
0 0.387969959729804 5 11 "GO:0006281;GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA repair" 1
0 0.0514481699759393 5 31 "GO:0006464;GO:0036211" "cellular protein modification process" 0.945454545454545
0 0.0850846138197322 2 7 "GO:0006508" "proteolysis" 0.984375
0 0.254022742586117 2 24 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 1
0 0.0594296737162262 2 10 "GO:0006811" "ion transport" 0.958333333333333
0 0.0207436697288365 2 42 "GO:0006950;GO:0050896" "response to stimulus" 0.55
0 0.489447770549328 3 15 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 1
0 0.0134182487720786 3 28 "GO:0006996" "organelle organization" 0.6
0 0.266971511208724 3 15 "GO:0007165" "signal transduction" 1
0 0.220451237333456 2 13 "GO:0009451" "RNA modification" 1
0 0.0166245385781228 2 8 "GO:0009628" "response to abiotic stimulus" 0.56
0 0.0814974944860293 2 23 "GO:0010468" "regulation of gene expression" 1
0 0.46603985949256 2 34 "GO:0016071" "mRNA metabolic process" 1
0 0.0279900739448597 3 9 "GO:0016567;GO:0032446" "protein modification by small protein conjugation" 0.75
0 0.107547659882898 1 34 "GO:0032502" "developmental process" 1
0 0.0109887941180899 2 18 "GO:0042221;GO:0006979;GO:0000302;GO:1901700" "response to chemical" 0.65
0 0.0399931601922345 2 44 "GO:0043412" "macromolecule modification" 0.911111111111111
0 0.291247384844643 2 17 "GO:0048518;GO:0048583;GO:0048584" "positive regulation of biological process" 1
0 0.0783737985376041 2 19 "GO:0048869" "cellular developmental process" 1
0 0.0462516197061759 2 16 "GO:0051252;GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.95
0 0.277982577509809 3 10 "GO:0051726" "regulation of cell cycle" 1
0 0.112212620756969 3 37 "GO:0060255;GO:0031323;GO:0019222;GO:0051171;GO:0080090" "regulation of macromolecule metabolic process" 0.9325
0 0.00332403656344851 2 11 "GO:0070647" "protein modification by small protein conjugation or removal" 0.5
0 0.400820431515374 2 13 "GO:0071705;GO:0071702" "nitrogen compound transport" 1
0 0.340697366788069 6 13 "GO:0071900;GO:0045859;GO:0001932;GO:0043549;GO:0031399;GO:0042325;GO:0051338;GO:0032268;GO:0019220;GO:0050790;GO:0051246;GO:0051174;GO:0065009" "regulation of protein phosphorylation" 1
0 0.660837713752625 2 26 "GO:1903047;GO:0022402" "cell cycle process" 1
0 1 2 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 5 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 4 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 1
0 1 4 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 1
0 1 7 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 1
0 1 4 9 "GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310" "intracellular signal transduction" 1
0 1 5 7 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0010562;GO:0031325;GO:0009893;GO:0051247;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009967;GO:0010647;GO:0023056" "positive regulation of nitrogen compound metabolic process" 1
0 1 2 6 "GO:0000245" "spliceosomal complex assembly" 1
0 1 3 6 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 1
0 1 5 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 1 5 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 1
0 1 5 5 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 1 3 5 "GO:0001764" "neuron migration" 1
