"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0809021745099973 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.820454545454545
0 0.40508623850154 4 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.875438596491228
0 0.150442227993969 5 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.948333333333333
0 0.0359412199637434 2 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 0.564285714285714
0 0.414808169180242 7 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0031324;GO:0009889;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.872413793103448
0 0.173251449337875 6 7 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0043405;GO:0043410;GO:0071902;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093;GO:0043408;GO:1902533;GO:1902531;GO:0009967;GO:0010647;GO:0023056" "positive regulation of intracellular signal transduction" 0.975
0 0.0433128623344688 3 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.596875
0 0.00676420608159943 6 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing" 1
0 0.183265198118503 7 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.972727272727273
0 0.061752798229288 2 12 "GO:0000387" "spliceosomal snRNP assembly" 0.728947368421053
0 0.0289366102292373 7 6 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 0.503846153846154
0 0.186053891859328 2 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.92
0 0.0082055476673025 4 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 0.85
0 0.183873834214851 6 5 "GO:0001522" "pseudouridine synthesis" 0.945588235294118
0 0.969745105371057 4 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 1
0 0.275810751322276 3 5 "GO:0005975" "carbohydrate metabolic process" 0.818367346938776
0 0.22603889573469 2 13 "GO:0006259" "DNA metabolic process" 0.89875
0 0.2053401914773 5 11 "GO:0006281;GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA repair" 0.9
0 0.199351790732056 7 30 "GO:0006364;GO:0016072" "rRNA processing" 0.905405405405405
0 0.0668870790187255 3 31 "GO:0006464;GO:0036211" "cellular protein modification process" 0.75
0 0.403070248837152 5 14 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 0.888392857142857
0 0.0124364082919527 3 7 "GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135" "carbohydrate derivative metabolic process" 0.425
0 0.241138418576977 3 6 "GO:0006721;GO:0006720" "terpenoid metabolic process" 0.891666666666667
0 0.478584186276982 3 12 "GO:0006796;GO:0006793" "phosphate-containing compound metabolic process" 0.911666666666667
0 0.14683399048698 2 24 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 0.968965517241379
0 0.335340259823691 2 42 "GO:0006950;GO:0050896" "response to stimulus" 0.84622641509434
0 0.243457198495389 3 15 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 0.853409090909091
0 0.741781809531708 2 28 "GO:0006996" "organelle organization" 1
0 0.337593786007768 6 6 "GO:0008033;GO:0006399" "tRNA metabolic process" 0.833333333333333
0 0.00916359312299334 2 16 "GO:0008610" "lipid biosynthetic process" 0.37
0 0.0443298844135411 2 20 "GO:0009057;GO:1901575;GO:0009056" "organic substance catabolic process" 0.570588235294118
0 0.144683051146186 5 6 "GO:0009073;GO:0009072" "aromatic amino acid family metabolic process" 0.991071428571429
0 0.230163423165438 2 13 "GO:0009451" "RNA modification" 0.88780487804878
0 0.0225126693790564 3 9 "GO:0009966;GO:0010646;GO:0023051" "regulation of cell communication" 0.46
0 0.0183198660411443 2 23 "GO:0010468" "regulation of gene expression" 0.475
0 0.0286764927740399 2 18 "GO:0010629;GO:0010605;GO:0009892" "negative regulation of macromolecule metabolic process" 0.529166666666667
0 0.00858400494194532 5 34 "GO:0016071" "mRNA metabolic process" 0.616666666666667
0 0.242169961509848 2 17 "GO:0018130;GO:1901362;GO:0019438" "organic cyclic compound biosynthetic process" 0.872093023255814
0 0.189034445525602 2 25 "GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.902777777777778
0 0.356884859493927 3 6 "GO:0030154" "cell differentiation" 0.844545454545455
0 0.838471715683178 1 34 "GO:0032502" "developmental process" 1
0 0.467749466016857 2 41 "GO:0034470;GO:0034660" "ncRNA processing" 0.916101694915254
0 0.288001398416418 2 18 "GO:0042221;GO:0006979;GO:0000302;GO:1901700" "response to chemical" 0.827
0 0.310685532415274 2 44 "GO:0043412" "macromolecule modification" 0.825
0 0.0546192691610537 2 29 "GO:0044255;GO:0006629" "lipid metabolic process" 0.702777777777778
0 0.0161608435717631 2 16 "GO:0044265;GO:0044248" "cellular catabolic process" 0.492857142857143
0 0.112910823053857 2 34 "GO:0044281" "small molecule metabolic process" 0.96
0 0.0245273720808769 2 16 "GO:0044283;GO:0046394;GO:0016053" "small molecule biosynthetic process" 0.45
0 0.114732325120792 2 17 "GO:0048518;GO:0048583;GO:0048584" "positive regulation of biological process" 0.932692307692308
0 0.0209512381840763 3 25 "GO:0048519" "negative regulation of biological process" 0.472222222222222
0 0.221231023562796 4 10 "GO:0048522" "positive regulation of cellular process" 0.914102564102564
0 0.142116938769384 4 17 "GO:0048523" "negative regulation of cellular process" 1
0 0.714660347535435 2 19 "GO:0048869" "cellular developmental process" 1
0 0.299011639035452 2 6 "GO:0051186;GO:0051188" "cofactor metabolic process" 0.82843137254902
0 0.249146338398014 5 16 "GO:0051252;GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.826086956521739
0 0.0403268302460092 2 9 "GO:0051641;GO:0006886;GO:0008104;GO:0015031;GO:0046907;GO:0033036;GO:0015833;GO:0045184;GO:0051649;GO:0042886" "cellular localization" 0.593333333333333
0 0.248884901508146 3 10 "GO:0051726" "regulation of cell cycle" 0.843333333333333
0 0.00909901629762799 3 37 "GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090" "regulation of metabolic process" 0.4625
0 0.0711845638655994 4 13 "GO:0071705;GO:0071702" "nitrogen compound transport" 0.764285714285714
0 0.0922009589116337 6 13 "GO:0071900;GO:0045859;GO:0001932;GO:0043549;GO:0031399;GO:0042325;GO:0051338;GO:0019220;GO:0050790;GO:0065009;GO:0051174;GO:0032268;GO:0051246" "regulation of protein modification process" 0.83125
0 0.259094948211835 3 5 "GO:0090407;GO:0019637" "organophosphate metabolic process" 0.805208333333333
0 0.0846863435166195 5 9 "GO:1901607;GO:1901605;GO:0006520;GO:0008652" "cellular amino acid metabolic process" 0.81304347826087
0 0.259094948211835 3 5 "GO:1901617;GO:1901615" "organic hydroxy compound metabolic process" 0.805208333333333
0 0.171352487600905 2 26 "GO:1903047;GO:0022402" "cell cycle process" 0.993548387096774
0 1 2 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 7 9 "GO:0000165;GO:0023014;GO:0035556;GO:0006468;GO:0016310" "intracellular signal transduction" 1
0 1 2 6 "GO:0000209" "protein polyubiquitination" 1
0 1 3 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 1 2 6 "GO:0000245" "spliceosomal complex assembly" 1
0 1 3 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 1
0 1 2 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 1 3 14 "GO:0000902;GO:0032989;GO:0009653" "anatomical structure morphogenesis" 1
0 1 2 5 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 1 2 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 1 4 5 "GO:0001764" "neuron migration" 1
0 1 5 5 "GO:0002182;GO:0006414" "translational elongation" 1
0 1 1 8 "GO:0002376" "immune system process" 1
0 1 5 5 "GO:0002758;GO:0002757;GO:0002253;GO:0002764;GO:0050778;GO:0050776;GO:0002684;GO:0002682;GO:0002218;GO:0045089;GO:0031349;GO:0045088;GO:0031347;GO:0080134" "immune response-activating signal transduction" 1
0 1 3 8 "GO:0003333;GO:0006865;GO:1905039;GO:0046942;GO:0098656;GO:1903825;GO:0015711;GO:0015849;GO:0006820;GO:0034220;GO:0055085" "transmembrane transport" 1
0 1 3 7 "GO:0006508" "proteolysis" 1
0 1 6 5 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent protein catabolic process" 1
0 1 3 10 "GO:0006811" "ion transport" 1
0 1 3 5 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 1
0 1 3 15 "GO:0007165" "signal transduction" 1
0 1 2 8 "GO:0009628" "response to abiotic stimulus" 1
0 1 2 7 "GO:0016477;GO:0048870;GO:0006928;GO:0040011" "movement of cell or subcellular component" 1
0 1 2 9 "GO:0016567;GO:0032446" "protein modification by small protein conjugation" 1
0 1 1 5 "GO:0022414" "reproductive process" 1
0 1 2 6 "GO:0031126;GO:0043144;GO:0016074" "snoRNA metabolic process" 1
0 1 6 5 "GO:0031570;GO:0000075;GO:0045786" "DNA integrity checkpoint" 1
0 1 1 5 "GO:0032501" "multicellular organismal process" 1
0 1 2 7 "GO:0043628;GO:0031123" "ncRNA 3'-end processing" 1
0 1 2 6 "GO:0048646" "anatomical structure formation involved in morphogenesis" 1
0 1 2 10 "GO:0048856" "anatomical structure development" 1
0 1 3 6 "GO:0051656;GO:0051640" "organelle localization" 1
0 1 4 5 "GO:0060249;GO:0042592" "anatomical structure homeostasis" 1
0 1 2 7 "GO:0065008" "regulation of biological quality" 1
0 1 5 11 "GO:0070647" "protein modification by small protein conjugation or removal" 1
0 1 2 5 "GO:1901565" "organonitrogen compound catabolic process" 1
