"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0390960554366248 2 19 "GO:0000027" "ribosomal large subunit assembly" 0.7
0 0.676964968449065 2 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.0957491434691765 2 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.743103448275862
0 0.0819064377204064 4 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 0.766
0 0.719764256738591 2 9 "GO:0000165;GO:0035556" "intracellular signal transduction" 1
0 0.0667994069023784 7 9 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0045937;GO:0043085;GO:0031325;GO:0051247;GO:0010562;GO:0044093;GO:0009893;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009966;GO:0010646;GO:0023051;GO:0009967;GO:0010647;GO:0023056" "regulation of signal transduction" 0.720454545454545
0 0.370024119953011 5 6 "GO:0000209" "protein polyubiquitination" 0.955882352941177
0 0.321361942742217 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.936734693877551
0 0.284776536224195 3 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.927659574468085
0 0.259262744267272 5 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing" 0.944318181818182
0 0.131828279140051 2 12 "GO:0000387" "spliceosomal snRNP assembly" 0.765277777777778
0 0.0873784711688906 5 6 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 0.714285714285714
0 0.392444047082492 2 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.950943396226415
0 0.776365379457433 2 14 "GO:0000902;GO:0009653" "anatomical structure morphogenesis" 1
0 0.048646100055965 5 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 0.673529411764706
0 0.34869754764349 3 5 "GO:0001522" "pseudouridine synthesis" 0.954
0 0.439830993952824 2 5 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.305141325348278 2 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.930208333333333
0 0.376513253763471 2 5 "GO:0001764" "neuron migration" 0.948076923076923
0 0.273447897181061 3 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 0.926086956521739
0 0.118415184579831 6 5 "GO:0002182;GO:0006414" "cytoplasmic translational elongation" 0.8109375
0 0.000132785106615531 1 5 "GO:0002376" "immune system process" 0.05
0 0.0154455214566982 2 5 "GO:0005975" "carbohydrate metabolic process" 0.592857142857143
0 0.110858603931528 3 12 "GO:0006259" "DNA metabolic process" 0.770967741935484
0 0.10063967803047 4 11 "GO:0006281;GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.753333333333333
0 0.196505566068313 2 30 "GO:0006364;GO:0016072" "rRNA processing" 0.817441860465116
0 0.00564958928648164 4 24 "GO:0006464;GO:0036211" "protein modification process" 0.375
0 0.155267582583869 4 7 "GO:0006508" "proteolysis" 0.831578947368421
0 0.126214124059527 5 5 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent macromolecule catabolic process" 0.786764705882353
0 0.726539143275059 5 14 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 1
0 0.270819023748837 2 23 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 0.943333333333333
0 0.475136091347291 3 5 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.978448275862069
0 0.00172997945698688 2 42 "GO:0006950;GO:0050896" "response to stimulus" 0.2
0 0.0076223680782367 3 15 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 0.3
0 0.521025993427696 2 28 "GO:0006996" "organelle organization" 0.960483870967742
0 0.0370217187786056 3 15 "GO:0007165" "signal transduction" 0.729166666666667
0 0.125519625770309 2 6 "GO:0008033;GO:0006399" "tRNA processing" 0.807575757575758
0 0.163722436956208 3 9 "GO:0008104;GO:0033036;GO:0051641;GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0051649;GO:0042886" "cellular localization" 0.833333333333333
0 0.0320093950221396 3 20 "GO:0009057;GO:1901575;GO:0009056" "organic substance catabolic process" 0.833333333333333
0 0.0627381094071229 2 13 "GO:0009451" "RNA modification" 0.714285714285714
0 0.0800021302096519 2 8 "GO:0009628" "response to abiotic stimulus" 0.779166666666667
