"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.502457677967262 4 19 "GO:0000027" "ribosomal large subunit assembly" 0.968965517241379
0 0.278807376361045 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.935227272727273
0 0.197770250014143 5 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.980882352941177
0 0.593878318589082 2 9 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.99344262295082
0 0.136853605801434 2 6 "GO:0000209" "protein polyubiquitination" 1
0 0.190225392265866 3 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.986363636363636
0 0.45002430804776 5 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.949107142857143
0 0.00690947457098027 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.4875
0 0.572295148106185 2 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.9925
0 0.610569876096522 2 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing, via transesterification reactions" 0.96984126984127
0 0.0135209521093994 5 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.43125
0 0.595091392950689 4 12 "GO:0000387" "spliceosomal snRNP assembly" 0.97741935483871
0 0.259603511537347 2 14 "GO:0000902;GO:0009653" "anatomical structure morphogenesis" 0.96219512195122
0 0.047743073241132 2 5 "GO:0001522" "pseudouridine synthesis" 0.753125
0 0.0141958051669817 2 5 "GO:0001676" "long-chain fatty acid metabolic process" 0.416666666666667
0 0.0475708841201517 4 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.793333333333333
0 0.167147996114267 3 5 "GO:0001764" "neuron migration" 1
0 0.537087115850943 2 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 0.985593220338983
0 1.16776209341089e-05 4 7 "GO:0003333;GO:0006865;GO:1905039;GO:0015849;GO:1903825;GO:0098656;GO:0034220;GO:0055085" "transmembrane transport" 0
0 0.203915341491446 4 12 "GO:0006259" "DNA metabolic process" 0.965714285714286
0 0.611636380063196 5 11 "GO:0006281;GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA repair" 0.95546875
0 0.321649196872828 6 30 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.940425531914894
0 0.0154046865408366 2 24 "GO:0006464;GO:0036211" "cellular protein modification process" 0.41
0 0.0281466428713831 2 7 "GO:0006508" "proteolysis" 0.565384615384615
0 0.0767923436932151 5 14 "GO:0006631;GO:0032787" "monocarboxylic acid metabolic process" 0.864285714285714
0 0.332277076034316 4 6 "GO:0006721;GO:0006720" "terpenoid metabolic process" 0.922448979591837
0 0.0098062818357072 2 23 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 0.425
0 0.240265766272233 2 5 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.964102564102564
0 0.0756228923320368 2 42 "GO:0006950;GO:0050896" "response to stimulus" 0.9
0 0.6893781898309 4 15 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 0.965151515151515
0 0.0233049850042126 2 28 "GO:0006996" "organelle organization" 0.525
0 0.391399772997612 2 15 "GO:0007165" "signal transduction" 0.930188679245283
0 0.346965289637865 3 9 "GO:0008104;GO:0033036;GO:0051641;GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0051649;GO:0042886" "cellular localization" 0.885576923076923
0 0.253586718659462 4 16 "GO:0008610" "lipid biosynthetic process" 0.96875
0 0.393157890809969 2 9 "GO:0008652;GO:0006520" "cellular amino acid metabolic process" 0.912962962962963
0 0.828390869359807 3 20 "GO:0009057;GO:1901575;GO:0009056" "organic substance catabolic process" 0.982352941176471
0 0.160444413555433 5 13 "GO:0009451" "RNA modification" 1
0 0.0444685199824229 2 8 "GO:0009628" "response to abiotic stimulus" 0.825
0 0.0674981165152155 2 23 "GO:0010468" "regulation of gene expression" 0.927777777777778
0 0.764712783151549 6 34 "GO:0016071" "mRNA metabolic process" 0.975373134328358
0 0.209063852452186 2 7 "GO:0016477;GO:0048870;GO:0006928;GO:0040011" "movement of cell or subcellular component" 0.954166666666667
0 0.00762742857737757 2 9 "GO:0016567;GO:0032446" "protein modification by small protein conjugation" 0.43
0 0.0683962206835061 2 25 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.88421052631579
0 0.187392484894659 1 5 "GO:0022414" "reproductive process" 1
0 0.147768565384989 5 5 "GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 1
0 0.187392484894659 1 5 "GO:0032501" "multicellular organismal process" 1
0 0.342885187480805 1 34 "GO:0032502" "developmental process" 0.897058823529412
0 0.326196797033705 5 41 "GO:0034470;GO:0034660" "ncRNA metabolic process" 0.928125
0 0.0130018061570875 2 18 "GO:0042221;GO:0006979;GO:0000302;GO:1901700" "response to chemical" 0.492857142857143
0 0.0194989695622668 2 37 "GO:0043412" "macromolecule modification" 0.5
0 0.119375571740627 2 29 "GO:0044255;GO:0006629" "lipid metabolic process" 0.978
0 0.215778144333958 2 34 "GO:0044281" "small molecule metabolic process" 0.941891891891892
0 0.498608353918406 3 16 "GO:0044283;GO:0046394;GO:0016053" "small molecule biosynthetic process" 0.980701754385965
0 0.296682013562423 3 25 "GO:0048519" "negative regulation of biological process" 0.920652173913044
0 0.27528311172673 2 17 "GO:0048523" "negative regulation of cellular process" 0.948837209302326
0 0.285471321320827 2 10 "GO:0048856" "anatomical structure development" 0.92
0 0.0510671494755352 2 16 "GO:0051252;GO:0019219" "regulation of nucleobase-containing compound metabolic process" 0.747058823529412
0 0.272344496334228 3 6 "GO:0051656;GO:0051640" "establishment of organelle localization" 0.96547619047619
0 0.103659764555128 2 10 "GO:0051726" "regulation of cell cycle" 0.925
0 0.0822030040993095 4 5 "GO:0060249;GO:0042592;GO:0065008" "anatomical structure homeostasis" 0.854545454545455
0 0.0860302985301004 3 37 "GO:0060255;GO:0019222;GO:0031323;GO:0051171;GO:0080090" "regulation of metabolic process" 0.841304347826087
0 0.00069994131011184 2 11 "GO:0070647" "protein modification by small protein conjugation or removal" 0.15
0 0.00464320227358143 3 16 "GO:0071705;GO:0071702;GO:0006820;GO:0006811" "ion transport" 0.483333333333333
0 0.337683410121609 5 13 "GO:0071900;GO:0045859;GO:0001932;GO:0043549;GO:0031399;GO:0042325;GO:0051338;GO:0065009;GO:0032268;GO:0019220;GO:0050790;GO:0051246;GO:0051174" "regulation of protein phosphorylation" 0.908
0 0.236422376171458 3 13 "GO:1901362" "organic cyclic compound biosynthetic process" 0.976315789473684
0 0.427928253598927 4 5 "GO:1901565" "organonitrogen compound catabolic process" 0.936363636363636
0 0.138464937994817 4 5 "GO:1901617;GO:1901615" "organic hydroxy compound biosynthetic process" 1
0 0.612047729475242 2 26 "GO:1903047;GO:0022402" "cell cycle process" 0.941538461538462
0 1 6 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "autophagosome organization" 1
0 1 2 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 1
0 1 7 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0009889;GO:0031324;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 1
0 1 6 9 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0045937;GO:0043085;GO:0031325;GO:0051247;GO:0010562;GO:0044093;GO:0009893;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009967;GO:0009966;GO:0010647;GO:0023056;GO:0010646;GO:0023051" "regulation of signal transduction" 1
0 1 3 6 "GO:0000245" "spliceosomal complex assembly" 1
0 1 5 6 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 1
0 1 2 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 1 6 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 1
0 1 2 5 "GO:0002182;GO:0006414" "cytoplasmic translational elongation" 1
0 1 1 5 "GO:0002376" "immune system process" 1
0 1 2 5 "GO:0005975" "carbohydrate metabolic process" 1
0 1 4 5 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "modification-dependent protein catabolic process" 1
0 1 3 7 "GO:0006643;GO:0009247;GO:0006664;GO:0046467;GO:1901137;GO:1903509;GO:1901135" "carbohydrate derivative metabolic process" 1
0 1 6 6 "GO:0008033;GO:0006399" "tRNA metabolic process" 1
0 1 3 18 "GO:0010629;GO:0010605;GO:0009892" "negative regulation of macromolecule metabolic process" 1
0 1 2 11 "GO:0018130;GO:0019438" "heterocycle biosynthetic process" 1
0 1 6 5 "GO:0031126;GO:0043144;GO:0016074" "sno(s)RNA metabolic process" 1
0 1 7 7 "GO:0043628;GO:0031123" "ncRNA 3'-end processing" 1
0 1 2 16 "GO:0044265;GO:0044248" "cellular catabolic process" 1
0 1 4 13 "GO:0048522;GO:0048518" "positive regulation of biological process" 1
