"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.124541464758297 2 19 "GO:0000027" "ribosomal large subunit assembly" 0.793181818181818
0 0.0860768039943578 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.775
0 0.089680992522232 2 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.755263157894737
0 0.252707780362028 2 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 0.119834030779971 9 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing, via transesterification reactions" 0.819047619047619
0 0.00987035731989709 4 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 1
0 0.0319763172586379 3 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 1
0 0.0398386600506036 6 55 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604" "amide biosynthetic process" 1
0 0.0240825939066173 3 30 "GO:0006364;GO:0016072" "rRNA processing" 1
0 0.0853699195413053 3 24 "GO:0006464;GO:0036211" "protein modification process" 0.817647058823529
0 0.38959083138118 2 23 "GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 1
0 0.855438289301384 2 42 "GO:0006950;GO:0050896" "response to stimulus" 1
0 0.398758016478022 3 28 "GO:0006996" "organelle organization" 1
0 0.0514766090797656 2 20 "GO:0009057;GO:1901575;GO:0009056" "organic substance catabolic process" 0.977777777777778
0 0.0556558330544542 2 23 "GO:0010468" "regulation of gene expression" 0.863636363636364
0 0.0483166668742209 4 18 "GO:0010629;GO:0010605;GO:0009892" "negative regulation of macromolecule metabolic process" 1
0 0.017453941254404 5 34 "GO:0016071" "mRNA metabolic process" 1
0 0.0441571014634303 2 9 "GO:0016567;GO:0032446" "protein modification by small protein conjugation" 1
0 0.206266282801134 1 5 "GO:0022414" "reproductive process" 0.968
