"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0815686545150176 2 15 "GO:0000028" "ribosomal small subunit assembly" 0.766
0 0.39569391459371 5 8 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.863392857142857
0 0.148576604446076 6 5 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.895454545454546
0 0.033145973989393 3 7 "GO:0000103;GO:0006790" "sulfur compound metabolic process" 0.484375
0 0.402487125834055 6 10 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0010556;GO:0009889;GO:0031324;GO:0031326;GO:2001141;GO:0051253;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 0.857017543859649
0 0.0238760880679387 7 9 "GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0045937;GO:0043085;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0044093;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009966;GO:0010646;GO:0023051;GO:0009967;GO:0010647;GO:0023056" "regulation of signal transduction" 0.458333333333333
0 0.0424583978483688 3 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.536842105263158
0 0.00966988448684373 7 30 "GO:0000377;GO:0000375;GO:0008380;GO:0000398;GO:0006397" "RNA splicing" 0.333333333333333
0 0.199288353715763 8 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.885897435897436
0 0.0595480204820436 2 12 "GO:0000387" "spliceosomal snRNP assembly" 0.610869565217391
0 0.0284697648165375 5 6 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.489285714285714
0 0.194224858815027 2 23 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.922972972972973
0 0.611896014607772 3 14 "GO:0000902;GO:0009653" "anatomical structure morphogenesis" 0.987931034482759
0 0.00923260199261768 4 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "aromatic compound catabolic process" 0.4
0 0.189847883458875 2 5 "GO:0001522" "pseudouridine synthesis" 0.934722222222222
