"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0796520842426878 3 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0044455;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 1
0 0.0409241395778031 4 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.95
0 0.158010571541838 1 24 "GO:0005576" "extracellular region" 0.946153846153846
0 0.740388403666604 2 49 "GO:0005737" "cytoplasm" 1
0 0.181786568283313 2 43 "GO:0005739" "mitochondrion" 0.840625
0 0.141057995304094 4 25 "GO:0005773" "vacuole" 1
0 0.114199965861054 4 14 "GO:0005789" "endoplasmic reticulum membrane" 0.975
0 0.174522087517227 3 30 "GO:0005829" "cytosol" 0.873333333333333
0 0.00315878353772024 3 7 "GO:0005840" "ribosome" 0.25
0 0.61649400892849 2 37 "GO:0005886" "plasma membrane" 1
0 0.055623529913861 3 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.0387695589488284 1 75 "GO:0044425" "membrane part" 1
0 0.163441320055816 2 30 "GO:0044427" "chromosomal part" 0.892857142857143
0 0.109151362517289 2 69 "GO:0044428" "nuclear part" 1
0 0.257299138021759 3 42 "GO:0044429" "mitochondrial part" 0.985294117647059
0 0.154417792384502 2 21 "GO:0044432" "endoplasmic reticulum part" 1
0 0.0858899521655901 3 5 "GO:0044451" "nucleoplasm part" 1
0 0.0303823213477056 2 36 "GO:0098796" "membrane protein complex" 1
0 0.489953919211483 2 62 "GO:1902494" "catalytic complex" 1
0 0.283099286038254 2 21 "GO:1990234" "transferase complex" 0.991666666666667
0 0.0184803261973138 2 18 "GO:1990904" "ribonucleoprotein complex" 1
0 1 3 11 "GO:0000151" "ubiquitin ligase complex" 1
0 1 4 11 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 2 5 "GO:0000322" "storage vacuole" 1
0 1 2 7 "GO:0000323" "lytic vacuole" 1
0 1 3 7 "GO:0000347" "THO complex" 1
0 1 3 14 "GO:0000502;GO:1905369" "proteasome complex" 1
0 1 2 8 "GO:0000775;GO:0098687" "chromosomal region" 1
0 1 4 6 "GO:0000785" "chromatin" 1
0 1 4 8 "GO:0000932;GO:0036464;GO:0035770" "ribonucleoprotein granule" 1
0 1 3 20 "GO:0000943" "retrotransposon nucleocapsid" 1
0 1 4 5 "GO:0005654" "nucleoplasm" 1
0 1 3 11 "GO:0005730" "nucleolus" 1
0 1 2 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 1
0 1 4 10 "GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 1
0 1 3 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "intracellular vesicle" 1
0 1 4 30 "GO:0005774;GO:0044437" "vacuolar part" 1
0 1 3 20 "GO:0005783" "endoplasmic reticulum" 1
0 1 3 12 "GO:0005794" "Golgi apparatus" 1
0 1 3 20 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 1
0 1 4 29 "GO:0009536;GO:0009507" "plastid" 1
0 1 3 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "chloroplast membrane" 1
0 1 3 21 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 1 3 8 "GO:0017117;GO:0033202;GO:1904949" "ATPase complex" 1
0 1 2 6 "GO:0044430" "cytoskeletal part" 1
0 1 2 27 "GO:0044434;GO:0044435" "chloroplast part" 1
0 1 2 5 "GO:0044454" "nuclear chromosome part" 1
0 1 2 8 "GO:0044459" "plasma membrane part" 1
0 1 2 33 "GO:0098805" "whole membrane" 1
0 1 2 6 "GO:0098852" "lytic vacuole membrane" 1
0 1 3 19 "GO:1905368" "peptidase complex" 1
