"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0358077760665852 5 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0044455;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 0.833333333333333
0 0.0459529554324009 2 7 "GO:0000347" "THO complex" 0.64
0 0.0113625470592662 2 6 "GO:0000785" "chromatin" 0.65
0 0.554032138798139 2 20 "GO:0000943" "retrotransposon nucleocapsid" 1
0 0.0520562956997794 1 24 "GO:0005576" "extracellular region" 0.668181818181818
0 0.0628565043923534 2 49 "GO:0005737" "cytoplasm" 0.695833333333333
0 0.602566510261532 3 43 "GO:0005739" "mitochondrion" 1
0 0.0870783964586663 2 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 0.771428571428571
0 0.563899042337269 3 10 "GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 1
0 0.168953564024348 4 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 1
0 0.777532693938283 4 25 "GO:0005773" "vacuole" 1
0 0.00422143054245539 3 30 "GO:0005774;GO:0044437" "vacuolar part" 0.7
0 0.0448237673681183 4 20 "GO:0005783" "endoplasmic reticulum" 0.705555555555555
0 0.714630252218357 2 30 "GO:0005829" "cytosol" 1
0 0.294246520247613 2 37 "GO:0005886" "plasma membrane" 1
0 0.160660769255365 3 29 "GO:0009536;GO:0009507" "plastid" 1
0 0.581199255545858 3 21 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 0.404637854689002 3 8 "GO:0017117;GO:0033202;GO:1904949" "single-stranded DNA-dependent ATP-dependent DNA helicase complex" 1
0 0.804273822010142 2 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.0420281309953182 1 75 "GO:0044425" "membrane part" 0.74375
0 0.17950040717797 3 30 "GO:0044427" "chromosomal part" 0.934210526315789
0 0.012838088996256 3 69 "GO:0044428" "nuclear part" 0.45
0 0.4478146904053 2 42 "GO:0044429" "mitochondrial part" 1
0 0.376458750983446 2 6 "GO:0044430" "cytoskeletal part" 1
0 0.13675276601079 2 21 "GO:0044432" "endoplasmic reticulum part" 1
0 0.0283553637367672 2 5 "GO:0044454" "nuclear chromosome part" 0.75
0 0.0708116245705754 2 8 "GO:0044459" "plasma membrane part" 0.707692307692308
0 0.0259776049901708 2 36 "GO:0098796" "membrane protein complex" 0.8875
0 0.190276562847955 2 33 "GO:0098805" "whole membrane" 0.905
0 0.196413261382667 5 6 "GO:0098852" "lytic vacuole membrane" 0.878571428571429
0 0.273797315540716 2 62 "GO:1902494" "catalytic complex" 1
0 0.0364166906400256 2 21 "GO:1990234" "transferase complex" 0.728571428571429
0 0.177028279480669 2 18 "GO:1990904" "ribonucleoprotein complex" 0.975
0 1 2 11 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 11 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 2 5 "GO:0000322" "storage vacuole" 1
0 1 5 7 "GO:0000323" "lytic vacuole" 1
0 1 3 14 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 1 2 8 "GO:0000775;GO:0098687" "chromosomal region" 1
0 1 2 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 1 3 8 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 1
0 1 2 5 "GO:0005654" "nucleoplasm" 1
0 1 2 11 "GO:0005730" "nucleolus" 1
0 1 3 14 "GO:0005789" "endoplasmic reticulum membrane" 1
0 1 3 12 "GO:0005794" "Golgi apparatus" 1
0 1 2 7 "GO:0005840" "ribosome" 1
0 1 4 20 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 1
0 1 3 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "chloroplast membrane" 1
0 1 2 27 "GO:0044434;GO:0044435" "chloroplast part" 1
0 1 2 5 "GO:0044451" "nucleoplasm part" 1
0 1 2 19 "GO:1905368" "peptidase complex" 1
