"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0604451831184684 2 11 "GO:0000151" "ubiquitin ligase complex" 1
0 0.544071427974277 2 11 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.98125
0 0.200327510920379 3 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0044455;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 1
0 0.0828024953240526 2 8 "GO:0000775;GO:0098687" "chromosomal region" 1
0 0.168058774085573 4 8 "GO:0000932;GO:0036464;GO:0035770" "ribonucleoprotein granule" 1
0 0.517250733703122 4 20 "GO:0000943" "retrotransposon nucleocapsid" 1
0 0.29914549114279 1 24 "GO:0005576" "extracellular region" 0.975
0 0.265997804221484 2 5 "GO:0005654" "nucleoplasm" 1
0 0.0869771869756742 2 49 "GO:0005737" "cytoplasm" 1
0 0.140055274456936 2 43 "GO:0005739" "mitochondrion" 1
0 0.198646582732893 2 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 1
0 0.128390553014411 3 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "intracellular vesicle" 1
0 0.272102514136369 2 25 "GO:0005773" "vacuole" 0.976086956521739
0 0.171633849736055 4 30 "GO:0005774;GO:0044437" "vacuolar part" 1
0 0.122090409920912 2 20 "GO:0005783" "endoplasmic reticulum" 1
0 0.0109919698553854 2 14 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.0638786774882018 2 30 "GO:0005829" "cytosol" 1
0 0.155784209567411 2 37 "GO:0005886" "plasma membrane" 1
0 0.215283743610505 4 20 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 1
0 0.262874904121347 2 29 "GO:0009536;GO:0009507" "plastid" 1
0 0.342494026074194 4 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "plastid membrane" 0.965384615384615
0 0.498127097387245 3 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.21657024625255 1 75 "GO:0044425" "membrane part" 1
0 0.33210955171861 3 30 "GO:0044427" "chromosomal part" 0.988
0 0.940209434620924 3 69 "GO:0044428" "nuclear part" 1
0 0.533741432435218 2 42 "GO:0044429" "mitochondrial part" 1
0 0.0383441091858031 2 6 "GO:0044430" "cytoskeletal part" 1
0 0.0265885008795839 3 21 "GO:0044432" "endoplasmic reticulum part" 1
0 0.200080943066779 4 27 "GO:0044434;GO:0044435" "chloroplast part" 1
0 0.570138143204476 2 36 "GO:0098796" "membrane protein complex" 0.974242424242424
0 0.371332391495062 2 33 "GO:0098805" "whole membrane" 0.97962962962963
0 0.479387930227491 2 62 "GO:1902494" "catalytic complex" 1
0 0.138775658802061 3 21 "GO:1990234" "transferase complex" 1
0 0.264225121286218 2 18 "GO:1990904" "ribonucleoprotein complex" 1
0 1 2 5 "GO:0000322" "storage vacuole" 1
0 1 3 7 "GO:0000323" "lytic vacuole" 1
0 1 4 7 "GO:0000347" "THO complex" 1
0 1 3 14 "GO:0000502;GO:1905369" "proteasome complex" 1
0 1 2 6 "GO:0000785" "chromatin" 1
0 1 2 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 1 4 11 "GO:0005730" "nucleolus" 1
0 1 4 10 "GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 1
0 1 4 12 "GO:0005794" "Golgi apparatus" 1
0 1 2 7 "GO:0005840" "ribosome" 1
0 1 3 21 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 1 3 8 "GO:0017117;GO:0033202;GO:1904949" "DNA helicase complex" 1
0 1 2 5 "GO:0044451" "nucleoplasm part" 1
0 1 4 5 "GO:0044454" "nuclear chromosome part" 1
0 1 2 8 "GO:0044459" "plasma membrane part" 1
0 1 2 6 "GO:0098852" "lytic vacuole membrane" 1
0 1 3 19 "GO:1905368" "peptidase complex" 1
