"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.302505950468586 2 11 "GO:0000151" "ubiquitin ligase complex" 1
0 0.0657621631453447 4 11 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.96875
0 0.304750129233936 4 5 "GO:0000322" "storage vacuole" 1
0 0.0547516401627865 5 7 "GO:0000323" "lytic vacuole" 0.978571428571429
0 0.29476741245917 2 7 "GO:0000347" "THO complex" 1
0 0.210562052168825 3 6 "GO:0000785" "chromatin" 1
0 0.584676192933635 3 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 0.936363636363636
0 0.711748939547148 1 24 "GO:0005576" "extracellular region" 0.9
0 0.276201085210448 2 11 "GO:0005730" "nucleolus" 1
0 0.302966348640696 3 49 "GO:0005737" "cytoplasm" 1
0 0.143622433771455 4 43 "GO:0005739" "mitochondrion" 1
0 0.0458205613956333 4 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "cytoplasmic vesicle" 1
0 0.0806704617460091 2 25 "GO:0005773" "vacuole" 1
0 0.530227257365572 2 30 "GO:0005774;GO:0044437" "vacuolar part" 1
0 0.164563259007597 3 20 "GO:0005783" "endoplasmic reticulum" 1
0 0.118651736176159 2 14 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.0834664381091165 2 12 "GO:0005794" "Golgi apparatus" 0.955
0 0.0532445781454968 2 30 "GO:0005829" "cytosol" 1
0 0.654621513705104 2 37 "GO:0005886" "plasma membrane" 0.935294117647059
0 0.0384768567723832 3 20 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 1
0 0.0355057905914098 2 29 "GO:0009536;GO:0009507" "plastid" 1
0 0.138828621512289 2 21 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 0.0105198007862204 3 8 "GO:0017117;GO:0033202;GO:1904949" "single-stranded DNA-dependent ATP-dependent DNA helicase complex" 1
0 0.403457671132705 2 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.293089244171226 1 75 "GO:0044425" "membrane part" 1
0 0.570160690974695 2 30 "GO:0044427" "chromosomal part" 0.988709677419355
0 0.563267986800476 2 69 "GO:0044428" "nuclear part" 1
0 0.36472187638197 2 42 "GO:0044429" "mitochondrial part" 0.994230769230769
0 0.204159737518072 2 21 "GO:0044432" "endoplasmic reticulum part" 1
0 0.335235421652883 3 27 "GO:0044434;GO:0044435" "chloroplast part" 0.992
0 0.181398886448771 2 5 "GO:0044454" "nuclear chromosome part" 1
0 0.674722054378628 2 36 "GO:0098796" "membrane protein complex" 0.912857142857143
0 0.574308911203755 2 33 "GO:0098805" "whole membrane" 0.9625
0 0.320054319296614 4 6 "GO:0098852" "lytic vacuole membrane" 1
0 0.0372562812086321 2 62 "GO:1902494" "catalytic complex" 1
0 0.431183760473674 2 21 "GO:1990234" "transferase complex" 1
0 1 3 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0044455;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 1
0 1 3 14 "GO:0000502;GO:1905369" "proteasome complex" 1
0 1 4 8 "GO:0000775;GO:0098687" "chromosomal region" 1
0 1 5 8 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 1
0 1 2 20 "GO:0000943" "retrotransposon nucleocapsid" 1
0 1 3 5 "GO:0005654" "nucleoplasm" 1
0 1 4 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 1
0 1 2 10 "GO:0005758;GO:0031970;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 1
0 1 3 7 "GO:0005840" "ribosome" 1
0 1 4 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "chloroplast membrane" 1
0 1 2 6 "GO:0044430" "cytoskeletal part" 1
0 1 2 5 "GO:0044451" "nucleoplasm part" 1
0 1 2 8 "GO:0044459" "plasma membrane part" 1
0 1 3 19 "GO:1905368" "peptidase complex" 1
0 1 2 18 "GO:1990904" "ribonucleoprotein complex" 1
