"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0449215275754249 3 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 0.785714285714286
0 0.0351716088923714 2 7 "GO:0000347" "THO complex" 0.92
0 0.67183387633391 3 14 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.526884365032029 2 20 "GO:0000943" "retrotransposon nucleocapsid" 1
0 0.0277524869077127 2 24 "GO:0005576" "extracellular region" 0.9
0 0.644632910323708 2 11 "GO:0005730" "nucleolus" 1
0 0.0555101348537366 2 49 "GO:0005737" "cytoplasm" 0.8375
0 0.431400437308289 2 43 "GO:0005739" "mitochondrion" 1
0 0.0611120617252289 5 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 0.811111111111111
0 0.50531566676336 4 9 "GO:0005758;GO:0031970;GO:0043233;GO:0070013;GO:0031974" "organelle lumen" 1
0 0.128452844101042 3 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "intracellular vesicle" 1
0 0.667499119456533 2 25 "GO:0005773" "vacuole" 1
0 0.0780090441243787 4 23 "GO:0005774" "vacuolar membrane" 0.9
0 0.0417384397381824 5 20 "GO:0005783" "endoplasmic reticulum" 0.891666666666667
0 0.321505137827078 2 30 "GO:0005829" "cytosol" 1
0 0.672419267085069 3 37 "GO:0005886" "plasma membrane" 1
0 0.123680300377661 5 29 "GO:0009536;GO:0009507" "plastid" 1
0 0.508518221116118 2 21 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 0.431133033819011 4 8 "GO:0017117;GO:0033202;GO:1904949" "DNA helicase complex" 1
0 0.845047056906279 4 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.0193881825199388 2 36 "GO:0098796" "membrane protein complex" 0.766666666666667
0 0.152388165372158 6 6 "GO:0098852" "lytic vacuole membrane" 0.992857142857143
0 0.575898548478112 2 15 "GO:0099080" "supramolecular complex" 1
0 0.00770463714429085 2 20 "GO:0140513" "nuclear protein-containing complex" 1
0 0.147200963458837 2 18 "GO:0140534" "endoplasmic reticulum protein-containing complex" 1
0 0.753979910809602 2 44 "GO:0140535" "intracellular protein-containing complex" 1
0 0.247591173287328 2 62 "GO:1902494" "catalytic complex" 1
0 0.756758594801861 2 19 "GO:1905368" "peptidase complex" 1
0 0.0168334873121533 2 21 "GO:1990234" "transferase complex" 1
0 1 3 11 "GO:0000151" "ubiquitin ligase complex" 1
0 1 3 11 "GO:0000159;GO:0008287;GO:1903293" "phosphatase complex" 1
0 1 6 5 "GO:0000322" "storage vacuole" 1
0 1 3 7 "GO:0000323" "lytic vacuole" 1
0 1 2 6 "GO:0000775;GO:0098687" "chromosome, centromeric region" 1
0 1 2 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 1 4 8 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 1
0 1 2 5 "GO:0005654" "nucleoplasm" 1
0 1 4 14 "GO:0005789" "endoplasmic reticulum membrane" 1
0 1 5 12 "GO:0005794" "Golgi apparatus" 1
0 1 2 7 "GO:0005840" "ribosome" 1
0 1 4 15 "GO:0009535;GO:0055035;GO:0042651;GO:0034357" "thylakoid membrane" 1
0 1 4 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "organelle outer membrane" 1
