"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0759963005201195 3 11 "GO:0000151" "ubiquitin ligase complex" 1
0 0.479238143084863 2 11 "GO:0000159;GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 0.371485406927591 2 19 "GO:0000275;GO:0045261;GO:0098800;GO:0033178;GO:0098798" "proton-transporting two-sector ATPase complex, catalytic domain" 1
0 0.896600974806311 4 14 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.109341573188053 2 6 "GO:0000775;GO:0098687" "chromosome, centromeric region" 0.875
0 0.0494031687007943 3 8 "GO:0000932;GO:0036464;GO:0035770" "cytoplasmic ribonucleoprotein granule" 1
0 0.000242300698013802 2 20 "GO:0000943" "retrotransposon nucleocapsid" 0
0 0.0604601582310071 2 24 "GO:0005576" "extracellular region" 1
0 0.22427159448426 2 5 "GO:0005654" "nucleoplasm" 0.9825
0 0.195622669649625 2 11 "GO:0005730" "nucleolus" 0.963157894736842
0 0.356757718918322 2 49 "GO:0005737" "cytoplasm" 1
0 0.0948508461666756 5 43 "GO:0005739" "mitochondrion" 0.916666666666667
0 0.104084498407745 5 20 "GO:0005743;GO:0019866;GO:0031966" "organelle inner membrane" 0.915384615384615
0 0.241624378604007 4 14 "GO:0005768;GO:0031410;GO:0097708;GO:0031982" "intracellular vesicle" 0.971428571428571
0 0.401955551401614 5 25 "GO:0005773" "vacuole" 1
0 0.0879776754867654 2 23 "GO:0005774" "vacuolar membrane" 0.963636363636364
0 0.188330367539704 2 20 "GO:0005783" "endoplasmic reticulum" 0.994444444444444
0 0.0603473743034346 4 14 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.0770345581381992 2 30 "GO:0005829" "cytosol" 0.97
0 0.0222569562320642 3 37 "GO:0005886" "plasma membrane" 0.65
0 0.0105611008835209 3 15 "GO:0009535;GO:0055035;GO:0042651;GO:0034357" "photosynthetic membrane" 0.466666666666667
0 0.0139907444842095 5 29 "GO:0009536;GO:0009507" "plastid" 0.4875
0 0.174484798776172 4 9 "GO:0009707;GO:0009527;GO:0031969;GO:0031968;GO:0042170;GO:0019867" "plastid membrane" 1
0 0.318751899420217 3 21 "GO:0016021;GO:0031224" "integral component of membrane" 1
0 0.163369687551748 2 37 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 1
0 0.29084666849694 2 36 "GO:0098796" "membrane protein complex" 1
0 0.648650462579464 3 6 "GO:0098852" "lytic vacuole membrane" 1
0 0.000812706814608813 2 15 "GO:0099080" "supramolecular complex" 0.05
0 0.389873924444657 2 18 "GO:0140534" "endoplasmic reticulum protein-containing complex" 1
0 0.486956076857672 2 44 "GO:0140535" "intracellular protein-containing complex" 1
0 0.496340940966939 2 62 "GO:1902494" "catalytic complex" 1
0 0.92899268889162 3 19 "GO:1905368" "peptidase complex" 1
0 0.109692004970521 2 21 "GO:1990234" "transferase complex" 0.816666666666667
0 1 2 5 "GO:0000322" "storage vacuole" 1
0 1 2 7 "GO:0000323" "lytic vacuole" 1
0 1 3 7 "GO:0000347" "THO complex" 1
0 1 2 13 "GO:0000786;GO:0032993;GO:0044815" "protein-DNA complex" 1
0 1 5 9 "GO:0005758;GO:0031970;GO:0043233;GO:0070013;GO:0031974" "organelle lumen" 1
0 1 5 12 "GO:0005794" "Golgi apparatus" 1
0 1 5 7 "GO:0005840" "ribosome" 1
0 1 4 8 "GO:0017117;GO:0033202;GO:1904949" "single-stranded DNA-dependent ATP-dependent DNA helicase complex" 1
0 1 2 20 "GO:0140513" "nuclear protein-containing complex" 1
