"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.231698435070149 4 8 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.848438989058808 2 94 "GO:0000139" "Golgi membrane" 1
0 0.118693684827794 2 14 "GO:0000275;GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)" 0.971774193548387
0 0.200423664021886 2 5 "GO:0000322" "storage vacuole" 1
0 0.187738014274935 2 6 "GO:0000325" "plant-type vacuole" 1
0 0.207124915171257 2 21 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.116064641912882 2 14 "GO:0000786;GO:0044815" "nucleosome" 0.974590163934426
0 0.5834161473587 2 20 "GO:0000943" "retrotransposon nucleocapsid" 1
0 0.586038507109496 2 91 "GO:0005576" "extracellular region" 1
0 0.128708130116672 2 21 "GO:0005615" "extracellular space" 0.957575757575758
0 0.549999027669052 3 41 "GO:0005618;GO:0030312" "cell wall" 1
0 0.0398433475903104 -1 9 "GO:0005623" "obsolete cell" 0.803030303030303
0 0.168490407870871 2 105 "GO:0005654" "nucleoplasm" 1
0 0.126838752789714 3 63 "GO:0005681" "spliceosomal complex" 0.960769230769231
0 0.0737595219095172 2 33 "GO:0005684;GO:0071011" "U2-type spliceosomal complex" 0.869
0 0.029931253746313 2 13 "GO:0005686" "U2 snRNP" 0.778
0 0.493473589269932 5 123 "GO:0005730" "nucleolus" 1
0 0.0219221769333467 3 246 "GO:0005739" "mitochondrion" 0.785
0 0.665866792518455 2 25 "GO:0005758;GO:0031970" "mitochondrial intermembrane space" 1
0 0.505025279557193 2 65 "GO:0005759" "mitochondrial matrix" 1
0 0.0973522499680793 2 43 "GO:0005764;GO:0000323" "lytic vacuole" 0.979090909090909
0 0.361945596391034 2 72 "GO:0005768" "endosome" 1
0 0.218540244483444 2 18 "GO:0005769" "early endosome" 1
0 0.181421684011483 3 117 "GO:0005773" "vacuole" 1
0 0.546299378944579 2 103 "GO:0005774" "vacuolar membrane" 1
0 0.0213619546872869 2 125 "GO:0005783" "endoplasmic reticulum" 0.852777777777778
0 0.00670226051467808 2 29 "GO:0005788" "endoplasmic reticulum lumen" 0.758333333333333
0 0.0571491994930477 2 110 "GO:0005789" "endoplasmic reticulum membrane" 0.796666666666667
0 0.0376289992590958 4 6 "GO:0005791" "rough endoplasmic reticulum" 0.843333333333333
0 0.0128817691040813 5 5 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.916666666666667
0 0.148828129690984 3 136 "GO:0005794" "Golgi apparatus" 0.997101449275362
0 0.619173952457931 4 25 "GO:0005811" "lipid droplet" 1
0 0.699944313206018 2 30 "GO:0005815" "microtubule organizing center" 1
0 0.294104890753446 2 8 "GO:0005816" "spindle pole body" 1
0 0.0411771245202059 2 19 "GO:0005819" "spindle" 0.781428571428571
0 0.00915511034495966 3 10 "GO:0005832;GO:0101031" "chaperone complex" 0.842857142857143
0 0.063420165023786 5 143 "GO:0005840" "ribosome" 0.808333333333333
0 0.00234563808104069 3 8 "GO:0005844" "polysome" 0.483333333333333
0 0.686880151361825 2 79 "GO:0005856" "cytoskeleton" 1
0 0.0780602597658738 2 5 "GO:0005871" "kinesin complex" 0.873076923076923
0 0.10435268651005 2 7 "GO:0005875" "microtubule associated complex" 0.981578947368421
0 0.337012913029413 2 9 "GO:0005929" "cilium" 1
0 0.170100755446366 3 29 "GO:0005938" "cell cortex" 1
0 0.248614762260203 2 7 "GO:0008180" "COP9 signalosome" 1
0 0.043907672573655 2 11 "GO:0008540" "proteasome regulatory particle, base subcomplex" 0.774324324324324
0 0.123464149073523 2 7 "GO:0009295" "nucleoid" 0.965625
0 0.23911139372292 2 8 "GO:0009505" "plant-type cell wall" 1
0 0.255384172888075 4 107 "GO:0009506;GO:0005911;GO:0070161" "anchoring junction" 1
0 0.943161122742284 4 220 "GO:0009507;GO:0009536" "plastid" 1
0 0.785970973178452 2 65 "GO:0009535;GO:0055035;GO:0042651;GO:0034357" "thylakoid membrane" 1
0 0.625387272787717 2 28 "GO:0009579" "thylakoid" 1
0 0.0262972251565093 4 10 "GO:0009898" "cytoplasmic side of plasma membrane" 0.811363636363636
0 0.0322752376673829 2 16 "GO:0009986" "cell surface" 0.796296296296296
0 0.0475727237585838 2 15 "GO:0010494" "cytoplasmic stress granule" 0.785897435897436
0 0.259405049755556 3 23 "GO:0015629" "actin cytoskeleton" 1
0 0.0988813100446536 3 16 "GO:0016323" "basolateral plasma membrane" 0.967857142857143
0 0.0411771245202059 3 19 "GO:0016324" "apical plasma membrane" 0.781428571428571
0 0.0216408191342688 2 7 "GO:0016363" "nuclear matrix" 0.818421052631579
0 0.253521217705024 2 16 "GO:0016459" "myosin complex" 1
0 0.13287403750048 3 15 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.947794117647059
0 0.0566093559634884 2 45 "GO:0016604" "nuclear body" 0.810227272727273
0 0.0474828622545528 3 28 "GO:0016607" "nuclear speck" 0.803947368421053
0 0.104998155759913 2 11 "GO:0017101" "aminoacyl-tRNA synthetase multienzyme complex" 0.969827586206897
0 0.223997442030158 3 83 "GO:0019866;GO:0005743" "organelle inner membrane" 1
0 0.0228717379545148 2 5 "GO:0022624" "proteasome accessory complex" 0.764285714285714
0 5.7857220624231e-06 2 114 "GO:0022625;GO:0015934" "large ribosomal subunit" 0
0 0.363263943636707 2 48 "GO:0022626" "cytosolic ribosome" 1
0 0.0144658217497558 2 64 "GO:0022627;GO:0015935" "small ribosomal subunit" 0.895454545454545
0 0.344324277290647 3 10 "GO:0030027" "lamellipodium" 1
0 0.122501667065598 2 140 "GO:0030054" "cell junction" 0.975396825396825
0 0.0498929369890498 4 27 "GO:0030120;GO:0030117" "vesicle coat" 0.776829268292683
0 0.0282906838812769 4 11 "GO:0030130;GO:0030125;GO:0030118" "clathrin coat" 0.826086956521739
0 0.0369229280582514 2 16 "GO:0030136;GO:0030135" "coated vesicle" 0.858620689655172
0 0.212649539673023 5 22 "GO:0030176;GO:0031227" "integral component of endoplasmic reticulum membrane" 1
0 0.248614762260203 2 7 "GO:0030426" "growth cone" 1
0 0.484735002701203 2 17 "GO:0030427" "site of polarized growth" 1
0 0.111887346885889 2 7 "GO:0030479;GO:0061645" "actin cortical patch" 0.975
0 0.0498916286072904 2 8 "GO:0031012" "extracellular matrix" 0.79625
0 0.226241897361241 4 6 "GO:0031143" "pseudopodium" 1
0 0.437464883869938 3 13 "GO:0031225" "anchored component of membrane" 1
0 0.587985849905265 3 42 "GO:0031226;GO:0005887" "intrinsic component of plasma membrane" 1
0 0.481114537251428 4 43 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 1
0 0.523015748534711 3 172 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 1
0 0.205189652275663 3 5 "GO:0031514" "motile cilium" 1
0 0.10807114434577 3 17 "GO:0031965" "nuclear membrane" 0.966101694915254
0 0.0745749700365577 3 100 "GO:0031966" "mitochondrial membrane" 0.861764705882353
0 0.132812510002134 4 9 "GO:0032009" "early phagosome" 0.961940298507463
0 0.443667696272519 2 13 "GO:0032592;GO:0098573;GO:0031305;GO:0031304" "integral component of mitochondrial membrane" 1
0 0.202513501960021 2 20 "GO:0032993" "protein-DNA complex" 1
0 0.234996890827056 3 6 "GO:0033177;GO:0033179" "proton-transporting two-sector ATPase complex, proton-transporting domain" 1
0 0.0198924472530236 3 31 "GO:0035770;GO:0036464" "ribonucleoprotein granule" 0.8875
0 0.0596438312756011 5 16 "GO:0042470;GO:0048770" "melanosome" 0.809782608695652
0 0.360694185707224 2 29 "GO:0042788" "polysomal ribosome" 1
0 0.566009029456028 2 22 "GO:0043025;GO:0044297" "cell body" 1
0 0.284714848846848 3 123 "GO:0043233;GO:0070013;GO:0031974" "organelle lumen" 1
0 4.27484069428049e-07 3 177 "GO:0044391" "ribosomal subunit" 0
0 0.0694691778494889 2 30 "GO:0045202" "synapse" 0.851020408163265
0 0.0348635262754829 2 9 "GO:0045239" "tricarboxylic acid cycle enzyme complex" 0.839285714285714
0 0.0109711720511987 3 5 "GO:0045240" "dihydrolipoyl dehydrogenase complex" 0.8625
0 0.0542328465193978 4 39 "GO:0045261;GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.802325581395349
0 0.0309867105105789 3 30 "GO:0045335;GO:0030139" "endocytic vesicle" 0.784615384615385
0 0.269338601644435 2 7 "GO:0046658" "anchored component of plasma membrane" 1
0 0.0147377191721565 2 37 "GO:0048471" "perinuclear region of cytoplasm" 0.761538461538462
0 0.343958133194574 2 21 "GO:0070469" "respirasome" 1
