"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.000661077933800117 2 16 "GO:0000049" "tRNA binding" 0.15
0 0.109044989196183 2 5 "GO:0000104" "succinate dehydrogenase activity" 0.823333333333333
0 0.302501039382154 3 8 "GO:0000149" "SNARE binding" 1
0 0.197743652301084 2 25 "GO:0000287" "magnesium ion binding" 1
0 0.656487937413618 3 93 "GO:0003677" "DNA binding" 1
0 0.658313688897929 2 26 "GO:0003729" "mRNA binding" 1
0 4.95686344928322e-06 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 0
0 0.0692008578758625 5 9 "GO:0003743" "translation initiation factor activity" 0.758333333333333
0 0.00100636343759193 3 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.1375
0 0.0268085653812696 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.679166666666667
0 0.110534145465873 2 20 "GO:0003774" "motor activity" 0.8
0 0.106074951266939 2 6 "GO:0003777" "microtubule motor activity" 0.844827586206897
0 0.209642116813119 4 19 "GO:0003779;GO:0008092" "actin binding" 1
0 0.00997562040182977 4 5 "GO:0003841;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.64
0 0.0690431454249567 5 63 "GO:0003924" "GTPase activity" 0.789130434782609
0 0.153264336102223 2 5 "GO:0003993" "acid phosphatase activity" 0.95
0 0.522041533294647 3 66 "GO:0004175" "endopeptidase activity" 1
0 0.0254729633983238 2 9 "GO:0004177" "aminopeptidase activity" 0.76
0 0.281380353534861 2 8 "GO:0004180" "carboxypeptidase activity" 1
0 0.162379969569247 3 21 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.954545454545455
0 0.0533456110362366 2 11 "GO:0004601;GO:0016684" "peroxidase activity" 0.792105263157895
0 0.228846300024174 3 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.227091104454927 4 97 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.0893330600213483 4 14 "GO:0005096;GO:0008047;GO:0030695" "GTPase regulator activity" 0.767857142857143
0 0.930866067312419 1 76 "GO:0005215;GO:0022857" "transporter activity" 1
0 0.0512523227359472 5 21 "GO:0005509" "calcium ion binding" 0.861764705882353
0 0.361556433770819 2 46 "GO:0005515" "protein binding" 1
0 0.0131118154279343 2 6 "GO:0008168" "methyltransferase activity" 0.658333333333333
0 0.435148306920074 3 15 "GO:0008234" "cysteine-type peptidase activity" 1
0 0.432413990983559 4 14 "GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.0848246759284169 3 18 "GO:0008238" "exopeptidase activity" 0.801923076923077
0 0.272256258138013 2 7 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 1
0 0.654619831483951 4 24 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 0.897695749007434 3 58 "GO:0015318;GO:0015075" "inorganic molecular entity transmembrane transporter activity" 1
0 0.0871012801642997 1 23 "GO:0016209" "antioxidant activity" 0.787037037037037
0 0.0133504648557575 4 7 "GO:0016411;GO:0008374" "acylglycerol O-acyltransferase activity" 0.578571428571429
0 0.0428339373532586 2 127 "GO:0016491" "oxidoreductase activity" 0.78125
0 0.0527532895139214 2 16 "GO:0016620;GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors" 0.825
0 0.179489626661335 2 9 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.994117647058823
0 0.287945277315889 2 13 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 1
0 0.037838599818425 3 8 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.888461538461539
0 0.0243679260059008 2 13 "GO:0016741" "transferase activity, transferring one-carbon groups" 0.90625
0 0.0403922560303592 2 41 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 0.793333333333333
0 0.638124779854748 3 45 "GO:0016788" "hydrolase activity, acting on ester bonds" 1
0 0.558447237848555 5 31 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 1
0 0.054429372168407 2 37 "GO:0016853" "isomerase activity" 0.7625
0 0.037859695372243 2 18 "GO:0016860" "intramolecular oxidoreductase activity" 0.825
0 0.0781970254664114 4 103 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.786
0 0.761081104235897 3 33 "GO:0022804" "active transmembrane transporter activity" 1
0 0.707660296803939 3 28 "GO:0022890;GO:0046873;GO:0008324" "cation transmembrane transporter activity" 1
0 0.0644185091486548 2 26 "GO:0030234;GO:0098772" "molecular function regulator" 0.816666666666667
0 0.0689533404325076 4 81 "GO:0046872;GO:0043169" "metal ion binding" 0.825
0 0.0252963779392811 2 5 "GO:0051213" "dioxygenase activity" 0.833333333333333
0 0.0262920257834999 3 18 "GO:0060589" "nucleoside-triphosphatase regulator activity" 0.727272727272727
0 0.000963766795694453 4 6 "GO:0060590" "ATPase regulator activity" 0.15
0 0.368887723014855 2 102 "GO:0070011;GO:0008233" "peptidase activity" 1
0 1 6 5 "GO:0000977;GO:0000976;GO:0001012;GO:0044212;GO:1990837;GO:0001067;GO:0043565" "sequence-specific double-stranded DNA binding" 1
0 1 2 9 "GO:0003690" "double-stranded DNA binding" 1
0 1 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 1 3 17 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 1 3 5 "GO:0003964;GO:0034061" "RNA-directed DNA polymerase activity" 1
0 1 2 5 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 1
0 1 5 9 "GO:0004089" "carbonate dehydratase activity" 1
0 1 3 8 "GO:0004176" "ATP-dependent peptidase activity" 1
0 1 4 7 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 1 3 11 "GO:0004222;GO:0008237" "metallopeptidase activity" 1
0 1 2 10 "GO:0004252" "serine-type endopeptidase activity" 1
0 1 2 8 "GO:0004316;GO:0004312" "fatty acid synthase activity" 1
0 1 4 6 "GO:0004364" "glutathione transferase activity" 1
0 1 4 7 "GO:0004372;GO:0016742" "hydroxymethyl-, formyl- and related transferase activity" 1
0 1 2 6 "GO:0004497" "monooxygenase activity" 1
0 1 4 7 "GO:0004518" "nuclease activity" 1
0 1 2 8 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 1 2 14 "GO:0004683" "calmodulin-dependent protein kinase activity" 1
0 1 4 5 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 1
0 1 2 23 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 1 3 15 "GO:0004722" "protein serine/threonine phosphatase activity" 1
0 1 3 5 "GO:0004758;GO:0016454;GO:0016409" "palmitoyltransferase activity" 1
0 1 2 7 "GO:0004784;GO:0016721" "superoxide dismutase activity" 1
0 1 4 9 "GO:0004812;GO:0016875;GO:0140101" "catalytic activity, acting on a tRNA" 1
0 1 2 15 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 1
0 1 4 7 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "thiol-dependent ubiquitinyl hydrolase activity" 1
0 1 3 6 "GO:0004857" "enzyme inhibitor activity" 1
0 1 2 7 "GO:0004888;GO:0038023" "transmembrane signaling receptor activity" 1
0 1 2 5 "GO:0005102" "signaling receptor binding" 1
0 1 5 10 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "substrate-specific channel activity" 1
0 1 3 7 "GO:0005261" "cation channel activity" 1
0 1 4 9 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 1
0 1 2 10 "GO:0005319" "lipid transporter activity" 1
0 1 3 10 "GO:0005347;GO:0000295;GO:0005346;GO:0015216;GO:0015215;GO:0015605" "purine nucleotide transmembrane transporter activity" 1
0 1 5 5 "GO:0005385;GO:0072509" "zinc ion transmembrane transporter activity" 1
0 1 11 11 "GO:0005388;GO:0015085;GO:0015662;GO:0019829;GO:0042625;GO:0022853;GO:0042626;GO:0015405;GO:0043492;GO:0015399" "calcium ion transmembrane transporter activity" 1
0 1 2 7 "GO:0005452;GO:0015103" "inorganic anion exchanger activity" 1
0 1 4 5 "GO:0005471;GO:0015217;GO:0015301;GO:0099516;GO:0015297" "anion:anion antiporter activity" 1
0 1 2 10 "GO:0005506" "iron ion binding" 1
0 1 2 13 "GO:0005507" "copper ion binding" 1
0 1 5 15 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "guanyl ribonucleotide binding" 1
0 1 4 5 "GO:0008194" "UDP-glycosyltransferase activity" 1
0 1 2 7 "GO:0008270" "zinc ion binding" 1
0 1 2 5 "GO:0008289" "lipid binding" 1
0 1 3 14 "GO:0008483;GO:0016769" "transferase activity, transferring nitrogenous groups" 1
0 1 4 19 "GO:0008509" "anion transmembrane transporter activity" 1
0 1 2 10 "GO:0009055" "electron transfer activity" 1
0 1 2 6 "GO:0015036;GO:0016668;GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor" 1
0 1 3 13 "GO:0015238;GO:0008514" "drug transmembrane transporter activity" 1
0 1 3 13 "GO:0015932;GO:1901505" "nucleobase-containing compound transmembrane transporter activity" 1
0 1 2 19 "GO:0016405;GO:0016878;GO:0016877;GO:0003996" "ligase activity, forming carbon-sulfur bonds" 1
0 1 2 10 "GO:0016407" "acetyltransferase activity" 1
0 1 5 10 "GO:0016408" "C-acyltransferase activity" 1
0 1 3 6 "GO:0016417;GO:0004742;GO:0016418;GO:0030523" "S-acyltransferase activity" 1
0 1 2 12 "GO:0016421;GO:0016885;GO:0003989" "CoA carboxylase activity" 1
0 1 4 31 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 1
0 1 2 6 "GO:0016645;GO:0016646" "oxidoreductase activity, acting on the CH-NH group of donors" 1
0 1 2 17 "GO:0016757" "transferase activity, transferring glycosyl groups" 1
0 1 3 9 "GO:0016758" "transferase activity, transferring hexosyl groups" 1
0 1 3 6 "GO:0016763" "transferase activity, transferring pentosyl groups" 1
0 1 2 19 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 1
0 1 2 5 "GO:0016774" "phosphotransferase activity, carboxyl group as acceptor" 1
0 1 2 9 "GO:0016776" "phosphotransferase activity, phosphate group as acceptor" 1
0 1 2 7 "GO:0016779" "nucleotidyltransferase activity" 1
0 1 3 13 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 1
0 1 4 7 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 1
0 1 2 26 "GO:0016829" "lyase activity" 1
0 1 2 13 "GO:0016836;GO:0016835" "carbon-oxygen lyase activity" 1
0 1 3 5 "GO:0016840" "carbon-nitrogen lyase activity" 1
0 1 2 7 "GO:0016861" "intramolecular oxidoreductase activity, interconverting aldoses and ketoses" 1
0 1 2 49 "GO:0016874" "ligase activity" 1
0 1 3 11 "GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 1
0 1 2 5 "GO:0016884" "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" 1
0 1 5 6 "GO:0019200" "carbohydrate kinase activity" 1
0 1 2 11 "GO:0019205" "nucleobase-containing compound kinase activity" 1
0 1 2 7 "GO:0022839;GO:0022836" "ion gated channel activity" 1
0 1 2 5 "GO:0033218" "amide binding" 1
0 1 5 17 "GO:0042623;GO:0016887" "ATPase activity" 1
0 1 2 6 "GO:0046912" "transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer" 1
0 1 5 30 "GO:0046914" "transition metal ion binding" 1
0 1 2 7 "GO:0046915" "transition metal ion transmembrane transporter activity" 1
0 1 2 5 "GO:0048037" "cofactor binding" 1
0 1 3 5 "GO:0050145" "nucleoside monophosphate kinase activity" 1
0 1 1 16 "GO:0060089" "molecular transducer activity" 1
0 1 2 7 "GO:0140097" "catalytic activity, acting on DNA" 1
0 1 2 13 "GO:0140098" "catalytic activity, acting on RNA" 1
