"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0314545433421521 2 16 "GO:0000049" "tRNA binding" 0.814285714285714
0 0.555144743435328 3 8 "GO:0000149" "SNARE binding" 1
0 0.0433138170317225 2 25 "GO:0000287" "magnesium ion binding" 0.844736842105263
0 0.00534134810571743 3 93 "GO:0003677" "DNA binding" 0.733333333333333
0 0.00892246273211095 4 9 "GO:0003690" "double-stranded DNA binding" 0.4375
0 0.0954893905847605 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 0.933333333333333
0 0.235317807039787 2 26 "GO:0003729" "mRNA binding" 1
0 0.963742918965912 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 1
0 0.0596089106157214 3 9 "GO:0003743" "translation initiation factor activity" 0.778571428571429
0 0.628337606209718 5 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 1
0 0.718624739214224 2 17 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 0.320584074432889 7 20 "GO:0003774" "motor activity" 1
0 0.0640407423306611 2 6 "GO:0003777" "microtubule motor activity" 0.8
0 0.339864054783817 3 19 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 1
0 0.177533532686265 4 5 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 1
0 0.458556633422764 7 63 "GO:0003924" "GTPase activity" 1
0 0.239712805979875 3 5 "GO:0003964;GO:0034061" "DNA polymerase activity" 1
0 0.322530566166434 2 5 "GO:0003993" "acid phosphatase activity" 1
0 0.318151621822184 4 66 "GO:0004175" "endopeptidase activity" 1
0 0.337210906325787 6 8 "GO:0004176" "ATP-dependent peptidase activity" 1
0 0.0464959584040949 4 21 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.830952380952381
0 0.50630423233844 6 7 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.187271212026921 5 11 "GO:0004222;GO:0008237" "metalloendopeptidase activity" 1
0 0.111045923767286 3 6 "GO:0004364" "glutathione transferase activity" 0.916216216216216
0 0.0161276823314723 5 7 "GO:0004372;GO:0016742" "glycine hydroxymethyltransferase activity" 0.633333333333333
0 0.00243584410697165 2 6 "GO:0004497" "monooxygenase activity" 0.4
0 0.112257283005315 2 8 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.898684210526316
0 0.0164746734407729 2 11 "GO:0004601;GO:0016684" "peroxidase activity" 0.585
0 0.140115234516238 2 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.913953488372093
