"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.217211487568064 3 16 "GO:0000049" "tRNA binding" 1
0 0.301733335375869 2 25 "GO:0000287" "magnesium ion binding" 1
0 0.0661963066778683 2 93 "GO:0003677" "DNA binding" 1
0 0.211552618482846 3 9 "GO:0003690" "double-stranded DNA binding" 1
0 0.00499714715437022 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 0.3625
0 0.149818520227838 3 26 "GO:0003729" "mRNA binding" 1
0 0.446066887859818 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 1
0 0.376085805136957 4 9 "GO:0003743" "translation initiation factor activity" 1
0 0.864090023587865 4 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 1
0 0.935870998989003 3 63 "GO:0003924" "GTPase activity" 1
0 0.102797474744272 2 66 "GO:0004175" "endopeptidase activity" 1
0 0.0439705771801855 2 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.846875
0 0.169412640516883 2 11 "GO:0004222;GO:0008237" "metalloendopeptidase activity" 1
0 0.0330232567123756 3 8 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.854166666666667
0 0.138392695702249 3 11 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 1
0 0.601347935831785 2 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.210926770704321 3 97 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.0698787835889536 3 5 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.9925
0 0.0379563565583229 4 23 "GO:0004721" "phosphoprotein phosphatase activity" 0.810714285714286
0 0.0963282554678058 2 15 "GO:0004722" "protein serine/threonine phosphatase activity" 1
0 0.00792726799587954 2 15 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.4
0 0.042604466742991 5 7 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.863333333333333
0 0.231721058796813 2 7 "GO:0004888;GO:0038023" "transmembrane signaling receptor activity" 1
0 0.000505472599517258 2 14 "GO:0005096;GO:0008047;GO:0030695" "GTPase regulator activity" 0.15
0 0.0940656745475067 1 76 "GO:0005215;GO:0022857" "transporter activity" 1
0 0.305777811791664 4 10 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "channel activity" 1
0 0.104027360913338 3 13 "GO:0005507" "copper ion binding" 0.983333333333333
0 0.0479213657991808 4 15 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "ribonucleoside binding" 0.852941176470588
0 0.0742698181377262 2 15 "GO:0008234" "cysteine-type peptidase activity" 0.938636363636364
0 0.309669424981956 3 14 "GO:0008483;GO:0016769" "transaminase activity" 1
0 0.0840206521263888 2 13 "GO:0015238;GO:0008514" "drug transmembrane transporter activity" 0.971739130434783
0 0.669925055059857 3 58 "GO:0015318;GO:0015075" "inorganic molecular entity transmembrane transporter activity" 1
0 0.216298865086988 1 23 "GO:0016209" "antioxidant activity" 1
0 0.431054186886544 4 19 "GO:0016405;GO:0016878;GO:0016877;GO:0003996" "ligase activity, forming carbon-sulfur bonds" 1
0 0.40076021599615 2 10 "GO:0016408" "C-acyltransferase activity" 1
0 0.0287087990565433 2 7 "GO:0016411;GO:0008374" "acylglycerol O-acyltransferase activity" 0.781818181818182
0 0.171634860223801 3 12 "GO:0016421;GO:0016885;GO:0003989" "ligase activity, forming carbon-carbon bonds" 1
0 0.341133183566711 2 127 "GO:0016491" "oxidoreductase activity" 1
0 0.186312959514512 3 8 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 1
0 0.329617376087533 4 41 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 1
0 0.00362240746514212 3 17 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.366666666666667
0 0.0375704687113467 2 9 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.865384615384615
0 0.0111592602491735 2 6 "GO:0016763" "transferase activity, transferring pentosyl groups" 0.34375
0 0.226717967274281 2 19 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 1
0 0.0700220941945332 3 45 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.947619047619048
0 0.0263891491189355 2 31 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.77
0 0.00831690353133892 3 13 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.35
0 0.0168761038768163 2 7 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 0.483333333333333
0 0.182250700321589 2 26 "GO:0016829" "lyase activity" 1
0 0.37372144208785 2 49 "GO:0016874" "ligase activity" 1
0 0.956499102615268 3 103 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides" 1
0 0.231721058796813 3 7 "GO:0022836;GO:0022839" "ion gated channel activity" 1
0 0.00972664945661874 2 26 "GO:0030234;GO:0098772" "molecular function regulator" 0.35
0 0.461584078183855 3 81 "GO:0046872;GO:0043169" "metal ion binding" 1
0 0.325191626696573 2 30 "GO:0046914" "transition metal ion binding" 1
0 0.106284063925235 1 16 "GO:0060089" "molecular transducer activity" 0.964285714285714
0 0.00180870023585736 3 18 "GO:0060589" "nucleoside-triphosphatase regulator activity" 0.35
