"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0417879460188752 5 25 "GO:0000287" "magnesium ion binding" 0.922222222222222
0 0.030411777953584 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 0.95
0 0.00270898215933406 2 26 "GO:0003729" "mRNA binding" 0.3
0 0.0651642373755128 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 0.907692307692308
0 0.205191899405892 5 66 "GO:0004175" "endopeptidase activity" 0.982692307692308
0 0.150838914874339 5 21 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.891666666666667
0 0.0531451834546408 1 76 "GO:0005215;GO:0022857" "transporter activity" 0.866666666666667
0 0.00926056055905531 2 11 "GO:0005388;GO:0015085;GO:0015662;GO:0019829;GO:0042625;GO:0022853;GO:0042626;GO:0015405;GO:0043492;GO:0015399" "calcium ion transmembrane transporter activity" 0.75
0 0.0897024298324375 4 7 "GO:0005452;GO:0015103" "inorganic anion transmembrane transporter activity" 0.885294117647059
0 0.0295014647168233 3 19 "GO:0008509" "anion transmembrane transporter activity" 1
0 0.133401517196994 2 13 "GO:0015238;GO:0008514" "drug transmembrane transporter activity" 0.95
0 0.271893244030366 2 24 "GO:0015291" "secondary active transmembrane transporter activity" 0.96551724137931
0 0.0279204580231918 2 58 "GO:0015318;GO:0015075" "inorganic molecular entity transmembrane transporter activity" 1
0 0.0730948955507592 4 19 "GO:0016405;GO:0016878;GO:0016877;GO:0003996" "ligase activity, forming carbon-sulfur bonds" 0.876666666666667
0 0.134295948882208 5 10 "GO:0016407" "acetyltransferase activity" 0.873913043478261
0 0.0829865156597326 5 6 "GO:0016417;GO:0004742;GO:0016418;GO:0030523" "S-acyltransferase activity" 0.9
0 0.133185277078699 4 12 "GO:0016421;GO:0016885;GO:0003989" "CoA carboxylase activity" 0.995
0 0.178039812916043 2 127 "GO:0016491" "oxidoreductase activity" 0.956
0 0.0706636459700393 4 31 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.925
0 0.133670030464301 2 16 "GO:0016620;GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors" 0.911363636363636
0 0.441942713204785 3 41 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 1
0 0.208102216909026 2 37 "GO:0016853" "isomerase activity" 0.951851851851852
0 0.115774513463286 2 18 "GO:0016860" "intramolecular oxidoreductase activity" 0.928947368421053
0 0.0487854770863043 3 7 "GO:0016861" "intramolecular oxidoreductase activity, interconverting aldoses and ketoses" 0.863636363636364
0 0.092260951967233 2 49 "GO:0016874" "ligase activity" 0.85
0 0.0473252075560523 6 103 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.935
0 0.0308985018410375 2 33 "GO:0022804" "active transmembrane transporter activity" 0.85625
0 0.0149602012778104 3 28 "GO:0022890;GO:0046873;GO:0008324" "cation transmembrane transporter activity" 0.8
0 0.0137007142073999 2 17 "GO:0042623;GO:0016887" "ATPase activity, coupled" 0.95
0 0.271100318114752 4 81 "GO:0046872;GO:0043169" "metal ion binding" 0.998214285714286
0 0.358643854802847 4 102 "GO:0070011;GO:0008233" "peptidase activity" 1
0 1 5 16 "GO:0000049" "tRNA binding" 1
0 1 4 5 "GO:0000104" "succinate dehydrogenase activity" 1
0 1 3 8 "GO:0000149" "SNARE binding" 1
