"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.598855119576551 3 16 "GO:0000049" "tRNA binding" 0.985625
0 0.0341217327557898 4 5 "GO:0000104" "succinate dehydrogenase activity" 0.767647058823529
0 0.017767194124893 2 25 "GO:0000287" "magnesium ion binding" 0.5875
0 0.166023200830734 6 5 "GO:0000977;GO:0000976;GO:0001012;GO:0044212;GO:1990837;GO:0001067;GO:0043565" "sequence-specific double-stranded DNA binding" 0.855208333333333
0 0.446282874363791 2 93 "GO:0003677" "DNA binding" 0.990972222222222
0 0.264080809781705 3 9 "GO:0003690" "double-stranded DNA binding" 0.909166666666667
0 0.45277070206187 2 26 "GO:0003729" "mRNA binding" 0.983561643835616
0 0.70063157105651 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 0.98433734939759
0 0.0585029814090556 4 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.713793103448276
0 0.165235125871625 3 17 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.870212765957447
0 0.00178196856223285 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.4
0 0.0750075610748215 2 63 "GO:0003924" "GTPase activity" 0.691666666666667
0 0.123321813440372 3 66 "GO:0004175" "endopeptidase activity" 0.818604651162791
0 0.0712851916923646 6 8 "GO:0004176" "ATP-dependent peptidase activity" 0.707352941176471
0 0.0132029249197284 2 9 "GO:0004177" "aminopeptidase activity" 0.504545454545455
0 0.392530619390427 2 8 "GO:0004180" "carboxypeptidase activity" 0.997058823529412
0 0.723534970964441 6 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.975595238095238
0 0.0353886025096008 2 7 "GO:0004197" "cysteine-type endopeptidase activity" 0.715789473684211
0 0.0546442965502801 3 11 "GO:0004222;GO:0008237" "metallopeptidase activity" 0.707407407407407
0 0.349380387115883 2 10 "GO:0004252" "serine-type endopeptidase activity" 0.990769230769231
0 0.121725110433191 3 8 "GO:0004316;GO:0004312" "fatty acid synthase activity" 0.830952380952381
0 0.0526546654910656 2 7 "GO:0004518" "nuclease activity" 0.738
0 0.484897469970548 3 11 "GO:0004601;GO:0016684" "peroxidase activity" 0.983333333333333
0 0.0590595565327497 3 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.691666666666667
0 0.145816433272853 4 97 "GO:0004674" "protein serine/threonine kinase activity" 0.832608695652174
0 0.0554667624546445 5 14 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.696428571428571
0 0.188868840808083 3 7 "GO:0004888;GO:0038023" "transmembrane signaling receptor activity" 0.905102040816327
0 0.0640756550871476 1 76 "GO:0005215;GO:0022857" "transporter activity" 0.69375
0 0.269465217176781 4 10 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "channel activity" 0.900819672131148
0 0.206624997421493 4 7 "GO:0005261" "cation channel activity" 0.882075471698113
0 0.215489524214539 2 10 "GO:0005319" "lipid transporter activity" 0.849122807017544
0 0.421725444398447 3 10 "GO:0005347;GO:0000295;GO:0005346;GO:0015216;GO:0015215;GO:0015605" "organophosphate ester transmembrane transporter activity" 0.997857142857143
0 0.0259079864303622 2 5 "GO:0005385;GO:0072509" "zinc ion transmembrane transporter activity" 0.625
0 0.0354193207172636 2 11 "GO:0005388;GO:0015085;GO:0015662;GO:0019829;GO:0042625;GO:0022853;GO:0042626;GO:0015405;GO:0043492;GO:0015399" "calcium ion transmembrane transporter activity" 0.68
0 0.194799790004805 2 7 "GO:0005452;GO:0015103" "inorganic anion exchanger activity" 0.9
0 0.203458356233637 2 13 "GO:0005507" "copper ion binding" 0.907843137254902
0 0.037377461141009 2 21 "GO:0005509" "calcium ion binding" 0.678571428571429
0 0.0241625589667455 2 5 "GO:0008194" "UDP-glycosyltransferase activity" 0.606666666666667
0 0.126849087155094 3 15 "GO:0008234" "cysteine-type peptidase activity" 0.796666666666667
0 0.215205645088456 3 14 "GO:0008236;GO:0017171" "serine-type peptidase activity" 0.863392857142857
0 0.0237831462668251 4 18 "GO:0008238" "exopeptidase activity" 0.632142857142857
0 0.211395345361817 4 14 "GO:0008483;GO:0016769" "transaminase activity" 0.866363636363636
0 0.277370465464765 4 19 "GO:0008509" "anion transmembrane transporter activity" 0.905645161290323
0 0.441445248532579 2 10 "GO:0009055" "electron transfer activity" 1
0 0.502084662665526 3 13 "GO:0015238;GO:0008514" "drug transmembrane transporter activity" 0.971428571428571
0 0.415390693228903 4 24 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 0.0455653192508873 2 58 "GO:0015318;GO:0015075" "inorganic molecular entity transmembrane transporter activity" 0.719565217391304
0 0.502084662665526 3 13 "GO:0015932;GO:1901505" "nucleobase-containing compound transmembrane transporter activity" 0.971428571428571
0 0.729714924609421 1 23 "GO:0016209" "antioxidant activity" 0.965294117647059
0 0.362015369185982 4 7 "GO:0016411;GO:0008374" "acylglycerol O-acyltransferase activity" 0.997727272727273
0 0.261153892304839 3 12 "GO:0016421;GO:0016885;GO:0003989" "ligase activity, forming carbon-carbon bonds" 0.916949152542373
0 0.0350787394093114 2 127 "GO:0016491" "oxidoreductase activity" 0.75
0 0.0114514578732963 4 31 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.678571428571429
0 0.0542749132182482 2 9 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.728846153846154
0 0.075897018354916 3 6 "GO:0016645;GO:0016646" "oxidoreductase activity, acting on the CH-NH group of donors" 0.67972972972973
0 0.0930428988694278 3 13 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.747435897435897
0 0.0680332063752861 3 8 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.695454545454545
0 0.606878584088275 2 41 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 0.977777777777778
0 0.00128742179425634 3 17 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.5
0 0.00238839669903506 4 9 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.35
0 0.0609931058530125 2 6 "GO:0016763" "transferase activity, transferring pentosyl groups" 0.687096774193548
0 0.126746763683107 4 9 "GO:0016776" "phosphotransferase activity, phosphate group as acceptor" 0.813636363636364
0 0.593732258840013 3 45 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.99746835443038
0 0.466725435918382 2 13 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.978378378378378
0 0.651518132665494 2 26 "GO:0016829" "lyase activity" 0.985365853658537
0 0.225317676312707 3 5 "GO:0016840" "carbon-nitrogen lyase activity" 0.854310344827586
0 0.00355881409351246 2 37 "GO:0016853" "isomerase activity" 0.3875
