"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0364640758932877 4 16 "GO:0000049" "tRNA binding" 0.627083333333333
0 0.255398716315481 2 8 "GO:0000149" "SNARE binding" 1
0 0.054721318274427 4 25 "GO:0000287" "magnesium ion binding" 0.73448275862069
0 0.0223622560446385 3 93 "GO:0003677" "DNA binding" 0.646875
0 0.0174715345391265 4 9 "GO:0003690" "double-stranded DNA binding" 0.630769230769231
0 0.0805622390082616 2 21 "GO:0003700;GO:0140110" "transcription regulator activity" 0.815714285714286
0 0.395529589694262 4 26 "GO:0003729" "mRNA binding" 1
0 0.778978215763502 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 1
0 0.0989921550691513 5 9 "GO:0003743" "translation initiation factor activity" 0.905405405405405
0 0.581703945513945 3 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 1
0 0.55352382377269 2 17 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 1
0 0.760146501591478 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.262681798839966 5 20 "GO:0003774" "motor activity" 1
0 0.0316002813589525 2 6 "GO:0003777" "microtubule motor activity" 0.707894736842105
0 0.235988445314145 3 19 "GO:0003779;GO:0008092" "cytoskeletal protein binding" 1
0 0.154659975819664 3 5 "GO:0003841;GO:0042171;GO:0071617" "lysophosphatidic acid acyltransferase activity" 0.993333333333333
0 0.415569931207291 5 63 "GO:0003924" "GTPase activity" 1
0 0.124095597641772 4 5 "GO:0003964;GO:0034061" "RNA-directed DNA polymerase activity" 0.984615384615385
0 0.268281700226406 2 5 "GO:0003993" "acid phosphatase activity" 1
0 0.253972331243934 2 66 "GO:0004175" "endopeptidase activity" 1
0 0.297973623756968 3 10 "GO:0004176;GO:0016887" "ATPase activity" 1
0 0.0106283710171299 2 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.58125
0 0.197329564899858 3 11 "GO:0004222;GO:0008237" "metallopeptidase activity" 1
0 0.137202300142181 2 6 "GO:0004364" "glutathione transferase activity" 1
0 0.0132198706836982 4 7 "GO:0004372;GO:0016742" "glycine hydroxymethyltransferase activity" 0.61
0 0.0029699383649651 2 6 "GO:0004497" "monooxygenase activity" 0.4
0 0.0610164749922546 2 8 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.706060606060606
0 0.00700512771189193 2 11 "GO:0004601;GO:0016684" "peroxidase activity" 0.478571428571429
0 0.14790435476566 2 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.0263232538651426 4 97 "GO:0004674" "protein serine/threonine kinase activity" 0.691176470588235
