"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.000740112468187947 2 16 "GO:0000049" "tRNA binding" 0.2
0 0.111357578774387 2 5 "GO:0000104" "succinate dehydrogenase activity" 0.9375
0 0.202084764089883 2 25 "GO:0000287" "magnesium ion binding" 1
0 0.614375179252148 2 93 "GO:0003677" "DNA binding" 1
0 0.637222082763378 2 26 "GO:0003729" "mRNA binding" 1
0 0.000168143012125064 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 0.05
0 0.0705349504459022 3 9 "GO:0003743" "translation initiation factor activity" 0.863636363636364
0 0.0122119634666921 3 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.65
0 0.0269737113141038 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.740909090909091
0 0.114005509399967 7 20 "GO:0003774" "motor activity" 0.912068965517241
0 0.108419442136725 2 6 "GO:0003777" "microtubule motor activity" 0.959259259259259
0 0.20433170701012 2 19 "GO:0003779;GO:0008092" "actin binding" 1
0 0.00998486695934929 4 5 "GO:0003841;GO:0042171;GO:0071617" "1-acylglycerol-3-phosphate O-acyltransferase activity" 0.6375
0 0.0507196460174846 2 63 "GO:0003924" "GTPase activity" 0.928125
0 0.155777535768753 2 5 "GO:0003993" "acid phosphatase activity" 1
0 0.437713471596696 4 66 "GO:0004175" "endopeptidase activity" 1
0 0.0256675790672143 2 9 "GO:0004177" "aminopeptidase activity" 0.775
0 0.272966078771454 2 8 "GO:0004180" "carboxypeptidase activity" 1
0 0.290173847693128 2 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 0.305681046587996 2 8 "GO:0004316;GO:0004312" "fatty acid synthase activity" 1
0 0.0541562460161718 3 11 "GO:0004601;GO:0016684" "peroxidase activity" 0.826315789473684
0 0.23370748306255 2 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.231910806209878 4 97 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.266618912574721 2 7 "GO:0004784;GO:0016721" "superoxide dismutase activity" 1
0 0.0762387988441483 4 11 "GO:0005096;GO:0008047" "enzyme activator activity" 0.85625
0 0.872399151354184 1 76 "GO:0005215;GO:0022857" "transporter activity" 1
0 0.330340290866997 2 9 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 1
0 0.202007150344309 2 5 "GO:0005385" "zinc ion transmembrane transporter activity" 1
0 0.0517318584330723 2 21 "GO:0005509" "calcium ion binding" 0.885294117647059
0 0.559952995498624 2 43 "GO:0005515" "protein binding" 1
0 0.0131475829502442 4 6 "GO:0008168" "methyltransferase activity" 0.6
0 0.40414047927708 2 102 "GO:0008233" "peptidase activity" 1
0 0.259742866630421 2 8 "GO:0008234;GO:0004197" "cysteine-type peptidase activity" 1
0 0.419544422395322 3 14 "GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.0781316112078233 3 18 "GO:0008238" "exopeptidase activity" 0.834
0 0.886277680502555 2 56 "GO:0015075" "ion transmembrane transporter activity" 1
0 0.646002190586186 3 24 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 0.682274798809449 2 50 "GO:0015318" "inorganic molecular entity transmembrane transporter activity" 1
0 0.176225542516469 1 23 "GO:0016209" "antioxidant activity" 1
0 0.013363569387229 2 7 "GO:0016411;GO:0008374" "acylglycerol O-acyltransferase activity" 0.528571428571429
