"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.03040848294275 2 5 "GO:0000104" "succinate dehydrogenase activity" 0.585
0 0.0129519845744025 2 25 "GO:0000287" "magnesium ion binding" 0.35
0 0.156820204115957 5 5 "GO:0000977;GO:0000976;GO:0001067;GO:1990837;GO:0043565" "sequence-specific DNA binding" 0.804807692307692
0 0.469258361919006 2 93 "GO:0003677" "DNA binding" 1
0 0.246311998949604 5 9 "GO:0003690" "double-stranded DNA binding" 0.855384615384615
0 0.271638120353327 2 26 "GO:0003729" "mRNA binding" 0.887878787878788
0 0.691911589323502 2 126 "GO:0003735;GO:0005198" "structural molecule activity" 1
0 0.0448560093123355 2 47 "GO:0003746;GO:0008135;GO:0090079;GO:0045182" "translation factor activity, RNA binding" 0.676
0 0.142064944114298 3 17 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.791
0 0.0018887261597659 4 11 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.316666666666667
0 0.0607820617194271 7 63 "GO:0003924" "GTPase activity" 0.65
0 0.0898839000434474 4 66 "GO:0004175" "endopeptidase activity" 0.710975609756098
0 0.106076898398248 5 10 "GO:0004176;GO:0016887" "ATPase activity" 0.765116279069767
0 0.014873278072581 2 9 "GO:0004177" "aminopeptidase activity" 0.37
0 0.396579425297392 5 8 "GO:0004180" "carboxypeptidase activity" 1
0 0.723836292979032 2 21 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 0.111183012540028 2 11 "GO:0004222;GO:0008237" "metalloendopeptidase activity" 0.751111111111111
0 0.332236485813648 2 10 "GO:0004252" "serine-type endopeptidase activity" 0.964705882352941
0 0.106504364102412 2 8 "GO:0004316;GO:0004312" "fatty acid synthase activity" 0.75
0 0.0561483903235724 2 7 "GO:0004518" "nuclease activity" 0.675806451612903
0 0.0611509985991787 2 157 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.637142857142857
0 0.0750318243011127 3 97 "GO:0004674" "protein serine/threonine kinase activity" 0.656410256410256
0 0.0453605143521316 5 14 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.642592592592593
0 0.175565037244382 3 7 "GO:0004888;GO:0038023;GO:0060089" "transmembrane signaling receptor activity" 0.850943396226415
0 0.00571081970086799 1 76 "GO:0005215;GO:0022857" "transporter activity" 0.305555555555556
0 0.241975359037801 4 10 "GO:0005216;GO:0015267;GO:0022803" "ion channel activity" 0.8546875
0 0.187239798220941 2 7 "GO:0005261" "cation channel activity" 0.814035087719298
0 0.137080845625014 2 11 "GO:0005319" "lipid transporter activity" 0.790816326530612
0 0.0023654543447788 3 5 "GO:0005385" "zinc ion transmembrane transporter activity" 0.3
0 0.0449216100063262 4 11 "GO:0005388;GO:0015085;GO:0015662;GO:0019829;GO:0042625;GO:0042626;GO:0015399" "calcium ion transmembrane transporter activity" 0.65
0 0.181387216255443 5 7 "GO:0005452;GO:0015103" "inorganic anion exchanger activity" 0.844444444444444
0 0.288656063862574 4 5 "GO:0005471;GO:0015217;GO:0015301;GO:0140323;GO:0015297" "ATP:ADP antiporter activity" 0.904477611940299
0 0.187145031012608 3 13 "GO:0005507" "copper ion binding" 0.843636363636364
0 0.0415626298549804 2 21 "GO:0005509" "calcium ion binding" 0.718181818181818
0 0.0267044870230995 2 5 "GO:0008194" "UDP-glycosyltransferase activity" 0.555555555555556
0 0.0114378729256095 3 102 "GO:0008233" "peptidase activity" 0.338461538461538
0 0.044055566965253 2 8 "GO:0008234;GO:0004197" "cysteine-type peptidase activity" 0.7
0 0.228918515403164 4 14 "GO:0008236;GO:0017171" "serine-type peptidase activity" 0.85241935483871
0 0.0297319825111864 4 18 "GO:0008238" "exopeptidase activity" 0.6
0 0.0724037743880238 3 14 "GO:0008483;GO:0016769" "transferase activity, transferring nitrogenous groups" 0.655263157894737
0 0.146254961137561 2 29 "GO:0008509" "anion transmembrane transporter activity" 0.78921568627451
0 0.060678793748862 3 13 "GO:0008514;GO:0005347;GO:0000295;GO:0005346;GO:0015216;GO:0015215;GO:0015605" "organic anion transmembrane transporter activity" 0.66969696969697
0 0.446911096446636 3 10 "GO:0009055" "electron transfer activity" 1
0 0.00443075399249624 3 56 "GO:0015075" "ion transmembrane transporter activity" 0.26875
0 0.429297764078893 3 24 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 0.0251244627602113 3 50 "GO:0015318" "inorganic molecular entity transmembrane transporter activity" 0.547058823529412
0 0.060678793748862 2 13 "GO:0015932;GO:1901505" "nucleobase-containing compound transmembrane transporter activity" 0.66969696969697
0 0.238474049460881 3 12 "GO:0016421;GO:0016885;GO:0003989" "ligase activity, forming carbon-carbon bonds" 0.861111111111111
0 0.0223464386866073 2 127 "GO:0016491" "oxidoreductase activity" 0.490625
0 0.00765644375711764 2 31 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.275
0 0.047761538513975 3 9 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.655357142857143
0 0.0702411748682772 3 6 "GO:0016645;GO:0016646" "oxidoreductase activity, acting on the CH-NH group of donors" 0.681944444444444
0 0.0428669435458219 2 13 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.71304347826087
0 0.070698109562602 3 8 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 0.666216216216216
