ID	Cooler	Temp	Laby	Stage	ID	sample	diseased	severity	SevereDisease	ModerateDisease	ID	Cooler	A	B	log10cells	cells
2	105A	hot	Control	Adult	2	B	0	0	0	0	2	105A	0	0	0	0
2	105A	hot	Control	Adult	2	P	0	0	0	0	2	105A	0	0	0	0
4	105A	hot	Control	Adult	4	B	1	1	0	0	4	105A	0	0	0	0
4	105A	hot	Control	Adult	4	P	1	1	0	0	4	105A	0	0	0	0
7	105A	hot	Control	Adult	7	B	0	0	0	0	7	105A	0	0	0	0
7	105A	hot	Control	Adult	7	P	0	0	0	0	7	105A	0	0	0	0
9	105B	hot	Exposed	Adult	9	B	1	3	1	1	9	105B	2.782627543	3.213359478	3.213359478	1634.404231
9	105B	hot	Exposed	Adult	9	A	1	3	1	1	9	105B	2.782627543	3.213359478	2.782627543	606.2162077
10	105B	hot	Exposed	Adult	10	P	1	2	0	1	10	105B	4.235039973	3.457195916	3.457195916	2865.470328
10	105B	hot	Exposed	Adult	10	B	1	2	0	1	10	105B	4.235039973	3.457195916	4.235039973	17180.66513
12	105B	hot	Exposed	Adult	12	P	1	3	1	1	12	105B	4.407062893	4.775716477	4.407062893	25530.71005
12	105B	hot	Exposed	Adult	12	B	1	3	1	1	12	105B	4.407062893	4.775716477	4.775716477	59664.56483
13	105B	hot	Exposed	Adult	13	P	1	1	0	0	13	105B	4.18649085	2.939356271	4.18649085	15363.52424
13	105B	hot	Exposed	Adult	13	B	1	2	0	1	13	105B	4.18649085	2.939356271	2.939356271	869.6735691
33	107A	Cold	Control	Adult	33	B	0	0	0	0	33	107A	0	0	0	0
33	107A	Cold	Control	Adult	33	P	0	0	0	0	33	107A	0	0	0	0
36	107A	Cold	Control	Adult	36	B	0	0	0	0	36	107A	0		0	0
36	107A	Cold	Control	Adult	36	P	0	0	0	0	36	107A	0		0	0
38	107A	Cold	Control	Adult	38	B	1	2	0	1	38	107A	0	0	0	0
38	107A	Cold	Control	Adult	38	P	0	0	0	0	38	107A	0	0	0	0
40	107A	Cold	Control	Adult	40	P	0	0	0	0	40	107A	0	0	0	0
40	107A	Cold	Control	Adult	40	B	1	1	0	0	40	107A	0	0	0	0
42	107B	Cold	Exposed	Adult	42	P	1	1	0	0	42	107B	3.49685165	2.748516652	3.49685165	3139.436118
42	107B	Cold	Exposed	Adult	42	B	0	0	0	0	42	107B	3.49685165	2.748516652	2.748516652	560.4239054
46	107B	Cold	Exposed	Adult	46	P	1	1	0	0	46	107B	3.731109589	4.080326601	3.731109589	5384.056255
46	107B	Cold	Exposed	Adult	46	B	1	1	0	0	46	107B	3.731109589	4.080326601	4.080326601	12031.6891
47	107B	Cold	Exposed	Adult	47	P	1	1	0	0	47	107B	4.03057231	3.061027858	4.03057231	10729.32276
47	107B	Cold	Exposed	Adult	47	B	1	1	0	0	47	107B	4.03057231	3.061027858	3.061027858	1150.87421
48	107B	Cold	Exposed	Adult	48	P	1	1	0	0	48	107B	2.442166189	3.9009222	2.442166189	276.800066
48	107B	Cold	Exposed	Adult	48	B	1	1	0	0	48	107B	2.442166189	3.9009222	3.9009222	7960.167384
