ID	Cooler	Temp	Laby	Stage	ID	8-18 Survivors	Diseased	Severity	SevereDisease	ModerateDisease	Growth
2	105A	hot	Control	Adult	2	2 Orange	1	2	0	1	
2	105A	hot	Control	Adult	2	2 Yellow	1	1	0	0	
4	105A	hot	Control	Adult	4	4 Orange	0	0	0	0	3
4	105A	hot	Control	Adult	4	4 Yellow	0	0	0	0	2.5
7	105A	hot	Control	Adult	7	7 Orange	1	1	0	0	2.1
7	105A	hot	Control	Adult	7	7 Yellow	0	0	0	0	2
8	105A	hot	Control	Adult	8	8 Orange	0	0	0	0	2.7
8	105A	hot	Control	Adult	8	8 Yellow					
9	105B	hot	Exposed	Adult	9	9A	1	3	1	1	0.5
9	105B	hot	Exposed	Adult	9	9B	1	3	1	1	
10	105B	hot	Exposed	Adult	10	10 Orange	1	3	1	1	0
10	105B	hot	Exposed	Adult	10	10 Yellow	1	3	1	1	2.8
12	105B	hot	Exposed	Adult	12	12 Orange	1	3	1	1	0.2
12	105B	hot	Exposed	Adult	12	12 Yellow	1	3	1	1	0
13	105B	hot	Exposed	Adult	13	13 Orange	1	3	1	1	
13	105B	hot	Exposed	Adult	13	13 Yellow	1	3	1	1	0.6
33	107A	Cold	Control	Adult	33	33A-orange	0	0	0	0	1.8
33	107A	Cold	Control	Adult	33	33B-yellow	1	2	0	1	3.3
36	107A	Cold	Control	Adult	36	36-Orange	1	2	0	1	
36	107A	Cold	Control	Adult	36	36- Yellow	0	0	0	0	1
38	107A	Cold	Control	Adult	38	38 Orange	0	0	0	0	1.4
38	107A	Cold	Control	Adult	38	38 Yellow	0	0	0	0	0.8
40	107A	Cold	Control	Adult	40	40 Orange	1	1	0	0	4.7
40	107A	Cold	Control	Adult	40	40 Yellow	0	0	0	0	1.3
42	107B	Cold	Exposed	Adult	42	42 Orange	1	3	1	1	5.3
42	107B	Cold	Exposed	Adult	42	42 Yellow	1	3	1	1	1.5
46	107B	Cold	Exposed	Adult	46	46 Orange	1	3	1	1	0.8
46	107B	Cold	Exposed	Adult	46	46 Yellow	1	3	1	1	1.1
47	107B	Cold	Exposed	Adult	47	47 Orange	1	3	1	1	
47	107B	Cold	Exposed	Adult	47	47 Yellow	1	3	1	1	0.6
48	107B	Cold	Exposed	Adult	48	48 Orange	1	3	1	1	0.7
48	107B	Cold	Exposed	Adult	48	48 Yellow	1	3	1	1	1.2
