Tube,ID,Cooler,Temp,Laby,Treatment,Stage,SampleDay,CT_percent_dm,Phenol_percent_dm
2AT2,2,105A,hot,Control,Control Hot,Adult,5,0.46,1.43
4AT2,4,105A,hot,Control,Control Hot,Adult,5,0.39,1.35
4BT2,4,105A,hot,Control,Control Hot,Adult,5,0.42,1.6
7AT2,7,105A,hot,Control,Control Hot,Adult,5,0.44,1.32
7BT2,7,105A,hot,Control,Control Hot,Adult,5,0.42,1.64
8AT2,8,105A,hot,Control,Control Hot,Adult,5,0.32,1.02
9AT2,9,105B,hot,Exposed,Exposed Hot,Adult,5,0.35,0.8
10AT2,10,105B,hot,Exposed,Exposed Hot,Adult,5,0.31,
10BT2,10,105B,hot,Exposed,Exposed Hot,Adult,5,0.3,0.75
12AT2,12,105B,hot,Exposed,Exposed Hot,Adult,5,0.33,0.8
12BT2,12,105B,hot,Exposed,Exposed Hot,Adult,5,0.23,0.38
13BT2,13,105B,hot,Exposed,Exposed Hot,Adult,5,0.27,0.75
33AT2,33,107A,Cold,Control,Control Cold,Adult,5,0.49,1.41
38AT2,38,107A,Cold,Control,Control Cold,Adult,5,0.34,1.1
38BT2,38,107A,Cold,Control,Control Cold,Adult,5,0.32,1.06
40AT2,40,107A,Cold,Control,Control Cold,Adult,5,0.52,1.64
40BT2,40,107A,Cold,Control,Control Cold,Adult,5,0.36,1.06
42AT2,42,107B,Cold,Exposed,Exposed Cold,Adult,5,0.34,0.81
42BT2,42,107B,Cold,Exposed,Exposed Cold,Adult,5,0.29,1.33
46AT2,46,107B,Cold,Exposed,Exposed Cold,Adult,5,0.32,0.98
46BT2,46,107B,Cold,Exposed,Exposed Cold,Adult,5,0.33,1.33
47BT2,47,107B,Cold,Exposed,Exposed Cold,Adult,5,0.37,1.23
48AT2,48,107B,Cold,Exposed,Exposed Cold,Adult,5,0.41,1.28
48BT2,48,107B,Cold,Exposed,Exposed Cold,Adult,5,0.36,1.12
362A,2,105A,hot,Control,Control Hot,Adult,2,0.42,1.75
362B,2,105A,hot,Control,Control Hot,Adult,2,0.33,1.37
364A,4,105A,hot,Control,Control Hot,Adult,2,0.3,1.32
364B,4,105A,hot,Control,Control Hot,Adult,2,0.34,1.58
367B,7,105A,hot,Control,Control Hot,Adult,2,0.53,1.03
368B,8,105A,hot,Control,Control Hot,Adult,2,0.4,1.36
369A,9,105B,hot,Exposed,Exposed Hot,Adult,2,0.39,1.29
369B,9,105B,hot,Exposed,Exposed Hot,Adult,2,0.34,1.76
3610B,10,105B,hot,Exposed,Exposed Hot,Adult,2,0.47,1.58
3612A,12,105B,hot,Exposed,Exposed Hot,Adult,2,0.28,1.47
3612B,12,105B,hot,Exposed,Exposed Hot,Adult,2,0.47,
3613B,13,105B,hot,Exposed,Exposed Hot,Adult,2,0.41,1.33
3617B,17,106A,Varying,Control,Control Varying,Adult,2,0.39,1.13
3618A,18,106A,Varying,Control,Control Varying,Adult,2,0.37,
3618B,18,106A,Varying,Control,Control Varying,Adult,2,0.37,1.6
3621A,21,106A,Varying,Control,Control Varying,Adult,2,0.38,1.52
3624A,24,106A,Varying,Control,Control Varying,Adult,2,0.38,1.76
3625B,25,106B,Varying,Exposed,Exposed Varying,Adult,2,0.33,1.69
3627A,27,106B,Varying,Exposed,Exposed Varying,Adult,2,0.26,1.31
3627B,27,106B,Varying,Exposed,Exposed Varying,Adult,2,0.47,1.23
3629A,29,106B,Varying,Exposed,Exposed Varying,Adult,2,0.43,1.12
3629B,29,106B,Varying,Exposed,Exposed Varying,Adult,2,0.41,1.84
3632A,32,106B,Varying,Exposed,Exposed Varying,Adult,2,0.35,1.85
3632B,32,106B,Varying,Exposed,Exposed Varying,Adult,2,0.35,1.15
3633A,33,107A,Cold,Control,Control Cold,Adult,2,0.4,
3633B,33,107A,Cold,Control,Control Cold,Adult,2,0.28,1.21
3636A,36,107A,Cold,Control,Control Cold,Adult,2,0.4,1.76
3636B,36,107A,Cold,Control,Control Cold,Adult,2,0.41,1.52
36AT2,36,107A,Cold,Control,Control Cold,Adult,2,0.36,1.35
3638A,38,107A,Cold,Control,Control Cold,Adult,2,0.33,0.93
3638B,38,107A,Cold,Control,Control Cold,Adult,2,0.31,1.23
3640A,40,107A,Cold,Control,Control Cold,Adult,2,0.41,1.29
3640B,40,107A,Cold,Control,Control Cold,Adult,2,0.42,1.31
3642A,42,107B,Cold,Exposed,Exposed Cold,Adult,2,0.38,1.64
3642B,42,107B,Cold,Exposed,Exposed Cold,Adult,2,0.39,1.41
3646A,46,107B,Cold,Exposed,Exposed Cold,Adult,2,0.32,
3646B,46,107B,Cold,Exposed,Exposed Cold,Adult,2,0.39,1.66
3647B,47,107B,Cold,Exposed,Exposed Cold,Adult,2,0.32,1.16
3648A,48,107B,Cold,Exposed,Exposed Cold,Adult,2,0.35,1.54
3648B,48,107B,Cold,Exposed,Exposed Cold,Adult,2,0.38,1.47
