GeneID	S_10B	S_9A	S_13A	S_42A	S_46B	S_47B	S_48B	S_2A	S_2B	S_7B	S_8B	S_33A	S_36B	S_38A	S_40A
TRINITY_DN102005_c0_g1	1.060434796	1.060434796	2.009723777	1.854878329	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	2.269898769	1.060434796	1.775037812	2.160810364	1.060434796	1.060434796
TRINITY_DN102006_c0_g1	1.060434796	1.498523235	1.060434796	1.060434796	1.060434796	2.220749492	1.060434796	1.988649135	1.531363875	5.008819506	1.060434796	1.060434796	2.396988615	1.555100532	2.134830437
TRINITY_DN102012_c0_g1	1.060434796	1.498523235	1.060434796	3.841850346	2.076237769	1.060434796	1.993143853	1.440025908	1.060434796	2.918429325	1.060434796	1.060434796	2.160810364	1.060434796	4.584683743
TRINITY_DN102024_c0_g1	2.705404119	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	2.554960019	1.988649135	1.060434796	1.060434796	2.035083556	4.708735564	1.060434796	1.060434796	1.060434796
TRINITY_DN102050_c0_g1	2.334412939	2.334983987	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	3.168358265	1.88581625	2.461325844	1.060434796	1.060434796	3.327576048	1.060434796	1.060434796
TRINITY_DN102051_c0_g1	1.060434796	1.060434796	1.060434796	1.854878329	2.401305792	1.060434796	1.060434796	2.200488538	1.060434796	1.060434796	2.035083556	1.060434796	1.526532857	1.060434796	1.060434796
TRINITY_DN102060_c0_g1	1.060434796	1.060434796	2.009723777	1.060434796	1.060434796	1.060434796	1.060434796	1.74026046	1.060434796	2.630302798	1.060434796	1.060434796	1.526532857	1.060434796	1.060434796
TRINITY_DN10208_c0_g1	1.060434796	1.498523235	2.009723777	1.854878329	2.076237769	2.855421812	1.060434796	1.060434796	1.060434796	1.788362656	1.060434796	1.060434796	1.878251772	1.060434796	1.060434796
TRINITY_DN102368_c0_g1	1.060434796	3.000963993	1.060434796	1.060434796	1.655951822	1.060434796	1.060434796	1.060434796	1.060434796	2.049128754	1.060434796	1.775037812	1.878251772	1.060434796	2.471188131
TRINITY_DN102375_c0_g1	1.060434796	1.834107156	1.060434796	2.739959837	2.076237769	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	2.396988615	1.555100532	1.060434796
