name	term	lev	seq	value
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN228040_c0_g1	0
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN274862_c0_g1	0
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN310086_c1_g1	0
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN310086_c1_g3	0
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN311715_c0_g1	0
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN314196_c0_g1	0
"osteoblast differentiation"	GO:0001649	2	TRINITY_DN316928_c3_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN102431_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN15057_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN211627_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN238280_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN238439_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN255876_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN256327_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN271649_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN277000_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN292975_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN294741_c1_g1	0.904315962037016
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN298834_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN299796_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN311794_c0_g2	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN311794_c0_g3	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN311794_c0_g7	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN311794_c1_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN312004_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN312004_c0_g2	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN312004_c1_g3	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314173_c1_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314235_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314235_c0_g2	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314235_c1_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314235_c1_g2	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314625_c1_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN314625_c1_g4	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN316991_c4_g2	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN317690_c0_g1	0
"tRNA aminoacylation for protein translation"	GO:0006418;GO:0043039;GO:0043038	4	TRINITY_DN35361_c0_g1	0
