"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.592212461866267 2 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.318953633971225 2 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.301329777943413 2 8 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.0971473761118899 2 17 "GO:0000041" "transition metal ion transport" 1
0 0.058350380020279 2 11 "GO:0000075;GO:0007093" "cell cycle checkpoint" 1
0 0.214277946764159 2 8 "GO:0000077;GO:0031570;GO:0044773;GO:0044774" "DNA integrity checkpoint" 1
0 0.221253114788424 2 6 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.567957655494965 2 15 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 1
0 0.0425425587410388 4 11 "GO:0000160" "phosphorelay signal transduction system" 1
0 0.0675060013553671 5 15 "GO:0000209" "protein polyubiquitination" 1
0 0.300996943343779 2 38 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.452360676456262 2 7 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.10859088501029 2 13 "GO:0000272" "polysaccharide catabolic process" 1
0 0.0811801671445349 3 17 "GO:0000278" "mitotic cell cycle" 1
0 0.522422245802079 3 26 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.013929440336733 2 24 "GO:0000302" "response to reactive oxygen species" 0.837735849056604
0 0.020316506420112 2 7 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.911764705882353
0 0.602134044363431 2 14 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.393199146405095 4 54 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.105761403049582 6 7 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.55985815790951 2 10 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.239274060742284 2 33 "GO:0000902" "cell morphogenesis" 1
0 0.221456871847295 2 19 "GO:0000956;GO:0006402" "mRNA catabolic process" 1
0 0.0803641558931942 2 7 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 0.000473485084018367 2 25 "GO:0001101;GO:0009414;GO:0009415" "response to acid chemical" 0.129166666666667
0 0.586770501309999 3 7 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.0747064518102381 2 13 "GO:0001522" "pseudouridine synthesis" 1
0 0.35828503792815 2 21 "GO:0001558" "regulation of cell growth" 1
0 0.282284590856745 6 13 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.0535913679510749 2 10 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
